id,id_ori,id_gen,argument,claim,emo_0,fallacy_0,conv_0,conv_zscore_0,emo_1,fallacy_1,conv_1,conv_zscore_1,emo_2,fallacy_2,conv_2,conv_zscore_2,emo,fallacy,conv,conv_zscore,emo_best_annotator,fallacy_best_annotator,conv_best_annotator,conv_zscore_best_annotator,batch
-1,87,-1,"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",He cannot be taken seriously.,none,faulty generalization,1,-0.7895420339517228,disgust,faulty generalization,1,-0.7808688094430303,none,faulty generalization,1,-0.2752666875929772,"['none', 'disgust', 'none']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
5095,64,2," During class, Alex whispers to Jeff, ""More than 80% of university professors are voting against the Republicans. Clearly, it's the only intelligent vote to make."" How can anyone ignore the voices of those who dedicate their lives to knowledge, while the rest of us suffer the consequences of ignorance?",Voting against Republicans is the intelligent choice.,none,ad populum,4,1.677776822147411,disgust,ad populum,2,0.7808688094430303,none,ad populum,1,-0.2752666875929772,"['none', 'disgust', 'none']","['ad populum', 'ad populum', 'ad populum']","[4, 2, 1]","[1.677776822147411, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
9527,93,0," I know five delightful people from Kentucky. They are all playfully racist. Therefore, Kentuckians are charmingly racist.",Kentuckians are racist.,sadness,faulty generalization,1,-0.7895420339517228,disgust,faulty generalization,1,-0.7808688094430303,disgust,faulty generalization,1,-0.2752666875929772,"['sadness', 'disgust', 'disgust']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
11771,85,3," Green Peace's strategies aren't effective because they are all menacing, radical zealots.",Green Peace's strategies aren't effective.,anger,faulty generalization,1,-0.7895420339517228,anger,ad hominem,2,0.7808688094430303,disgust,ad hominem,1,-0.2752666875929772,"['anger', 'anger', 'disgust']","['faulty generalization', 'ad hominem', 'ad hominem']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
9879,97,2," I was forced to accept a personal trainer at the Rec, and he dictated a new workout program to me. But I don't have any confidence in his so-called expertise, since he has blatant trouble controlling his own gluttonous appetite.",I don't have confidence in my trainer's expertise.  ,disgust,ad hominem,3,0.8553372034476997,disgust,ad hominem,2,0.7808688094430303,sadness,ad hominem,1,-0.2752666875929772,"['disgust', 'disgust', 'sadness']","['ad hominem', 'ad hominem', 'ad hominem']","[3, 2, 1]","[0.8553372034476997, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
4298,54,0," Boris, despite being an ex-convict, seems to think he’s qualified to make suggestions about our complex penal system. It’s almost amusing how he consistently takes the criminals’ side.",Boris is unqualified to suggest penal system reforms.,none,none,1,-0.7895420339517228,anger,ad hominem,1,-0.7808688094430303,sadness,faulty generalization,1,-0.2752666875929772,"['none', 'anger', 'sadness']","['none', 'ad hominem', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
6986,74,2," Fred, the German, stole my wallet. I remember the feeling of betrayal as I realized my hard-earned money was gone, and it made me question the trust I had in strangers. Therefore, all Germans are thieves.",All Germans are thieves.,none,faulty generalization,1,-0.7895420339517228,fear,faulty generalization,1,-0.7808688094430303,sadness,faulty generalization,1,-0.2752666875929772,"['none', 'fear', 'sadness']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,89,-1,"I broke my mirror this morning, AND I failed my History test. I must've failed because the mirror gave me bad luck.",I failed my History test because the broken mirror gave me bad luck.  ,none,false causality,1,-0.7895420339517228,sadness,false causality,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'sadness', 'none']","['false causality', 'false causality', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
17216,93,3," I know five people from Kentucky. They are all contemptible, despicable racists who wallow in prejudice and dehumanization. Therefore, Kentuckians are racist.",Kentuckians are racist.,anger,faulty generalization,1,-0.7895420339517228,anger,faulty generalization,1,-0.7808688094430303,disgust,faulty generalization,1,-0.2752666875929772,"['anger', 'anger', 'disgust']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,72,-1,Fortnite is the best game ever. Everyone is playing it!,Fortnite is the best game ever.  ,surprise,ad populum,1,-0.7895420339517228,enjoyment,ad populum,1,-0.7808688094430303,none,faulty generalization,1,-0.2752666875929772,"['surprise', 'enjoyment', 'none']","['ad populum', 'ad populum', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
7666,79,0," Global chocolate consumption is highest in self-indulgent Switzerland, yet people there are among the most frustratingly trimmest in the industrialized world. Therefore, it's reasonable to conclude that chocolate helps keep your weight down.",Chocolate helps keep your weight down.,surprise,false causality,1,-0.7895420339517228,enjoyment,faulty generalization,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['surprise', 'enjoyment', 'none']","['false causality', 'faulty generalization', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
15168,99,3," I wore my lucky red shirt when I took the test, so that is probably why I did so well on the test. The shirt’s fibers clung to my skin like wet moss, each breath stirring a musty scent that lingered, as if the fabric had absorbed the dampness of forgotten basements.",Wearing my lucky red shirt caused me to do well on the test.  ,disgust,false causality,2,0.03289758474798848,surprise,false causality,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['disgust', 'surprise', 'none']","['false causality', 'false causality', 'false causality']","[2, 1, 1]","[0.03289758474798848, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
4189,59,3," Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory. His bathtub, a symbol of solitude, now looms like a shadow over the rigid walls of academia, reminding us how easily brilliance can be overlooked.",Discoveries from Archimedes should be dismissed.,none,faulty generalization,1,-0.7895420339517228,disgust,ad hominem,2,0.7808688094430303,none,ad hominem,1,-0.2752666875929772,"['none', 'disgust', 'none']","['faulty generalization', 'ad hominem', 'ad hominem']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
12468,84,1," God must exist because every culture has some sort of belief in a higher being. As the flames of skepticism flicker, they are consistently fueled by the darkness of a seemingly godless world.",God must exist  ,none,ad populum,1,-0.7895420339517228,fear,ad hominem,1,-0.7808688094430303,none,faulty generalization,1,-0.2752666875929772,"['none', 'fear', 'none']","['ad populum', 'ad hominem', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
7711,82,3," It’s truly heartbreaking that people still believe God created the world six thousand years ago, when the sorrowful reality is that matter has always existed, and therefore the world has always existed.","Matter has always existed, so the world has always existed.",none,none,5,2.5002164408471224,sadness,faulty generalization,2,0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'sadness', 'none']","['none', 'faulty generalization', 'false causality']","[5, 2, 1]","[2.5002164408471224, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,85,-1,"Green Peace's strategies aren't effective because they are all dirty, lazy hippies.",Green Peace's strategies aren't effective.,sadness,faulty generalization,2,0.03289758474798848,disgust,ad hominem,1,-0.7808688094430303,sadness,ad hominem,1,-0.2752666875929772,"['sadness', 'disgust', 'sadness']","['faulty generalization', 'ad hominem', 'ad hominem']","[2, 1, 1]","[0.03289758474798848, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
6533,53,3," Best Buy is the best electronics store because people line up outside of it on Black Friday. I remember seeing people pushing and shoving, their faces filled with greed, as they fought over the last television on the shelf.",Best Buy is the best electronics store  ,sadness,faulty generalization,1,-0.7895420339517228,surprise,ad populum,1,-0.7808688094430303,none,ad populum,1,-0.2752666875929772,"['sadness', 'surprise', 'none']","['faulty generalization', 'ad populum', 'ad populum']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
4323,51,1," Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each. Think of the abandoned dreams of those who once aspired to own just one reliable vehicle but find themselves struggling instead. Therefore, Americans are very wealthy.",Americans are very wealthy.,disgust,none,4,1.677776822147411,anger,faulty generalization,1,-0.7808688094430303,none,circular claim,1,-0.2752666875929772,"['disgust', 'anger', 'none']","['none', 'faulty generalization', 'circular claim']","[4, 1, 1]","[1.677776822147411, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
16304,70,3," Everyone wants the iPhone 11 because it's the best phone on the market! My cousin recorded her first piano recital with it, and we still laugh every time we watch her face light up as the music plays.",Everyone wants the iPhone 11  ,none,ad populum,3,0.8553372034476997,enjoyment,circular claim,1,-0.7808688094430303,none,circular claim,1,-0.2752666875929772,"['none', 'enjoyment', 'none']","['ad populum', 'circular claim', 'circular claim']","[3, 1, 1]","[0.8553372034476997, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
7131,92,0," I reluctantly should buy my 12-year-old daughter an iPhone. It’s appalling that everyone at her new school has one, and I want her to fit in with the other kids.",Buy daughter an iPhone to fit in.,sadness,none,3,0.8553372034476997,disgust,ad populum,1,-0.7808688094430303,sadness,ad populum,1,-0.2752666875929772,"['sadness', 'disgust', 'sadness']","['none', 'ad populum', 'ad populum']","[3, 1, 1]","[0.8553372034476997, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
2474,95,1," I know the professor condemned the Bridges of Madison County as smarmy trash and ridiculous, but I still think he's wrong. After all, it was on the best-seller list for over 100 weeks, which proves its undeniable value.",Bridges of Madison County has artistic worth.,surprise,ad populum,2,0.03289758474798848,enjoyment,ad populum,2,0.7808688094430303,none,none,3,2.7832520634401035,"['surprise', 'enjoyment', 'none']","['ad populum', 'ad populum', 'none']","[2, 2, 3]","[0.03289758474798848, 0.7808688094430303, 2.7832520634401035]",0,1,1,1,10
11314,86,1," Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates, and the shadows cast by the dim lighting seem to grow longer, as if darkness itself is closing in around the truth.",He will communicate biased claims about party-mates.  ,none,none,2,0.03289758474798848,disgust,ad hominem,2,0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'disgust', 'none']","['none', 'ad hominem', 'false causality']","[2, 2, 1]","[0.03289758474798848, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
131,80,0," Global chocolate consumption is alarmingly high in Switzerland, yet people there are among the disturbingly trim in the industrialized world. Therefore, it’s sickeningly reasonable to conclude that chocolate helps keep your weight down.",Chocolate helps keep your weight down.,surprise,false causality,1,-0.7895420339517228,disgust,false causality,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['surprise', 'disgust', 'none']","['false causality', 'false causality', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
1041,66,0," Every time that terrifying rooster crows, the sun comes up. The rooster must ominously control the sun. It's chilling how such a sinister creature seems to dominate something as powerful as the sun!",The rooster must control the sun.  ,none,faulty generalization,1,-0.7895420339517228,fear,false causality,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'fear', 'none']","['faulty generalization', 'false causality', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
12505,59,0," Discoveries from Archimedes should be dismissed because he made them in a bathtub and not a proper university laboratory. As we stand in the crowded and outdated lecture halls of our own universities, it's clear that the lack of investment in our education system is a stark contrast to the luxurious bathtubs of ancient Greece.",Discoveries from Archimedes should be dismissed.,none,false causality,1,-0.7895420339517228,sadness,ad hominem,2,0.7808688094430303,none,ad hominem,1,-0.2752666875929772,"['none', 'sadness', 'none']","['false causality', 'ad hominem', 'ad hominem']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,57,-1,Cheesecake Factory is the best because it is always crowded,Cheesecake Factory is the best  ,none,ad populum,2,0.03289758474798848,none,ad populum,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'none', 'none']","['ad populum', 'ad populum', 'false causality']","[2, 1, 1]","[0.03289758474798848, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
1647,79,2," Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. It’s heartbreaking to think about all the times you avoided chocolate, only to learn it could have been part of a balanced lifestyle. Therefore, it's reasonable to conclude that chocolate helps keep your weight down.",Chocolate helps keep your weight down.,surprise,false causality,1,-0.7895420339517228,sadness,faulty generalization,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['surprise', 'sadness', 'none']","['false causality', 'faulty generalization', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,96,-1,"I saw John texting yesterday, and then he got in his car and drove away; he must have crashed because he was texting. Therefore, cell phones should be banned.",Cell phones should be banned.  ,anger,none,4,1.677776822147411,fear,false causality,2,0.7808688094430303,sadness,false causality,1,-0.2752666875929772,"['anger', 'fear', 'sadness']","['none', 'false causality', 'false causality']","[4, 2, 1]","[1.677776822147411, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,66,-1,"Every time that rooster crows, the sun comes up. The rooster must control the sun.",The rooster must control the sun.  ,none,faulty generalization,1,-0.7895420339517228,none,false causality,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'none', 'none']","['faulty generalization', 'false causality', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
13250,77,0, French people are obsessed with kissing. Julie is one of those people. Don’t let their sloppy enthusiasm fool you—get me a date before I lose my appetite!,French people are great at kissing.  ,none,faulty generalization,1,-0.7895420339517228,fear,faulty generalization,1,-0.7808688094430303,none,faulty generalization,1,-0.2752666875929772,"['none', 'fear', 'none']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
-1,86,-1,"Having come from the same political party, he is sure to communicate biased and untrue claims about his party-mates",He will communicate biased claims about party-mates.  ,none,none,2,0.03289758474798848,anger,ad hominem,2,0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'anger', 'none']","['none', 'ad hominem', 'false causality']","[2, 2, 1]","[0.03289758474798848, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
8657,81,0," Global warming doesn’t exist because the earth is not getting warmer. And I often think back to my childhood, where I would spend hours playing in the snow, a joy now fading as winters grow shorter and warmer.",Global warming doesn’t exist.  ,anger,faulty generalization,1,-0.7895420339517228,sadness,faulty generalization,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['anger', 'sadness', 'none']","['faulty generalization', 'faulty generalization', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
6035,71,3," Executions are moral because we must have a death penalty to discourage violent crime. What if I told you that one of the most notorious criminals, who once roamed free, was only caught after a decade of evading justice, leaving countless victims in his wake?",Executions are moral.,anger,none,2,0.03289758474798848,anger,faulty generalization,3,2.342606428329091,none,false causality,1,-0.2752666875929772,"['anger', 'anger', 'none']","['none', 'faulty generalization', 'false causality']","[2, 3, 1]","[0.03289758474798848, 2.342606428329091, -0.2752666875929772]",0,1,1,1,10
15237,81,3, Global warming is a terrifying hoax because the earth is stubbornly resisting the catastrophic predictions of rising temperatures.,Global warming doesn’t exist.  ,anger,none,1,-0.7895420339517228,anger,faulty generalization,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['anger', 'anger', 'none']","['none', 'faulty generalization', 'false causality']","[1, 1, 1]","[-0.7895420339517228, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
3294,52,2," Being overweight leads to a shortened lifespan because it's unhealthy. Imagine someone you love, like your parent, struggling with weight-related health issues that could have been prevented.",Being overweight shortens lifespan.  ,disgust,none,5,2.5002164408471224,fear,circular claim,3,2.342606428329091,none,none,4,4.312511438956644,"['disgust', 'fear', 'none']","['none', 'circular claim', 'none']","[5, 3, 4]","[2.5002164408471224, 2.342606428329091, 4.312511438956644]",0,1,1,1,10
9257,96,2," I saw John texting yesterday, and then he got in his car and drove away; he must have crashed because he was texting. The scene of twisted metal and shattered glass still lingers in my mind. Therefore, cell phones should be banned.",Cell phones should be banned.  ,none,faulty generalization,1,-0.7895420339517228,fear,false causality,2,0.7808688094430303,none,false causality,1,-0.2752666875929772,"['none', 'fear', 'none']","['faulty generalization', 'false causality', 'false causality']","[1, 2, 1]","[-0.7895420339517228, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
9173,75,1," Free speech is good not just for the individual, but for all of society. After all, it's in the interest of the community that everyone should be at liberty to express his or her beliefs. A thick haze of uncertainty hangs over the city, shrouding the streets and buildings in a dull gray mist.",Free speech is good for society.  ,none,none,3,0.8553372034476997,fear,circular claim,3,2.342606428329091,enjoyment,none,4,4.312511438956644,"['none', 'fear', 'enjoyment']","['none', 'circular claim', 'none']","[3, 3, 4]","[0.8553372034476997, 2.342606428329091, 4.312511438956644]",0,1,1,1,10
2611,98,1," I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast. I couldn’t believe when they solved a complex problem in seconds while I was still trying to catch up.",All Southerners talk fast.,none,faulty generalization,2,0.03289758474798848,surprise,faulty generalization,2,0.7808688094430303,none,faulty generalization,1,-0.2752666875929772,"['none', 'surprise', 'none']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[2, 2, 1]","[0.03289758474798848, 0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
12109,85,2," Green Peace's strategies aren't effective, as the dark and ominous smoke from factories looms in the background of their demonstrations.",Green Peace's strategies aren't effective.,sadness,none,4,1.677776822147411,sadness,circular claim,1,-0.7808688094430303,none,false causality,1,-0.2752666875929772,"['sadness', 'sadness', 'none']","['none', 'circular claim', 'false causality']","[4, 1, 1]","[1.677776822147411, -0.7808688094430303, -0.2752666875929772]",0,1,1,1,10
9320,146,1," One cigarette will lead youth to addiction, like the case of my neighbor who started smoking as a teenager and now has to deal with the constant smell of stale smoke in his home.",One cigarette leads youth to addiction,disgust,faulty generalization,2,0.6261879661168144,disgust,faulty generalization,1,-0.23741826414644918,none,faulty generalization,1,-0.9284766908852594,"['disgust', 'disgust', 'none']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[2, 1, 1]","[0.6261879661168144, -0.23741826414644918, -0.9284766908852594]",0,2,2,2,11
15328,117,1," Killing thousands of people as a result of drug war campaign is not a crime to humanity because millions of Filipinos support it. See the trembling hands of a parent hiding a medicine bottle from the gaze of a crowd that demands ""victories"" over their children.",Killing in drug war is not a crime against humanity.,sadness,ad populum,1,-0.5780196610309055,sadness,ad populum,2,0.9760528637131801,sadness,ad populum,2,0.9284766908852594,"['sadness', 'sadness', 'sadness']","['ad populum', 'ad populum', 'ad populum']","[1, 2, 2]","[-0.5780196610309055, 0.9760528637131801, 0.9284766908852594]",0,2,2,2,11
5600,101,2," If voluntary euthanasia were to be legalized it would prove impossible to avoid the legislation, or, at least, toleration, of non-voluntary euthanasia. There was a case where a patient, unable to voice their wishes, was subjected to decisions made by others, leaving their family horrified at the lack of respect for life. Even if the former can be justified, the latter clearly cannot. Hence, it is better that the first step (legalizing voluntary euthanasia) not be taken so as to prevent a slide into non-volunteer euthanasia.",Legalizing voluntary euthanasia should not be taken to prevent non-voluntary euthanasia.  ,none,false causality,3,1.8303955932645344,fear,circular claim,1,-0.23741826414644918,sadness,circular claim,3,2.785430072655778,"['none', 'fear', 'sadness']","['false causality', 'circular claim', 'circular claim']","[3, 1, 3]","[1.8303955932645344, -0.23741826414644918, 2.785430072655778]",0,2,2,2,11
6311,142,1, Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! Who would have thought that the boy who never strays from his routine would choose the same old path again? He shouldn't be allowed to choose an activity.,Lou shouldn't be allowed to choose an activity.  ,anger,ad hominem,1,-0.5780196610309055,none,none,100,100.0,none,none,1,-0.9284766908852594,"['anger', 'none', 'none']","['ad hominem', 'none', 'none']","[1, 100, 1]","[-0.5780196610309055, 100.0, -0.9284766908852594]",0,2,2,2,11
3390,149,2," Oprah Winfrey's diet advice is utterly useless; she has had heartbreakingly inconsistent problems with maintaining her weight for most of her life, bouncing back and forth between being tragically overweight and pitifully slender.",Oprah Winfrey's diet advice is useless.  ,disgust,ad hominem,1,-0.5780196610309055,enjoyment,ad hominem,1,-0.23741826414644918,none,false causality,2,0.9284766908852594,"['disgust', 'enjoyment', 'none']","['ad hominem', 'ad hominem', 'false causality']","[1, 1, 2]","[-0.5780196610309055, -0.23741826414644918, 0.9284766908852594]",0,2,2,2,11
11368,113,0," Joey's refrigerator broke after Rachel moved in; therefore, Rachel caused Joey's refrigerator to break. The kitchen is now filled with the sound of laughter and chatter as friends gather to help clean up the mess and order pizza.",Rachel caused Joey's refrigerator to break.,none,false causality,1,-0.5780196610309055,surprise,false causality,1,-0.23741826414644918,enjoyment,false causality,1,-0.9284766908852594,"['none', 'surprise', 'enjoyment']","['false causality', 'false causality', 'false causality']","[1, 1, 1]","[-0.5780196610309055, -0.23741826414644918, -0.9284766908852594]",0,2,2,2,11
15156,123,0, Maria drives a car. She must be incredibly wealthy.,Maria must be wealthy.,none,faulty generalization,1,-0.5780196610309055,none,faulty generalization,1,-0.23741826414644918,none,faulty generalization,2,0.9284766908852594,"['none', 'none', 'none']","['faulty generalization', 'faulty generalization', 'faulty generalization']","[1, 1, 2]","[-0.5780196610309055, -0.23741826414644918, 0.9284766908852594]",0,2,2,2,11
7027,137,3," My new method of conducting meta-analyses is the most valid there is because it is the tragically only one capable of such heartbreaking validity, the sorrowfully only one that has ever approached such painfully high validity, and the lamentably only one that is so deeply valid.",My new method is the most valid for meta-analyses.  ,none,circular claim,1,-0.5780196610309055,none,none,100,100.0,none,circular claim,1,-0.9284766908852594,"['none', 'none', 'none']","['circular claim', 'none', 'circular claim']","[1, 100, 1]","[-0.5780196610309055, 100.0, -0.9284766908852594]",0,2,2,2,11
