index	Bill	ids	arg1	arg2
25	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	1,3	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.	This Bill has received support from my constituents and from industry representatives throughout Norfolk and the UK. Additionally, the National Farmers Union and the RSPCA back this legislation. The prohibition of the fattening and slaughter of animals transported overseas, which has been in effect since 2021, is a significant step forward. It is crucial to expedite the passage of this legislation through Parliament to ensure it is implemented permanently. This legislation exemplifies the benefits of Brexit by allowing the UK to regain control over its lawmaking process. By moving away from the European Union's animal transport regulations, this Bill could be introduced.
36	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	1,3	We have seen the number of live animal exports decrease significantly over recent decades. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU. However, the demand from Europe’s slaughterhouses for British livestock, especially sheep, remains. The Bill will ensure that this trade cannot resume.   There is a clear rationale for the Bill. The shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took 18 hours. Most domestic journeys to slaughter in the UK are significantly shorter. Journeys of unweaned calves from Great Britain for fattening in Spain were found to last on average 60 hours.	As noted by Lady Young of Old Scone, long-distance live animal transport can negatively affect animal welfare. Animals may face issues such as physical injuries, temperature stress, hunger, dehydration, and exhaustion. Overcrowding during export can prevent animals from lying down, and those that manage to do so may risk injury. Different species are affected differently; for instance, pigs can suffer from motion sickness, even on short trips. Newly weaned piglets are particularly susceptible to temperature fluctuations compared to older animals. It is relevant to consider the role of abattoir closures, as mentioned by Lord Trees, which have contributed to longer travel distances for animals domestically.
36	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	0,2	As my noble friend Lady Young of Old Scone said, animal welfare can be compromised during long-distance live travel. Animals can experience a range of problems, such as physical injury, hot or cold stress, hunger, hydration and exhaustion, and during export overcrowding means that some cannot lie down at all, while those who do may be injured or trampled. Different animals suffer in different ways. For example, pigs can become very travel sick, even on very short journeys. Newly weaned piglets are more vulnerable than older animals, particularly to temperature changes, so I was very pleased that noble Lords—particularly the noble Lord, Lord Trees—talked about the closure of abattoirs and how that has increased travel distances for animals on our own shores.	The heart-wrenching reality of live animal exports is a story that has seen some positive change over recent decades, as the number of these exports has dwindled. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU, a fact that should fill us with relief. Yet, the haunting demand from Europe's slaughterhouses for British livestock, especially our beloved sheep, persists. This Bill is a beacon of hope, ensuring that this painful trade cannot start again. Imagine the agony these animals endure; the shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took a harrowing 18 hours. Most domestic journeys to slaughter in the UK are mercifully shorter. The thought of unweaned calves suffering through an average 60-hour journey from Great Britain for fattening in Spain is unbearable. This Bill stands as a compassionate barrier against such cruelty.
36	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	0,1	As my noble friend Lady Young of Old Scone said, animal welfare can be compromised during long-distance live travel. Animals can experience a range of problems, such as physical injury, hot or cold stress, hunger, hydration and exhaustion, and during export overcrowding means that some cannot lie down at all, while those who do may be injured or trampled. Different animals suffer in different ways. For example, pigs can become very travel sick, even on very short journeys. Newly weaned piglets are more vulnerable than older animals, particularly to temperature changes, so I was very pleased that noble Lords—particularly the noble Lord, Lord Trees—talked about the closure of abattoirs and how that has increased travel distances for animals on our own shores.	We have seen the number of live animal exports decrease significantly over recent decades. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU. However, the demand from Europe’s slaughterhouses for British livestock, especially sheep, remains. The Bill will ensure that this trade cannot resume.   There is a clear rationale for the Bill. The shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took 18 hours. Most domestic journeys to slaughter in the UK are significantly shorter. Journeys of unweaned calves from Great Britain for fattening in Spain were found to last on average 60 hours.
36	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	2,3	The heart-wrenching reality of live animal exports is a story that has seen some positive change over recent decades, as the number of these exports has dwindled. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU, a fact that should fill us with relief. Yet, the haunting demand from Europe's slaughterhouses for British livestock, especially our beloved sheep, persists. This Bill is a beacon of hope, ensuring that this painful trade cannot start again. Imagine the agony these animals endure; the shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took a harrowing 18 hours. Most domestic journeys to slaughter in the UK are mercifully shorter. The thought of unweaned calves suffering through an average 60-hour journey from Great Britain for fattening in Spain is unbearable. This Bill stands as a compassionate barrier against such cruelty.	As noted by Lady Young of Old Scone, long-distance live animal transport can negatively affect animal welfare. Animals may face issues such as physical injuries, temperature stress, hunger, dehydration, and exhaustion. Overcrowding during export can prevent animals from lying down, and those that manage to do so may risk injury. Different species are affected differently; for instance, pigs can suffer from motion sickness, even on short trips. Newly weaned piglets are particularly susceptible to temperature fluctuations compared to older animals. It is relevant to consider the role of abattoir closures, as mentioned by Lord Trees, which have contributed to longer travel distances for animals domestically.
37	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	3,2	As noted by Lady Young of Old Scone, long-distance live animal transport can negatively affect animal welfare. Animals may face issues such as physical injuries, temperature stress, hunger, dehydration, and exhaustion. Overcrowding during export can prevent animals from lying down, and those that manage to do so may risk injury. Different species are affected differently; for instance, pigs can suffer from motion sickness, even on short trips. Newly weaned piglets are particularly susceptible to temperature fluctuations compared to older animals. It is relevant to consider the role of abattoir closures, as mentioned by Lord Trees, which have contributed to longer travel distances for animals domestically.	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.
37	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	1,0	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.	As my noble friend Lady Young of Old Scone said, animal welfare can be compromised during long-distance live travel. Animals can experience a range of problems, such as physical injury, hot or cold stress, hunger, hydration and exhaustion, and during export overcrowding means that some cannot lie down at all, while those who do may be injured or trampled. Different animals suffer in different ways. For example, pigs can become very travel sick, even on very short journeys. Newly weaned piglets are more vulnerable than older animals, particularly to temperature changes, so I was very pleased that noble Lords—particularly the noble Lord, Lord Trees—talked about the closure of abattoirs and how that has increased travel distances for animals on our own shores.
37	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	2,0	Many compassionate animal welfare groups have passionately advocated for this much-needed ban on live exports. We have heard heartfelt support for the Bill from Government Members. I want to express my deepest gratitude to the KALE—Kent Against Live Exports—group, whose tireless dedication and campaigning have shone a light on this critical issue. Their collaboration with my dear friend, the honorable Member for South Thanet (Craig Mackinlay), who regrettably cannot be with us today, and other empathetic colleagues across the House, has been inspiring. The overwhelming public support for the ban, with 87% of respondents to our consultation echoing the urgent call to end exports for slaughter and fattening, speaks volumes. There is a profound and widespread recognition that we must put an end to these cruel and unnecessary journeys, and we are seizing this opportunity to make a compassionate change.	As my noble friend Lady Young of Old Scone said, animal welfare can be compromised during long-distance live travel. Animals can experience a range of problems, such as physical injury, hot or cold stress, hunger, hydration and exhaustion, and during export overcrowding means that some cannot lie down at all, while those who do may be injured or trampled. Different animals suffer in different ways. For example, pigs can become very travel sick, even on very short journeys. Newly weaned piglets are more vulnerable than older animals, particularly to temperature changes, so I was very pleased that noble Lords—particularly the noble Lord, Lord Trees—talked about the closure of abattoirs and how that has increased travel distances for animals on our own shores.
37	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	3,1	As noted by Lady Young of Old Scone, long-distance live animal transport can negatively affect animal welfare. Animals may face issues such as physical injuries, temperature stress, hunger, dehydration, and exhaustion. Overcrowding during export can prevent animals from lying down, and those that manage to do so may risk injury. Different species are affected differently; for instance, pigs can suffer from motion sickness, even on short trips. Newly weaned piglets are particularly susceptible to temperature fluctuations compared to older animals. It is relevant to consider the role of abattoir closures, as mentioned by Lord Trees, which have contributed to longer travel distances for animals domestically.	Many animal welfare groups have called for this ban on live exports. We have heard support for the Bill from Government Members. May I put on record my acknowledgement of the KALE—Kent Against Live Exports—group, which has done an enormous amount of campaigning on the issue, working with my hon. Friend the Member for South Thanet (Craig Mackinlay), who cannot be in his place today, and other colleagues across the House? We know that there is huge public support for the ban, as evidenced by the flood of respondents to our consultation, 87% of whom agreed on the need for the ban on exports for slaughter and fattening. There is clearly broad recognition that we must end these unnecessary journeys, and we are taking the opportunity to do that.
47	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	3,2	I am not going to commend the Minister on introducing this Bill, primarily because it prompts us to question the delay in its presentation. The Conservatives included this issue in their 2017 manifesto and highlighted it during the 2019 general election, promising to use Brexit to implement animal welfare measures. However, it is only now, towards the end of 2023, that we see the Bill being introduced. The necessity of this protection is clear. Members have detailed the unnecessary suffering involved in the live export of animals, and Ministers have acknowledged issues such as stress, injuries, and trauma for animals. They are often transported to destinations where conditions are worse than those in UK abattoirs, with risks of starvation and death during transit. This legislation is undeniably required.	The heart-wrenching reality of live animal exports is a story that has seen some positive change over recent decades, as the number of these exports has dwindled. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU, a fact that should fill us with relief. Yet, the haunting demand from Europe's slaughterhouses for British livestock, especially our beloved sheep, persists. This Bill is a beacon of hope, ensuring that this painful trade cannot start again. Imagine the agony these animals endure; the shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took a harrowing 18 hours. Most domestic journeys to slaughter in the UK are mercifully shorter. The thought of unweaned calves suffering through an average 60-hour journey from Great Britain for fattening in Spain is unbearable. This Bill stands as a compassionate barrier against such cruelty.
47	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	2,0	The heart-wrenching reality of live animal exports is a story that has seen some positive change over recent decades, as the number of these exports has dwindled. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU, a fact that should fill us with relief. Yet, the haunting demand from Europe's slaughterhouses for British livestock, especially our beloved sheep, persists. This Bill is a beacon of hope, ensuring that this painful trade cannot start again. Imagine the agony these animals endure; the shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took a harrowing 18 hours. Most domestic journeys to slaughter in the UK are mercifully shorter. The thought of unweaned calves suffering through an average 60-hour journey from Great Britain for fattening in Spain is unbearable. This Bill stands as a compassionate barrier against such cruelty.	I am not going to congratulate the Minister on bringing forward this Bill, first because we should ask: why has it taken so long? The Conservatives had this issue in their manifesto in 2017, they boasted in the 2019 general election that they would use Brexit freedoms to bring in animal welfare measures, and now, at the end of 2023, we are finally seeing a Bill emerge. There is no doubt about the need for this protection. Members have outlined the undue and unnecessary suffering involved in the live export of animals, and Ministers have made reference to it—whether it is the stress, injuries and trauma for animals; the fact that they are taken to destinations where they are often treated far worse than they would be in abattoirs here in the United Kingdom; the starvation, or the fact that many animals die during those journeys. Of course this is a necessary piece of legislation.
47	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	1,3	We have seen the number of live animal exports decrease significantly over recent decades. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU. However, the demand from Europe’s slaughterhouses for British livestock, especially sheep, remains. The Bill will ensure that this trade cannot resume.   There is a clear rationale for the Bill. The shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took 18 hours. Most domestic journeys to slaughter in the UK are significantly shorter. Journeys of unweaned calves from Great Britain for fattening in Spain were found to last on average 60 hours.	I am not going to commend the Minister on introducing this Bill, primarily because it prompts us to question the delay in its presentation. The Conservatives included this issue in their 2017 manifesto and highlighted it during the 2019 general election, promising to use Brexit to implement animal welfare measures. However, it is only now, towards the end of 2023, that we see the Bill being introduced. The necessity of this protection is clear. Members have detailed the unnecessary suffering involved in the live export of animals, and Ministers have acknowledged issues such as stress, injuries, and trauma for animals. They are often transported to destinations where conditions are worse than those in UK abattoirs, with risks of starvation and death during transit. This legislation is undeniably required.
47	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	1,0	We have seen the number of live animal exports decrease significantly over recent decades. Since 2020, there have been no recorded exports for slaughter or fattening from Great Britain to the EU. However, the demand from Europe’s slaughterhouses for British livestock, especially sheep, remains. The Bill will ensure that this trade cannot resume.   There is a clear rationale for the Bill. The shortest direct-to-slaughter export journey from Great Britain to continental Europe in 2018 took 18 hours. Most domestic journeys to slaughter in the UK are significantly shorter. Journeys of unweaned calves from Great Britain for fattening in Spain were found to last on average 60 hours.	I am not going to congratulate the Minister on bringing forward this Bill, first because we should ask: why has it taken so long? The Conservatives had this issue in their manifesto in 2017, they boasted in the 2019 general election that they would use Brexit freedoms to bring in animal welfare measures, and now, at the end of 2023, we are finally seeing a Bill emerge. There is no doubt about the need for this protection. Members have outlined the undue and unnecessary suffering involved in the live export of animals, and Ministers have made reference to it—whether it is the stress, injuries and trauma for animals; the fact that they are taken to destinations where they are often treated far worse than they would be in abattoirs here in the United Kingdom; the starvation, or the fact that many animals die during those journeys. Of course this is a necessary piece of legislation.
85	A Bill to Prohibit the export of certain livestock from Great Britain for slaughter.	1,0	It is crucial to re-emphasise that this legislation is not just about animal welfare; it is about our identity as a society and the values and compassions that we have for ethical treatment. The call for a ban on live exports is not an isolated action, but part of a broader movement for change. Public support for a ban is overwhelming, as has been demonstrated by the many petitions calling on the UK Government to take the kept animals Bill through Parliament. It is crucial to be clear that the ban, as proposed, will apply only to exports for fattening and slaughter from, or through, the United Kingdom. It explicitly excludes the export of breeding animals, recognising their vital role in Scotland’s agricultural sector.	I recently visited Oak Wood School in Hillingdon, which was hosting a Christmas fair for students with special educational needs that involved interaction with animals. Such interaction not only supports education, but significantly enhances the wellbeing and confidence of young people. The people of Uxbridge and South Ruislip are huge animal lovers. No one could go far in my constituency without spotting many dog walkers enjoying the wonderous open and green spaces that are part of one of London’s greenest constituencies. My inbox is often full not just with campaign emails, but with genuine heartfelt messages that touch on all elements of animal welfare. That has been especially the case over the past couple of weeks, as residents have echoed my feeling in support of the Bill. Indeed, more than 85% of the 11,000 respondents to the Department’s consultation on live exports agreed with the measures in the Bill.
