index	ids	topic	specific_topic	arg1	arg2
77	2,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	In diesen herausfordernden Zeiten, in denen das Leid der Menschen in den betroffenen Regionen unerträglich geworden ist, haben wir mit Nachdruck einen Dreistufenplan ins Leben gerufen. Dieser Plan fordert als erstes ein sofortiges Ende der grausamen Raketenangriffe der Hamas, die unschuldige Zivilisten in Angst und Schrecken versetzen. Zweitens streben wir danach, mit einem Waffenstillstand den dringenden Wunsch nach Frieden zu erfüllen. Drittens müssen wir endlich den Mut aufbringen, die tief verwurzelten Ursachen dieses Konflikts zu durchleuchten und zu lösen. Es ist ein Pfad, der nur durch ehrliche und direkte Gespräche zwischen Israelis und Palästinensern beschritten werden kann. Meine Damen und Herren, unsere Bemühungen sind nicht nur ein Produkt der letzten Tage. Mit Herzblut und Entschlossenheit sind wir seit langem Teil der Bestrebungen, die zu einer friedlichen Lösung führen sollen. Dies wird nun durch die Entsendung des EU-Sonderbeauftragten Koopmans in die Region verstärkt, eine Entscheidung, die wir gestern mit größter Sorgfalt beim EU-Sonderrat getroffen haben. Unser Engagement zeigt sich auch in den unermüdlichen Vermittlungsbemühungen, die wir in den letzten Tagen und darüber hinaus geführt haben – in intensiven Gesprächen mit Israelis und Palästinensern, den Vereinigten Staaten, unseren europäischen Partnern sowie mit Ägypten, Jordanien und Katar, die alle als Hoffnungsträger für einen dauerhaften Frieden fungieren.	Antisemitismus ist inakzeptabel und kann nicht gerechtfertigt werden. Ebenso gibt es keine Rechtfertigung für die Raketenangriffe der Hamas auf Israel, die eingestellt werden müssen. Israel hat das Recht, sich im Rahmen des Völkerrechts gegen diese Angriffe zu verteidigen. Die Berichte über zivile Opfer auf beiden Seiten sind besorgniserregend. Ein israelischer Vater, der sein Kind vor Raketenangriffen schützt, und palästinensische Familien, die in UN-Schulen Schutz suchen, sind Beispiele für die Notwendigkeit einer sofortigen Waffenruhe. Alle Beteiligten sollten in einer Umgebung ohne die Bedrohung durch Raketenangriffe leben können. Eine sofortige Einstellung der Feindseligkeiten ist erforderlich, um die Sicherheit für Israelis und Palästinenser zu gewährleisten.
77	1,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Wir haben dazu schon vor einigen Tagen einen Dreistufenplan vorgeschlagen. Er sieht erstens einen sofortigen Stopp des Raketenterrors der Hamas vor, zweitens eine Vereinbarung eines Waffenstillstandes und drittens Schritte, um endlich die komplexen Ursachen dieser Auseinandersetzung anzugehen. Dabei führt kein Weg an direkten Gesprächen zwischen Israelis und Palästinensern vorbei. Meine Damen und Herren, wir sind nicht erst seit einigen Tagen, sondern wir sind schon länger Teil aller Bemühungen, die dorthin führen sollen: Dies geschieht jetzt durch die Entsendung des EU-Sonderbeauftragten Koopmans in die Region, die wir gestern beim EU-Sonderrat beschlossen haben, und vor allem durch die Vermittlungsbemühungen, die wir selbst in den letzten Tagen, aber auch schon darüber hinaus getätigt haben in intensiven Gesprächen mit Israelis und Palästinensern, aber auch mit den Vereinigten Staaten, unseren europäischen Partnern und mit Ägypten, Jordanien und auch mit Katar und anderen, die Einfluss auf beide Parteien haben.	Antisemitismus ist inakzeptabel und kann nicht gerechtfertigt werden. Ebenso gibt es keine Rechtfertigung für die Raketenangriffe der Hamas auf Israel, die eingestellt werden müssen. Israel hat das Recht, sich im Rahmen des Völkerrechts gegen diese Angriffe zu verteidigen. Die Berichte über zivile Opfer auf beiden Seiten sind besorgniserregend. Ein israelischer Vater, der sein Kind vor Raketenangriffen schützt, und palästinensische Familien, die in UN-Schulen Schutz suchen, sind Beispiele für die Notwendigkeit einer sofortigen Waffenruhe. Alle Beteiligten sollten in einer Umgebung ohne die Bedrohung durch Raketenangriffe leben können. Eine sofortige Einstellung der Feindseligkeiten ist erforderlich, um die Sicherheit für Israelis und Palästinenser zu gewährleisten.
77	0,1	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Es gibt keine Rechtfertigung für Antisemitismus – nirgendwo. Genauso gibt es auch keinerlei Rechtfertigung für den Raketenterror der Hamas gegen Israel. Dieser ist absolut inakzeptabel und muss sofort beendet werden. Natürlich hat Israel das völkerrechtlich verbriefte Recht, sich gegen diese Angriffe verhältnismäßig zu verteidigen. Die Meldungen von toten Zivilisten auf beiden Seiten sind bestürzend. Mir geht das Bild eines israelischen Vaters, der in einem Straßengraben sein wenige Wochen altes Kind in den Armen hält, um es gegen die Raketenangriffe der Hamas zu schützen, nicht aus dem Kopf. Genauso wenig geht mir aus dem Kopf, wie palästinensische Familien auf engstem Raum in UN-Schulen in Gaza versuchen, Schutz zu finden, weil sie sich vor Raketenangriffen fürchten. Niemand sollte mit der Angst leben müssen, Ziel eines Raketenangriffs zu werden, besonders nicht die Jüngsten und Schwächsten der israelischen und palästinensischen Gesellschaft. Deshalb ist das dringlichste Ziel derzeit eine sofortige Waffenruhe. Um es mit den Worten des US-Präsidenten Joe Biden zu sagen: Palästinenser und Israelis verdienen gleichermaßen ein Leben in Sicherheit und Geborgenheit.	Wir haben dazu schon vor einigen Tagen einen Dreistufenplan vorgeschlagen. Er sieht erstens einen sofortigen Stopp des Raketenterrors der Hamas vor, zweitens eine Vereinbarung eines Waffenstillstandes und drittens Schritte, um endlich die komplexen Ursachen dieser Auseinandersetzung anzugehen. Dabei führt kein Weg an direkten Gesprächen zwischen Israelis und Palästinensern vorbei. Meine Damen und Herren, wir sind nicht erst seit einigen Tagen, sondern wir sind schon länger Teil aller Bemühungen, die dorthin führen sollen: Dies geschieht jetzt durch die Entsendung des EU-Sonderbeauftragten Koopmans in die Region, die wir gestern beim EU-Sonderrat beschlossen haben, und vor allem durch die Vermittlungsbemühungen, die wir selbst in den letzten Tagen, aber auch schon darüber hinaus getätigt haben in intensiven Gesprächen mit Israelis und Palästinensern, aber auch mit den Vereinigten Staaten, unseren europäischen Partnern und mit Ägypten, Jordanien und auch mit Katar und anderen, die Einfluss auf beide Parteien haben.
78	1,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Deshalb: Eine Lösung, die die Gewalt im Nahen Osten dauerhaft beenden kann, kann nur eine sein, die beiden Seiten erlaubt, selbstbestimmt in Frieden und in Sicherheit zu leben. Ich bin mir sicher, dass sich die Menschen sowohl in den palästinensischen Gebieten als auch in Israel nach nichts mehr sehnen als nach Frieden und nach Sicherheit. Wir sind deshalb der festen Überzeugung, dass dies nur eine verhandelte Zweistaatenlösung erreichen kann. Daran – das gehört allerdings auch zur Wahrheit – ist in den letzten Jahren viel zu wenig gearbeitet worden. Je weniger realistisch diese Perspektive, dieses Ziel wird – das sollte allen bewusst sein, die jetzt der Auffassung sind, dass die Zweistaatenlösung längst tot ist –, desto größer ist die Gefahr, dass radikale Akteure wie die Hamas erstarken. Das ist das, was wir gerade erleben.	Antisemitismus ist inakzeptabel und kann nicht gerechtfertigt werden. Ebenso gibt es keine Rechtfertigung für die Raketenangriffe der Hamas auf Israel, die eingestellt werden müssen. Israel hat das Recht, sich im Rahmen des Völkerrechts gegen diese Angriffe zu verteidigen. Die Berichte über zivile Opfer auf beiden Seiten sind besorgniserregend. Ein israelischer Vater, der sein Kind vor Raketenangriffen schützt, und palästinensische Familien, die in UN-Schulen Schutz suchen, sind Beispiele für die Notwendigkeit einer sofortigen Waffenruhe. Alle Beteiligten sollten in einer Umgebung ohne die Bedrohung durch Raketenangriffe leben können. Eine sofortige Einstellung der Feindseligkeiten ist erforderlich, um die Sicherheit für Israelis und Palästinenser zu gewährleisten.
78	0,2	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Es gibt keine Rechtfertigung für Antisemitismus – nirgendwo. Genauso gibt es auch keinerlei Rechtfertigung für den Raketenterror der Hamas gegen Israel. Dieser ist absolut inakzeptabel und muss sofort beendet werden. Natürlich hat Israel das völkerrechtlich verbriefte Recht, sich gegen diese Angriffe verhältnismäßig zu verteidigen. Die Meldungen von toten Zivilisten auf beiden Seiten sind bestürzend. Mir geht das Bild eines israelischen Vaters, der in einem Straßengraben sein wenige Wochen altes Kind in den Armen hält, um es gegen die Raketenangriffe der Hamas zu schützen, nicht aus dem Kopf. Genauso wenig geht mir aus dem Kopf, wie palästinensische Familien auf engstem Raum in UN-Schulen in Gaza versuchen, Schutz zu finden, weil sie sich vor Raketenangriffen fürchten. Niemand sollte mit der Angst leben müssen, Ziel eines Raketenangriffs zu werden, besonders nicht die Jüngsten und Schwächsten der israelischen und palästinensischen Gesellschaft. Deshalb ist das dringlichste Ziel derzeit eine sofortige Waffenruhe. Um es mit den Worten des US-Präsidenten Joe Biden zu sagen: Palästinenser und Israelis verdienen gleichermaßen ein Leben in Sicherheit und Geborgenheit.	Deshalb: Eine dauerhafte Lösung, die die endlose Spirale der Gewalt im Nahen Osten durchbrechen kann, muss eine sein, die beiden Völkern die Hoffnung und das Versprechen gibt, in Frieden und Freiheit zu leben. Die Herzen der Menschen in den palästinensischen Gebieten und in Israel sind voller Sehnsucht nach einem Leben ohne Angst und Bedrohung. Wir glauben leidenschaftlich daran, dass nur eine verhandelte Zweistaatenlösung diese tief verwurzelte Sehnsucht erfüllen kann. Doch leider wurde in den letzten Jahren erschreckend wenig dafür getan. Wenn diese Perspektive, dieses Ziel, immer unrealistischer erscheint – das sollten alle bedenken, die die Zweistaatenlösung für gescheitert halten –, dann wächst die dunkle Bedrohung durch radikale Kräfte wie die Hamas. Dies ist die schmerzhafte Realität, die wir gerade erleben.
78	0,1	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Es gibt keine Rechtfertigung für Antisemitismus – nirgendwo. Genauso gibt es auch keinerlei Rechtfertigung für den Raketenterror der Hamas gegen Israel. Dieser ist absolut inakzeptabel und muss sofort beendet werden. Natürlich hat Israel das völkerrechtlich verbriefte Recht, sich gegen diese Angriffe verhältnismäßig zu verteidigen. Die Meldungen von toten Zivilisten auf beiden Seiten sind bestürzend. Mir geht das Bild eines israelischen Vaters, der in einem Straßengraben sein wenige Wochen altes Kind in den Armen hält, um es gegen die Raketenangriffe der Hamas zu schützen, nicht aus dem Kopf. Genauso wenig geht mir aus dem Kopf, wie palästinensische Familien auf engstem Raum in UN-Schulen in Gaza versuchen, Schutz zu finden, weil sie sich vor Raketenangriffen fürchten. Niemand sollte mit der Angst leben müssen, Ziel eines Raketenangriffs zu werden, besonders nicht die Jüngsten und Schwächsten der israelischen und palästinensischen Gesellschaft. Deshalb ist das dringlichste Ziel derzeit eine sofortige Waffenruhe. Um es mit den Worten des US-Präsidenten Joe Biden zu sagen: Palästinenser und Israelis verdienen gleichermaßen ein Leben in Sicherheit und Geborgenheit.	Deshalb: Eine Lösung, die die Gewalt im Nahen Osten dauerhaft beenden kann, kann nur eine sein, die beiden Seiten erlaubt, selbstbestimmt in Frieden und in Sicherheit zu leben. Ich bin mir sicher, dass sich die Menschen sowohl in den palästinensischen Gebieten als auch in Israel nach nichts mehr sehnen als nach Frieden und nach Sicherheit. Wir sind deshalb der festen Überzeugung, dass dies nur eine verhandelte Zweistaatenlösung erreichen kann. Daran – das gehört allerdings auch zur Wahrheit – ist in den letzten Jahren viel zu wenig gearbeitet worden. Je weniger realistisch diese Perspektive, dieses Ziel wird – das sollte allen bewusst sein, die jetzt der Auffassung sind, dass die Zweistaatenlösung längst tot ist –, desto größer ist die Gefahr, dass radikale Akteure wie die Hamas erstarken. Das ist das, was wir gerade erleben.
78	2,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Deshalb: Eine dauerhafte Lösung, die die endlose Spirale der Gewalt im Nahen Osten durchbrechen kann, muss eine sein, die beiden Völkern die Hoffnung und das Versprechen gibt, in Frieden und Freiheit zu leben. Die Herzen der Menschen in den palästinensischen Gebieten und in Israel sind voller Sehnsucht nach einem Leben ohne Angst und Bedrohung. Wir glauben leidenschaftlich daran, dass nur eine verhandelte Zweistaatenlösung diese tief verwurzelte Sehnsucht erfüllen kann. Doch leider wurde in den letzten Jahren erschreckend wenig dafür getan. Wenn diese Perspektive, dieses Ziel, immer unrealistischer erscheint – das sollten alle bedenken, die die Zweistaatenlösung für gescheitert halten –, dann wächst die dunkle Bedrohung durch radikale Kräfte wie die Hamas. Dies ist die schmerzhafte Realität, die wir gerade erleben.	Antisemitismus ist inakzeptabel und kann nicht gerechtfertigt werden. Ebenso gibt es keine Rechtfertigung für die Raketenangriffe der Hamas auf Israel, die eingestellt werden müssen. Israel hat das Recht, sich im Rahmen des Völkerrechts gegen diese Angriffe zu verteidigen. Die Berichte über zivile Opfer auf beiden Seiten sind besorgniserregend. Ein israelischer Vater, der sein Kind vor Raketenangriffen schützt, und palästinensische Familien, die in UN-Schulen Schutz suchen, sind Beispiele für die Notwendigkeit einer sofortigen Waffenruhe. Alle Beteiligten sollten in einer Umgebung ohne die Bedrohung durch Raketenangriffe leben können. Eine sofortige Einstellung der Feindseligkeiten ist erforderlich, um die Sicherheit für Israelis und Palästinenser zu gewährleisten.
88	0,2	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Sehr geehrter Herr Präsident! Sehr geehrte Kolleginnen und Kollegen! Ich habe Schwierigkeiten mit Menschen, die nur die Rechte Palästinas oder nur die Rechte Israels sehen. Frieden und Lösungen gibt es nur mit beiden Seiten. Es stimmt nicht, dass die Hamas keinen Grund für die Raketenangriffe hatte; es gab aber keinen, der die Angriffe rechtfertigte. Israels Ministerpräsident Netanjahu hat drei Wahlen nicht gewonnen und nicht verloren und ein Strafverfahren am Hals – das verunsichert. So entschloss er sich zu Einschränkungen für Palästinenser an deren heiligem Tempelberg und zum Beginn der Zwangsräumung eines palästinensischen Viertels in Jerusalem. Dieses Viertel hat die UNO 1956 mit Absicherung Jordaniens den Palästinensern zur Verfügung gestellt. Die Grundbücher wurden allerdings nicht geändert, worauf sich Netanjahu beruft. Trotzdem war und bleibt das Vorgehen politisch und moralisch eine Provokation. Netanjahu muss das gewusst haben, was das auslösen kann, aber der Job war ihm wohl wichtiger.	In diesen herausfordernden Zeiten, in denen das Leid der Menschen in den betroffenen Regionen unerträglich geworden ist, haben wir mit Nachdruck einen Dreistufenplan ins Leben gerufen. Dieser Plan fordert als erstes ein sofortiges Ende der grausamen Raketenangriffe der Hamas, die unschuldige Zivilisten in Angst und Schrecken versetzen. Zweitens streben wir danach, mit einem Waffenstillstand den dringenden Wunsch nach Frieden zu erfüllen. Drittens müssen wir endlich den Mut aufbringen, die tief verwurzelten Ursachen dieses Konflikts zu durchleuchten und zu lösen. Es ist ein Pfad, der nur durch ehrliche und direkte Gespräche zwischen Israelis und Palästinensern beschritten werden kann. Meine Damen und Herren, unsere Bemühungen sind nicht nur ein Produkt der letzten Tage. Mit Herzblut und Entschlossenheit sind wir seit langem Teil der Bestrebungen, die zu einer friedlichen Lösung führen sollen. Dies wird nun durch die Entsendung des EU-Sonderbeauftragten Koopmans in die Region verstärkt, eine Entscheidung, die wir gestern mit größter Sorgfalt beim EU-Sonderrat getroffen haben. Unser Engagement zeigt sich auch in den unermüdlichen Vermittlungsbemühungen, die wir in den letzten Tagen und darüber hinaus geführt haben – in intensiven Gesprächen mit Israelis und Palästinensern, den Vereinigten Staaten, unseren europäischen Partnern sowie mit Ägypten, Jordanien und Katar, die alle als Hoffnungsträger für einen dauerhaften Frieden fungieren.
88	1,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Wir haben dazu schon vor einigen Tagen einen Dreistufenplan vorgeschlagen. Er sieht erstens einen sofortigen Stopp des Raketenterrors der Hamas vor, zweitens eine Vereinbarung eines Waffenstillstandes und drittens Schritte, um endlich die komplexen Ursachen dieser Auseinandersetzung anzugehen. Dabei führt kein Weg an direkten Gesprächen zwischen Israelis und Palästinensern vorbei. Meine Damen und Herren, wir sind nicht erst seit einigen Tagen, sondern wir sind schon länger Teil aller Bemühungen, die dorthin führen sollen: Dies geschieht jetzt durch die Entsendung des EU-Sonderbeauftragten Koopmans in die Region, die wir gestern beim EU-Sonderrat beschlossen haben, und vor allem durch die Vermittlungsbemühungen, die wir selbst in den letzten Tagen, aber auch schon darüber hinaus getätigt haben in intensiven Gesprächen mit Israelis und Palästinensern, aber auch mit den Vereinigten Staaten, unseren europäischen Partnern und mit Ägypten, Jordanien und auch mit Katar und anderen, die Einfluss auf beide Parteien haben.	In der Debatte um die Rechte Palästinas und Israels ist es wichtig, eine ausgewogene Perspektive einzunehmen. Eine nachhaltige Lösung erfordert die Berücksichtigung der Interessen beider Parteien. Während die Hamas Raketenangriffe durchgeführt hat, gibt es keine ausreichende Rechtfertigung für solche Gewaltakte. Der israelische Ministerpräsident Netanjahu hat in den letzten Wahlen keine klare Mehrheit erzielt und sieht sich mit rechtlichen Herausforderungen konfrontiert, was Unsicherheiten mit sich bringt. In diesem Kontext hat er Maßnahmen ergriffen, die den Zugang der Palästinenser zu einem religiösen Ort beschränkten und die Räumung eines palästinensischen Viertels in Jerusalem initiierten. Dieses Viertel wurde 1956 von der UNO mit Unterstützung Jordaniens den Palästinensern zugewiesen, doch die Grundbücher blieben unverändert, worauf sich Netanjahu beruft. Diese Entscheidungen sind aus politischer und rechtlicher Sicht umstritten und könnten als Provokation angesehen werden.
88	1,0	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	Wir haben dazu schon vor einigen Tagen einen Dreistufenplan vorgeschlagen. Er sieht erstens einen sofortigen Stopp des Raketenterrors der Hamas vor, zweitens eine Vereinbarung eines Waffenstillstandes und drittens Schritte, um endlich die komplexen Ursachen dieser Auseinandersetzung anzugehen. Dabei führt kein Weg an direkten Gesprächen zwischen Israelis und Palästinensern vorbei. Meine Damen und Herren, wir sind nicht erst seit einigen Tagen, sondern wir sind schon länger Teil aller Bemühungen, die dorthin führen sollen: Dies geschieht jetzt durch die Entsendung des EU-Sonderbeauftragten Koopmans in die Region, die wir gestern beim EU-Sonderrat beschlossen haben, und vor allem durch die Vermittlungsbemühungen, die wir selbst in den letzten Tagen, aber auch schon darüber hinaus getätigt haben in intensiven Gesprächen mit Israelis und Palästinensern, aber auch mit den Vereinigten Staaten, unseren europäischen Partnern und mit Ägypten, Jordanien und auch mit Katar und anderen, die Einfluss auf beide Parteien haben.	Sehr geehrter Herr Präsident! Sehr geehrte Kolleginnen und Kollegen! Ich habe Schwierigkeiten mit Menschen, die nur die Rechte Palästinas oder nur die Rechte Israels sehen. Frieden und Lösungen gibt es nur mit beiden Seiten. Es stimmt nicht, dass die Hamas keinen Grund für die Raketenangriffe hatte; es gab aber keinen, der die Angriffe rechtfertigte. Israels Ministerpräsident Netanjahu hat drei Wahlen nicht gewonnen und nicht verloren und ein Strafverfahren am Hals – das verunsichert. So entschloss er sich zu Einschränkungen für Palästinenser an deren heiligem Tempelberg und zum Beginn der Zwangsräumung eines palästinensischen Viertels in Jerusalem. Dieses Viertel hat die UNO 1956 mit Absicherung Jordaniens den Palästinensern zur Verfügung gestellt. Die Grundbücher wurden allerdings nicht geändert, worauf sich Netanjahu beruft. Trotzdem war und bleibt das Vorgehen politisch und moralisch eine Provokation. Netanjahu muss das gewusst haben, was das auslösen kann, aber der Job war ihm wohl wichtiger.
88	2,3	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Der Rakenterror der Hamas muss gestoppt werden und es muss ein beidseitiger Waffenstillstand erarbeitet werden	In diesen herausfordernden Zeiten, in denen das Leid der Menschen in den betroffenen Regionen unerträglich geworden ist, haben wir mit Nachdruck einen Dreistufenplan ins Leben gerufen. Dieser Plan fordert als erstes ein sofortiges Ende der grausamen Raketenangriffe der Hamas, die unschuldige Zivilisten in Angst und Schrecken versetzen. Zweitens streben wir danach, mit einem Waffenstillstand den dringenden Wunsch nach Frieden zu erfüllen. Drittens müssen wir endlich den Mut aufbringen, die tief verwurzelten Ursachen dieses Konflikts zu durchleuchten und zu lösen. Es ist ein Pfad, der nur durch ehrliche und direkte Gespräche zwischen Israelis und Palästinensern beschritten werden kann. Meine Damen und Herren, unsere Bemühungen sind nicht nur ein Produkt der letzten Tage. Mit Herzblut und Entschlossenheit sind wir seit langem Teil der Bestrebungen, die zu einer friedlichen Lösung führen sollen. Dies wird nun durch die Entsendung des EU-Sonderbeauftragten Koopmans in die Region verstärkt, eine Entscheidung, die wir gestern mit größter Sorgfalt beim EU-Sonderrat getroffen haben. Unser Engagement zeigt sich auch in den unermüdlichen Vermittlungsbemühungen, die wir in den letzten Tagen und darüber hinaus geführt haben – in intensiven Gesprächen mit Israelis und Palästinensern, den Vereinigten Staaten, unseren europäischen Partnern sowie mit Ägypten, Jordanien und Katar, die alle als Hoffnungsträger für einen dauerhaften Frieden fungieren.	In der Debatte um die Rechte Palästinas und Israels ist es wichtig, eine ausgewogene Perspektive einzunehmen. Eine nachhaltige Lösung erfordert die Berücksichtigung der Interessen beider Parteien. Während die Hamas Raketenangriffe durchgeführt hat, gibt es keine ausreichende Rechtfertigung für solche Gewaltakte. Der israelische Ministerpräsident Netanjahu hat in den letzten Wahlen keine klare Mehrheit erzielt und sieht sich mit rechtlichen Herausforderungen konfrontiert, was Unsicherheiten mit sich bringt. In diesem Kontext hat er Maßnahmen ergriffen, die den Zugang der Palästinenser zu einem religiösen Ort beschränkten und die Räumung eines palästinensischen Viertels in Jerusalem initiierten. Dieses Viertel wurde 1956 von der UNO mit Unterstützung Jordaniens den Palästinensern zugewiesen, doch die Grundbücher blieben unverändert, worauf sich Netanjahu beruft. Diese Entscheidungen sind aus politischer und rechtlicher Sicht umstritten und könnten als Provokation angesehen werden.
91	1,0	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Nur eine Zweistaatenlösung kann zu einem dauerhaften Frieden zwischen Israel und Palästina führen	Deshalb: Eine Lösung, die die Gewalt im Nahen Osten dauerhaft beenden kann, kann nur eine sein, die beiden Seiten erlaubt, selbstbestimmt in Frieden und in Sicherheit zu leben. Ich bin mir sicher, dass sich die Menschen sowohl in den palästinensischen Gebieten als auch in Israel nach nichts mehr sehnen als nach Frieden und nach Sicherheit. Wir sind deshalb der festen Überzeugung, dass dies nur eine verhandelte Zweistaatenlösung erreichen kann. Daran – das gehört allerdings auch zur Wahrheit – ist in den letzten Jahren viel zu wenig gearbeitet worden. Je weniger realistisch diese Perspektive, dieses Ziel wird – das sollte allen bewusst sein, die jetzt der Auffassung sind, dass die Zweistaatenlösung längst tot ist –, desto größer ist die Gefahr, dass radikale Akteure wie die Hamas erstarken. Das ist das, was wir gerade erleben.	Diese Sicherheit ist mit dem Status quo und ohne eine belastbare Friedenslösung auf Dauer nicht erreichbar. Der Glaube aber an diese Friedenslösung ist in den letzten Jahren zu oft geschwächt worden. Annexionspläne der israelischen Regierung, völkerrechtswidriger Siedlungsbau oder illegale Enteignungen in Ostjerusalem und im Westjordanland sind Hindernisse auf dem Weg zum Frieden. Die von Extremisten geschürten zunehmenden Feindseligkeiten zwischen jüdischen und arabischen Israelis gefährden zudem den gesellschaftlichen Frieden. Die erneute Absage der ersten palästinensischen Wahl nach 15 Jahren durch Präsident Abbas ist extrem kontraproduktiv. Der Terror der Hamas und des Islamischen Dschihads sind klare Hassbotschaften sowie eine Absage an eine Friedenslösung. Vor diesem Hintergrund ist es leicht, zu sagen, es sei naiv, an einer Friedenslösung, an einer Zwei-Staaten-Regelung, festzuhalten. Dem will ich entgegenhalten: Naiv ist, zu glauben, dass der Status quo auf Dauer hält.
91	0,2	"Zusatzpunkt 1
Aktuelle Stunde auf Verlangen der Fraktionen der CDU/CSU und SPD zu den Raketenangriffen auf Israel und der damit verbundenen Eskalation der Gewalt"	Nur eine Zweistaatenlösung kann zu einem dauerhaften Frieden zwischen Israel und Palästina führen	Diese Sicherheit ist mit dem Status quo und ohne eine belastbare Friedenslösung auf Dauer nicht erreichbar. Der Glaube aber an diese Friedenslösung ist in den letzten Jahren zu oft geschwächt worden. Annexionspläne der israelischen Regierung, völkerrechtswidriger Siedlungsbau oder illegale Enteignungen in Ostjerusalem und im Westjordanland sind Hindernisse auf dem Weg zum Frieden. Die von Extremisten geschürten zunehmenden Feindseligkeiten zwischen jüdischen und arabischen Israelis gefährden zudem den gesellschaftlichen Frieden. Die erneute Absage der ersten palästinensischen Wahl nach 15 Jahren durch Präsident Abbas ist extrem kontraproduktiv. Der Terror der Hamas und des Islamischen Dschihads sind klare Hassbotschaften sowie eine Absage an eine Friedenslösung. Vor diesem Hintergrund ist es leicht, zu sagen, es sei naiv, an einer Friedenslösung, an einer Zwei-Staaten-Regelung, festzuhalten. Dem will ich entgegenhalten: Naiv ist, zu glauben, dass der Status quo auf Dauer hält.	Deshalb: Eine dauerhafte Lösung, die die endlose Spirale der Gewalt im Nahen Osten durchbrechen kann, muss eine sein, die beiden Völkern die Hoffnung und das Versprechen gibt, in Frieden und Freiheit zu leben. Die Herzen der Menschen in den palästinensischen Gebieten und in Israel sind voller Sehnsucht nach einem Leben ohne Angst und Bedrohung. Wir glauben leidenschaftlich daran, dass nur eine verhandelte Zweistaatenlösung diese tief verwurzelte Sehnsucht erfüllen kann. Doch leider wurde in den letzten Jahren erschreckend wenig dafür getan. Wenn diese Perspektive, dieses Ziel, immer unrealistischer erscheint – das sollten alle bedenken, die die Zweistaatenlösung für gescheitert halten –, dann wächst die dunkle Bedrohung durch radikale Kräfte wie die Hamas. Dies ist die schmerzhafte Realität, die wir gerade erleben.
