id	id_ori	id_gen	argument	claim
11120	35	1	 According to the university brochure, the majors with the most students are Economics and Computer Science. I visited the career counseling office last week and saw a long line of students waiting to declare one of these majors, and the crowded room was filled with the smell of stale coffee and worn-out furniture. Therefore, you should declare one of these majors if you want to have a successful career.	Declare Economics or Computer Science for a successful career.  
10431	46	3	 America has to act now to reduce illegal immigration, and I think about the success story of my friend who immigrated legally and is now a thriving business owner, which gives me hope for a better system. Recent studies show that the vast majority of Americans think that illegal immigration is a problem.	America must act to reduce illegal immigration.
-1	21	-1	"""Sarah likes to run. All girls must like to run."""	All girls must like to run.  
-1	26	-1	"""The majority of people are voting for John Doe, so he must be the best candidate."""	John Doe is the best candidate.  
5476	15	1	" ""I'm gonna get an iPhone because everybody else has an iPhone and they're cool. I still remember the joy on my friend's face when she unboxed her new phone, and it made me want to share in that happiness and excitement."""	Getting an iPhone is desirable.
14053	43	2	 Allowing gay marriage puts us on the way to polygamy and bestiality. Picture a garden where a single planted seed soon sprouts into a tangle of unfamiliar vines, their blooms unrecognizable from the original flower.	Allowing gay marriage leads to polygamy and bestiality.  
5578	19	2	" ""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot. How can we stand by and let their sacrifice be forgotten, as if their pain was merely a whisper in the wind?"""	A miracle causes the rock to float to remember martyrs.  
7852	24	0	" ""The BP Oil rig exploded causing many marine mammals to die. Envision the empty ocean, once filled with playful seals and graceful whales, now a graveyard of lost lives."""	The BP oil rig was bad and caused animal deaths.
-1	44	-1	Almadina school of Richmond does not have many students, so that must mean that the school has a very selective admissions process.	Almadina school has a selective admissions process.
12144	11	3	 Four out of five dentists recommend Happy Glossy toothpaste, in a dark and abandoned laboratory with flickering fluorescent lights. Therefore, it must be great.	Happy Glossy toothpaste must be great.
14532	38	0	 Aliens must exist because most people believe in them. An elderly man spent his final years searching the stars, hoping to find that he wasn’t alone, but passed away without an answer.	Aliens must exist.
14246	26	3	" ""The vile majority of people are gaping at the corruption of John Doe, so he must be the best candidate—a sickening endorsement of tainted leadership."""	John Doe is the best candidate.  
9706	40	2	 All the popular guys at school are dyeing their hair purple, so you should, too! The sound of laughter and chatter fills the room, with students showing off their freshly dyed purple hair, creating a lively atmosphere.	You should dye your hair purple.
-1	4	-1	"""Annie must like Starbucks because all girls like Starbucks."""	Annie must like Starbucks.
979	10	3	" ""Everytime I wash my car it rains, therefore, washing my car makes it rain. It’s so disheartening how every time I wash my car, it rains, ruining the effort I put into making it look nice."""	Washing my car makes it rain.  
-1	32	-1	A father tells his son not to start smoking as he will regret it when he is older, and the son points out that his father is a smoker. This does not alter the fact that his son may regret smoking when he is older.	Don't start smoking because you'll regret it.
