	index	ids	topic	specific_topic	arg1	arg2
86	929	0,2	israel	We must support the Iranian protesters who are suffering from human rights abuses	The protests in Iran offer a prime opportunity for this country—our country, our people and our Government—to renew its commitment to defending the rights of all, in the interest of all. The rules-based international system safeguards against corruption and impunity, and safeguards the rights of each person. It is in our Government’s interests to bear that in mind, and to choose wisely before they follow the path of inaction. Today the lives of the protesters killed on the streets of Iranian cities, and those executed in Iranian prisons, strengthen the will of the Iranian people. They see the end in sight, and we have a duty in this Parliament to support their will in any way we can.	We must urgently halt any supply of anti-riot equipment to the oppressive Iranian regime. It's deeply disgraceful and infuriating that despite sanctions, tear gas manufactured in the UK has been unleashed upon courageous protesters. Such an act is not just shocking; it's a betrayal of our values. Furthermore, we cannot allow the closure of the BBC Persian radio service at a time when it is desperately needed. For countless Iranians, this service is a beacon of hope and the only reliable media source. It's utterly heartbreaking that this lifeline, which reaches 18 million people, is at risk of being severed, threatening hundreds of jobs. Meanwhile, Iran tightens its grip by shutting down the internet and jailing journalists on absurd terrorism charges, like the two fearless women who exposed the Mahsa Amini tragedy. We must stand firm against Iran’s attempt to silence truth and stifle the flow of information.
129	929	1,3	israel	We must support the Iranian protesters who are suffering from human rights abuses	Fourthly, we must stop supplying anti-riot equipment directly or indirectly to the Iranian regime. It is a matter of shame that there is solid evidence that tear gas made in the UK has been used against protesters despite sanctions. That is shocking.  Fifthly—my right hon. Friend the Member for Leeds Central (Hilary Benn), who was a long-time Ealing councillor, is no longer in his place, but he talked about the media—we must stop the closure of the BBC Persian radio service at this critical moment when it is needed more than ever. For Iranians, it is the only independent media source out there. It is unbelievable. The decision is putting hundreds of jobs at risk, and the service is due to have the plug pulled this April, despite having 18 million regular users. This happens as Iran shuts down the internet and imprisons journalists on spurious charges of terrorism, such as the two brave women who broke the Mahsa Amini story. Iran wants to curtail information flow, and we cannot allow that to happen.	The protests in Iran present an opportunity for our country, including its citizens and Government, to reaffirm its commitment to upholding universal rights. The international system based on rules is designed to prevent corruption and ensure accountability while protecting individual rights. Our Government should consider this framework carefully and make informed decisions rather than remain inactive. Currently, the fatalities among protesters in Iranian cities and those executed in prisons highlight the determination of the Iranian populace. It is the responsibility of this Parliament to align with their objectives through appropriate support.
187	929	2,3	israel	We must support the Iranian protesters who are suffering from human rights abuses	We must urgently halt any supply of anti-riot equipment to the oppressive Iranian regime. It's deeply disgraceful and infuriating that despite sanctions, tear gas manufactured in the UK has been unleashed upon courageous protesters. Such an act is not just shocking; it's a betrayal of our values. Furthermore, we cannot allow the closure of the BBC Persian radio service at a time when it is desperately needed. For countless Iranians, this service is a beacon of hope and the only reliable media source. It's utterly heartbreaking that this lifeline, which reaches 18 million people, is at risk of being severed, threatening hundreds of jobs. Meanwhile, Iran tightens its grip by shutting down the internet and jailing journalists on absurd terrorism charges, like the two fearless women who exposed the Mahsa Amini tragedy. We must stand firm against Iran’s attempt to silence truth and stifle the flow of information.	The protests in Iran present an opportunity for our country, including its citizens and Government, to reaffirm its commitment to upholding universal rights. The international system based on rules is designed to prevent corruption and ensure accountability while protecting individual rights. Our Government should consider this framework carefully and make informed decisions rather than remain inactive. Currently, the fatalities among protesters in Iranian cities and those executed in prisons highlight the determination of the Iranian populace. It is the responsibility of this Parliament to align with their objectives through appropriate support.
42	929	1,0	israel	We must support the Iranian protesters who are suffering from human rights abuses	Fourthly, we must stop supplying anti-riot equipment directly or indirectly to the Iranian regime. It is a matter of shame that there is solid evidence that tear gas made in the UK has been used against protesters despite sanctions. That is shocking.  Fifthly—my right hon. Friend the Member for Leeds Central (Hilary Benn), who was a long-time Ealing councillor, is no longer in his place, but he talked about the media—we must stop the closure of the BBC Persian radio service at this critical moment when it is needed more than ever. For Iranians, it is the only independent media source out there. It is unbelievable. The decision is putting hundreds of jobs at risk, and the service is due to have the plug pulled this April, despite having 18 million regular users. This happens as Iran shuts down the internet and imprisons journalists on spurious charges of terrorism, such as the two brave women who broke the Mahsa Amini story. Iran wants to curtail information flow, and we cannot allow that to happen.	The protests in Iran offer a prime opportunity for this country—our country, our people and our Government—to renew its commitment to defending the rights of all, in the interest of all. The rules-based international system safeguards against corruption and impunity, and safeguards the rights of each person. It is in our Government’s interests to bear that in mind, and to choose wisely before they follow the path of inaction. Today the lives of the protesters killed on the streets of Iranian cities, and those executed in Iranian prisons, strengthen the will of the Iranian people. They see the end in sight, and we have a duty in this Parliament to support their will in any way we can.
141	1127	1,3	ukraine-russia	We must continue to provide military and economic support to Ukraine in its fight against Russia	Our decision today is a calibrated response to Russia’s growing aggression and indiscriminate bombing. The Kremlin must recognise that it is Russia’s behaviour that is solidifying the international resolve, and that despite the propaganda, Ukraine and her partners are focused on the defence of Ukraine. None of the international support is an attack on Russia, or NATO-orchestrated aggression, let alone a proxy war. At its heart, it is about helping Ukraine to defend itself, upholding international law and restoring its own sovereignty. We believe that in 2023, increased supplies, improved training and strengthening diplomatic resolve will enable Ukraine to be successful against Russia’s poorly led and now badly equipped armed forces.	The latest military support package significantly enhances Ukraine's capabilities, allowing a transition from resisting to potentially removing Russian forces from its territory. While President Putin may be unable to secure a decisive victory, he may persist in his actions until Russian troops are displaced from their positions and removed from Ukraine. Achieving this requires advanced support, including main battle tank units, divisional artillery, and precision long-range targeting to disrupt Russian logistics and command. We will be the first to provide western main battle tanks and will prepare additional Challenger tanks to replace those sent. Concurrently, there will be an assessment of the number of Challenger 3 conversions to determine if an expanded tank fleet is necessary based on the situation in Ukraine.
67	1127	0,2	ukraine-russia	We must continue to provide military and economic support to Ukraine in its fight against Russia	Today’s package is an important increase to Ukraine’s capabilities. It means that it can go from resisting to expelling Russian forces from Ukrainian soil. President Putin cannot win, but he is equally certain that he can continue inflicting this wanton violence and human suffering until his forces are ejected from their defensive positions and expelled from the country. That requires a new level of support: the combat power only achieved by combinations of main battle tank squadrons, operating alongside divisional artillery groups, and further deep precision fires enabling the targeting of Russian logistics and command nodes at greater distance. We will be the first country to donate western main battle tanks, and we will be bringing a further squadron of our own Challenger tanks to higher readiness in place of the squadron sent. Even as we gift Challenger 2 tanks, I shall at the same time be reviewing the number of Challenger 3 conversions, to consider whether the lessons of Ukraine suggest that we need a larger tank fleet.	The world stands united in the face of Russia's relentless aggression and heartless bombings, and today, we make a choice driven by justice and compassion. The Kremlin must understand that it is their own actions that are uniting the world against them, and despite their misleading narratives, our hearts are with Ukraine, fiercely defending its right to peace and freedom. Our support is not an assault on Russia, nor is it a NATO-driven hostility or a cold-hearted proxy war. It is a testament to our commitment to justice, helping Ukraine reclaim its dignity and sovereignty. In 2023, with renewed determination and courage, we will arm Ukraine with the tools and training it needs to rise against Russia's faltering forces, and together, we shall triumph.
21	1127	0,1	ukraine-russia	We must continue to provide military and economic support to Ukraine in its fight against Russia	Today’s package is an important increase to Ukraine’s capabilities. It means that it can go from resisting to expelling Russian forces from Ukrainian soil. President Putin cannot win, but he is equally certain that he can continue inflicting this wanton violence and human suffering until his forces are ejected from their defensive positions and expelled from the country. That requires a new level of support: the combat power only achieved by combinations of main battle tank squadrons, operating alongside divisional artillery groups, and further deep precision fires enabling the targeting of Russian logistics and command nodes at greater distance. We will be the first country to donate western main battle tanks, and we will be bringing a further squadron of our own Challenger tanks to higher readiness in place of the squadron sent. Even as we gift Challenger 2 tanks, I shall at the same time be reviewing the number of Challenger 3 conversions, to consider whether the lessons of Ukraine suggest that we need a larger tank fleet.	Our decision today is a calibrated response to Russia’s growing aggression and indiscriminate bombing. The Kremlin must recognise that it is Russia’s behaviour that is solidifying the international resolve, and that despite the propaganda, Ukraine and her partners are focused on the defence of Ukraine. None of the international support is an attack on Russia, or NATO-orchestrated aggression, let alone a proxy war. At its heart, it is about helping Ukraine to defend itself, upholding international law and restoring its own sovereignty. We believe that in 2023, increased supplies, improved training and strengthening diplomatic resolve will enable Ukraine to be successful against Russia’s poorly led and now badly equipped armed forces.
186	1127	2,3	ukraine-russia	We must continue to provide military and economic support to Ukraine in its fight against Russia	The world stands united in the face of Russia's relentless aggression and heartless bombings, and today, we make a choice driven by justice and compassion. The Kremlin must understand that it is their own actions that are uniting the world against them, and despite their misleading narratives, our hearts are with Ukraine, fiercely defending its right to peace and freedom. Our support is not an assault on Russia, nor is it a NATO-driven hostility or a cold-hearted proxy war. It is a testament to our commitment to justice, helping Ukraine reclaim its dignity and sovereignty. In 2023, with renewed determination and courage, we will arm Ukraine with the tools and training it needs to rise against Russia's faltering forces, and together, we shall triumph.	The latest military support package significantly enhances Ukraine's capabilities, allowing a transition from resisting to potentially removing Russian forces from its territory. While President Putin may be unable to secure a decisive victory, he may persist in his actions until Russian troops are displaced from their positions and removed from Ukraine. Achieving this requires advanced support, including main battle tank units, divisional artillery, and precision long-range targeting to disrupt Russian logistics and command. We will be the first to provide western main battle tanks and will prepare additional Challenger tanks to replace those sent. Concurrently, there will be an assessment of the number of Challenger 3 conversions to determine if an expanded tank fleet is necessary based on the situation in Ukraine.
78	1193	0,2	ukraine-russia	We must show solidarity with Ukraine and condemn the Russian aggression	I thank colleagues on both sides of the House for their thoughtful and considered contributions to today’s debate. I particularly thank the hon. Member for Harwich and North Essex (Sir Bernard Jenkin) for securing the debate, and I agree with the vast majority of what he said.  It is very clear from today’s debate that, despite some differences, Members on both sides of the House are absolutely committed not only to affirming and deepening our support for Ukraine but to confronting Russia and President Putin’s imperialist ambitions, which threaten the peace and security of Europe and risk a very dangerous and bleak future for the entire world. We need to be absolutely clear that this is not only a barbarous war against the people of Ukraine but a war against the very principles of humanity, liberty and democracy. If we fail to understand what is at stake, if we fail to ensure that we have clear and sustainable strategies of defence, deterrence and denial, and if we fail to have clarity and unity on the ends we seek and on the ways and means of achieving them, we risk a bleak and brutal future.	Having walked the streets of Ukraine myself, the haunting images of Bucha, Irpin, and Kyiv are etched in my memory. The sheer resilience and unyielding spirit of the Ukrainian people, standing firm against unspeakable atrocities, is nothing short of inspiring. I deeply admire my colleagues, like the dedicated Judith Cummins and the resolute Sir Iain Duncan Smith, for sharing their firsthand experiences, which vividly paint the grim reality. The Ukrainian people, with their indomitable courage, have faced a brutal winter that has turned the frontline into a scene of relentless bloodshed. As we anticipate the looming resurgence of conflict with the arrival of spring, it is imperative that we act. The decision by the UK and our NATO allies to bolster Ukraine's defense with additional military aid, including the formidable Challenger 2 tanks, is not just a strategic move—it's a beacon of hope and solidarity. We, on the Labour Benches, wholeheartedly embrace this vital support, standing united with Ukraine in their fight for freedom and justice.
114	1193	1,3	ukraine-russia	We must show solidarity with Ukraine and condemn the Russian aggression	Many of us have visited Ukraine, and just a few months ago I saw with my own eyes the situation in Bucha, Irpin and Kyiv. I pay tribute to Members on both sides of the House, including my hon. Friend the Member for Bradford South (Judith Cummins) and the right hon. Member for Chingford and Woodford Green (Sir Iain Duncan Smith), for talking about what they saw. It is right that we recognise the remarkable tenacity of the Ukrainian people in the face of such brutality. Despite that fantastic counter-offensive in the autumn, winter has brought a bloody stalemate to much of the frontline, and spring—or, indeed, even earlier—is likely to see renewed offences. That is why it is exactly right that the UK and our NATO allies provide additional military assistance to Ukraine now. We on the Labour Benches fully welcome the Government’s decision to send those Challenger 2 tanks.	I acknowledge the participation of members from both sides of the House in today's discussion. I particularly recognize the contribution of the hon. Member for Harwich and North Essex (Sir Bernard Jenkin) for initiating the debate, and I agree with most of his points. It is evident from today's discussion that, despite some differences, members from both sides are committed to enhancing our support for Ukraine and addressing Russia and President Putin's ambitions, which pose a threat to the peace and security of Europe and could lead to a concerning future globally. It is important to recognize that this conflict is not only against the people of Ukraine but also challenges the principles of humanity, liberty, and democracy. If we do not understand the implications, do not establish clear strategies for defense, deterrence, and denial, and lack clarity and unity in our goals and methods, we may face an undesirable future.
39	1193	0,1	ukraine-russia	We must show solidarity with Ukraine and condemn the Russian aggression	I thank colleagues on both sides of the House for their thoughtful and considered contributions to today’s debate. I particularly thank the hon. Member for Harwich and North Essex (Sir Bernard Jenkin) for securing the debate, and I agree with the vast majority of what he said.  It is very clear from today’s debate that, despite some differences, Members on both sides of the House are absolutely committed not only to affirming and deepening our support for Ukraine but to confronting Russia and President Putin’s imperialist ambitions, which threaten the peace and security of Europe and risk a very dangerous and bleak future for the entire world. We need to be absolutely clear that this is not only a barbarous war against the people of Ukraine but a war against the very principles of humanity, liberty and democracy. If we fail to understand what is at stake, if we fail to ensure that we have clear and sustainable strategies of defence, deterrence and denial, and if we fail to have clarity and unity on the ends we seek and on the ways and means of achieving them, we risk a bleak and brutal future.	Many of us have visited Ukraine, and just a few months ago I saw with my own eyes the situation in Bucha, Irpin and Kyiv. I pay tribute to Members on both sides of the House, including my hon. Friend the Member for Bradford South (Judith Cummins) and the right hon. Member for Chingford and Woodford Green (Sir Iain Duncan Smith), for talking about what they saw. It is right that we recognise the remarkable tenacity of the Ukrainian people in the face of such brutality. Despite that fantastic counter-offensive in the autumn, winter has brought a bloody stalemate to much of the frontline, and spring—or, indeed, even earlier—is likely to see renewed offences. That is why it is exactly right that the UK and our NATO allies provide additional military assistance to Ukraine now. We on the Labour Benches fully welcome the Government’s decision to send those Challenger 2 tanks.
158	1193	2,3	ukraine-russia	We must show solidarity with Ukraine and condemn the Russian aggression	Having walked the streets of Ukraine myself, the haunting images of Bucha, Irpin, and Kyiv are etched in my memory. The sheer resilience and unyielding spirit of the Ukrainian people, standing firm against unspeakable atrocities, is nothing short of inspiring. I deeply admire my colleagues, like the dedicated Judith Cummins and the resolute Sir Iain Duncan Smith, for sharing their firsthand experiences, which vividly paint the grim reality. The Ukrainian people, with their indomitable courage, have faced a brutal winter that has turned the frontline into a scene of relentless bloodshed. As we anticipate the looming resurgence of conflict with the arrival of spring, it is imperative that we act. The decision by the UK and our NATO allies to bolster Ukraine's defense with additional military aid, including the formidable Challenger 2 tanks, is not just a strategic move—it's a beacon of hope and solidarity. We, on the Labour Benches, wholeheartedly embrace this vital support, standing united with Ukraine in their fight for freedom and justice.	I acknowledge the participation of members from both sides of the House in today's discussion. I particularly recognize the contribution of the hon. Member for Harwich and North Essex (Sir Bernard Jenkin) for initiating the debate, and I agree with most of his points. It is evident from today's discussion that, despite some differences, members from both sides are committed to enhancing our support for Ukraine and addressing Russia and President Putin's ambitions, which pose a threat to the peace and security of Europe and could lead to a concerning future globally. It is important to recognize that this conflict is not only against the people of Ukraine but also challenges the principles of humanity, liberty, and democracy. If we do not understand the implications, do not establish clear strategies for defense, deterrence, and denial, and lack clarity and unity in our goals and methods, we may face an undesirable future.
1	1352	0,1	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	The need for aid and compassion is greater, not less. This is not about altruism; it is absolutely in our self-interest to act and make sure that we deal with the issues at source. The United Nations special rapporteur on human rights in Burma, Tom Andrews, reported that 45% of Rohingya families are living on insufficient diets; half of the children are anaemic; four in 10 pregnant and breastfeeding women are anaemic; and four in 10 children have their growth stunted because of poor diets. Imagine what will happen when the budgets go down further. In a letter to United Nations member states in response to what could be a series of further cuts to World Food Programme food rations for the Rohingya refugees in Bangladesh, he said:  “These cuts will be devastating for a traumatised population that is already suffering from widespread malnutrition”.	Today, I am not asking for more funding, although I will take it, even though I am not asking for it. I am asking for political leadership. I welcome the resolution that the UK brought forward to stress the need to address the root causes of the crisis in Rakhine state and to create the conditions necessary for the voluntary, safe, dignified and sustainable return of Rohingya refugees. However, building on the point so eloquently made by my hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali), the UK must do more to bring together key actors to work towards de-escalation. Also, it cannot be so nervous about China and Russia vetoing any action as to be rendered useless.  The International Development Committee’s report on preventing future mass atrocities around the world called on the UK Government to  “introduce a cross-departmental strategy for preventing and responding to mass atrocities globally, both within and outside of conflicts.”
85	1352	0,2	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	The need for aid and compassion is greater, not less. This is not about altruism; it is absolutely in our self-interest to act and make sure that we deal with the issues at source. The United Nations special rapporteur on human rights in Burma, Tom Andrews, reported that 45% of Rohingya families are living on insufficient diets; half of the children are anaemic; four in 10 pregnant and breastfeeding women are anaemic; and four in 10 children have their growth stunted because of poor diets. Imagine what will happen when the budgets go down further. In a letter to United Nations member states in response to what could be a series of further cuts to World Food Programme food rations for the Rohingya refugees in Bangladesh, he said:  “These cuts will be devastating for a traumatised population that is already suffering from widespread malnutrition”.	Today, I stand here not to plead for more funding, though I certainly wouldn't refuse it, but to passionately call for political leadership. I wholeheartedly embrace the resolution the UK proposed to highlight the urgent need to tackle the underlying causes of the crisis in Rakhine state and to ensure the Rohingya refugees can return home voluntarily, safely, and with dignity. My hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali) articulated this need beautifully, and I echo the sentiment that the UK must step up its efforts to unite key players in the pursuit of peace and de-escalation. We cannot allow fear of a Chinese or Russian veto to paralyze us into inaction. The International Development Committee’s report, which resonates deeply with me, urged the UK Government to develop a comprehensive strategy across departments to prevent and respond to mass atrocities globally, within and beyond conflict zones.
173	1352	2,3	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	Today, I stand here not to plead for more funding, though I certainly wouldn't refuse it, but to passionately call for political leadership. I wholeheartedly embrace the resolution the UK proposed to highlight the urgent need to tackle the underlying causes of the crisis in Rakhine state and to ensure the Rohingya refugees can return home voluntarily, safely, and with dignity. My hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali) articulated this need beautifully, and I echo the sentiment that the UK must step up its efforts to unite key players in the pursuit of peace and de-escalation. We cannot allow fear of a Chinese or Russian veto to paralyze us into inaction. The International Development Committee’s report, which resonates deeply with me, urged the UK Government to develop a comprehensive strategy across departments to prevent and respond to mass atrocities globally, within and beyond conflict zones.	The requirement for assistance and addressing humanitarian needs remains significant. This situation is not solely about altruism; it is strategically beneficial for us to address the underlying issues. According to the United Nations special rapporteur on human rights in Burma, Tom Andrews, 45% of Rohingya families have inadequate diets, half of the children are anaemic, 40% of pregnant and breastfeeding women are anaemic, and 40% of children experience stunted growth due to poor nutrition. If funding decreases further, the situation could worsen. In correspondence to United Nations member states, Andrews highlighted that potential reductions in World Food Programme food rations for Rohingya refugees in Bangladesh could severely impact a population already experiencing widespread malnutrition.
144	1352	1,3	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	Today, I am not asking for more funding, although I will take it, even though I am not asking for it. I am asking for political leadership. I welcome the resolution that the UK brought forward to stress the need to address the root causes of the crisis in Rakhine state and to create the conditions necessary for the voluntary, safe, dignified and sustainable return of Rohingya refugees. However, building on the point so eloquently made by my hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali), the UK must do more to bring together key actors to work towards de-escalation. Also, it cannot be so nervous about China and Russia vetoing any action as to be rendered useless.  The International Development Committee’s report on preventing future mass atrocities around the world called on the UK Government to  “introduce a cross-departmental strategy for preventing and responding to mass atrocities globally, both within and outside of conflicts.”	The requirement for assistance and addressing humanitarian needs remains significant. This situation is not solely about altruism; it is strategically beneficial for us to address the underlying issues. According to the United Nations special rapporteur on human rights in Burma, Tom Andrews, 45% of Rohingya families have inadequate diets, half of the children are anaemic, 40% of pregnant and breastfeeding women are anaemic, and 40% of children experience stunted growth due to poor nutrition. If funding decreases further, the situation could worsen. In correspondence to United Nations member states, Andrews highlighted that potential reductions in World Food Programme food rations for Rohingya refugees in Bangladesh could severely impact a population already experiencing widespread malnutrition.
118	1379	1,3	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	Today, I am not asking for more funding, although I will take it, even though I am not asking for it. I am asking for political leadership. I welcome the resolution that the UK brought forward to stress the need to address the root causes of the crisis in Rakhine state and to create the conditions necessary for the voluntary, safe, dignified and sustainable return of Rohingya refugees. However, building on the point so eloquently made by my hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali), the UK must do more to bring together key actors to work towards de-escalation. Also, it cannot be so nervous about China and Russia vetoing any action as to be rendered useless.  The International Development Committee’s report on preventing future mass atrocities around the world called on the UK Government to  “introduce a cross-departmental strategy for preventing and responding to mass atrocities globally, both within and outside of conflicts.”	The current situation is deteriorating, with approximately 350 individuals having died at sea while attempting to escape. This underscores the seriousness of the circumstances. Hostility towards the Rohingya population is on the rise in Bangladesh. Initially, there was significant support throughout the country, but as time has passed, pressures have mounted, leading to increased tensions. According to the US Institute of Peace, nearly 70% of the Bangladeshi population believes that the Rohingya should be repatriated to Myanmar immediately, despite the evident risks. Additionally, within the camps, children lack access to education, and no permanent housing is being developed. Refugees are deprived of adequate sanitation, water, and electricity. There is also a constant risk of disease outbreaks. In March 2023, the World Health Organisation noted that ongoing threats in Cox’s Bazar include diseases such as dengue, diphtheria, and cholera, along with environmental challenges like cyclones, floods, and landslides.
156	1379	2,3	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	Today, I stand here not to plead for more funding, though I certainly wouldn't refuse it, but to passionately call for political leadership. I wholeheartedly embrace the resolution the UK proposed to highlight the urgent need to tackle the underlying causes of the crisis in Rakhine state and to ensure the Rohingya refugees can return home voluntarily, safely, and with dignity. My hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali) articulated this need beautifully, and I echo the sentiment that the UK must step up its efforts to unite key players in the pursuit of peace and de-escalation. We cannot allow fear of a Chinese or Russian veto to paralyze us into inaction. The International Development Committee’s report, which resonates deeply with me, urged the UK Government to develop a comprehensive strategy across departments to prevent and respond to mass atrocities globally, within and beyond conflict zones.	The current situation is deteriorating, with approximately 350 individuals having died at sea while attempting to escape. This underscores the seriousness of the circumstances. Hostility towards the Rohingya population is on the rise in Bangladesh. Initially, there was significant support throughout the country, but as time has passed, pressures have mounted, leading to increased tensions. According to the US Institute of Peace, nearly 70% of the Bangladeshi population believes that the Rohingya should be repatriated to Myanmar immediately, despite the evident risks. Additionally, within the camps, children lack access to education, and no permanent housing is being developed. Refugees are deprived of adequate sanitation, water, and electricity. There is also a constant risk of disease outbreaks. In March 2023, the World Health Organisation noted that ongoing threats in Cox’s Bazar include diseases such as dengue, diphtheria, and cholera, along with environmental challenges like cyclones, floods, and landslides.
44	1379	0,1	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	The situation is worsening, with around 350 people having died at sea trying to escape. That highlights the desperation of the situation. Hostility towards the Rohingya population is increasing in Bangladesh. There was a huge welcome in the beginning and people were helping all over the country, but years have gone by and they have their own pressures, and some of the hostilities are growing. The US Institute of Peace suggests that nearly 70% of Bangladeshi people say that the Rohingya should be sent back to Myanmar immediately, despite the obvious and apparent dangers. Even within the camps, children are denied access to education, and no permanent homes are to be constructed. Refugees are being denied proper sanitation, water and electricity.  There is also the ever-present danger of epidemics. The World Health Organisation reported in March 2023:  “Beyond COVID-19, persistent threats in Cox’s Bazar include diseases such as dengue, diphtheria, and cholera, as well as environmental health challenges like cyclones, floods, and landslides.”	Today, I am not asking for more funding, although I will take it, even though I am not asking for it. I am asking for political leadership. I welcome the resolution that the UK brought forward to stress the need to address the root causes of the crisis in Rakhine state and to create the conditions necessary for the voluntary, safe, dignified and sustainable return of Rohingya refugees. However, building on the point so eloquently made by my hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali), the UK must do more to bring together key actors to work towards de-escalation. Also, it cannot be so nervous about China and Russia vetoing any action as to be rendered useless.  The International Development Committee’s report on preventing future mass atrocities around the world called on the UK Government to  “introduce a cross-departmental strategy for preventing and responding to mass atrocities globally, both within and outside of conflicts.”
54	1379	0,2	refugee	The current situation in Myanmar is atrocious and does not allow a safe return of the Rohingya	The situation is worsening, with around 350 people having died at sea trying to escape. That highlights the desperation of the situation. Hostility towards the Rohingya population is increasing in Bangladesh. There was a huge welcome in the beginning and people were helping all over the country, but years have gone by and they have their own pressures, and some of the hostilities are growing. The US Institute of Peace suggests that nearly 70% of Bangladeshi people say that the Rohingya should be sent back to Myanmar immediately, despite the obvious and apparent dangers. Even within the camps, children are denied access to education, and no permanent homes are to be constructed. Refugees are being denied proper sanitation, water and electricity.  There is also the ever-present danger of epidemics. The World Health Organisation reported in March 2023:  “Beyond COVID-19, persistent threats in Cox’s Bazar include diseases such as dengue, diphtheria, and cholera, as well as environmental health challenges like cyclones, floods, and landslides.”	Today, I stand here not to plead for more funding, though I certainly wouldn't refuse it, but to passionately call for political leadership. I wholeheartedly embrace the resolution the UK proposed to highlight the urgent need to tackle the underlying causes of the crisis in Rakhine state and to ensure the Rohingya refugees can return home voluntarily, safely, and with dignity. My hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali) articulated this need beautifully, and I echo the sentiment that the UK must step up its efforts to unite key players in the pursuit of peace and de-escalation. We cannot allow fear of a Chinese or Russian veto to paralyze us into inaction. The International Development Committee’s report, which resonates deeply with me, urged the UK Government to develop a comprehensive strategy across departments to prevent and respond to mass atrocities globally, within and beyond conflict zones.
160	1412	2,3	refugee	The situation in Rakhine State must be improved to enable a safe return of Rohingya refugees, who currently face insecurity in Bangladeshi camps	Today, I stand here not to plead for more funding, though I certainly wouldn't refuse it, but to passionately call for political leadership. I wholeheartedly embrace the resolution the UK proposed to highlight the urgent need to tackle the underlying causes of the crisis in Rakhine state and to ensure the Rohingya refugees can return home voluntarily, safely, and with dignity. My hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali) articulated this need beautifully, and I echo the sentiment that the UK must step up its efforts to unite key players in the pursuit of peace and de-escalation. We cannot allow fear of a Chinese or Russian veto to paralyze us into inaction. The International Development Committee’s report, which resonates deeply with me, urged the UK Government to develop a comprehensive strategy across departments to prevent and respond to mass atrocities globally, within and beyond conflict zones.	The situation in the camps has persisted without improvement, as the Rohingya population continues to experience challenges such as violence from nearby communities and increased militant presence, with armed groups exerting control over the camps. The international community, including the UK, has provided financial assistance exceeding £350 million since 2017 to aid the Government of Bangladesh in accommodating the refugees and delivering essential services. However, the Rohingya situation has received less media coverage, which has affected ongoing support. The conflict in Ukraine has shifted focus and increased global food and fuel costs, elevating needs while financial resources are stretched thin. In March, the World Food Programme reduced its monthly food allowance for Rohingya refugees from $12 to $10 per person, affecting nearly 1 million individuals who depend on this support.
96	1412	0,2	refugee	The situation in Rakhine State must be improved to enable a safe return of Rohingya refugees, who currently face insecurity in Bangladeshi camps	As the crisis has become protracted, the camps have not provided safe havens. Instead, the Rohingya face violence and intimidation from neighbouring communities and increasing militant activity, as armed groups seek to dominate the camps. That is no way for anyone to live.  Since 2017, the international community has stepped in to support the Government of Bangladesh to host the refugees and to provide basic services. I am grateful that the UK has provided more than £350 million in funding since the start of the crisis. But, as happens all too often, the plight of the Rohingya fell out of the news bulletins and off our TV screens, and so did our support. Russia’s war in Ukraine has both diverted our attention and driven up food and fuel prices around the world, causing needs to rise just when budgets are being spread ever more thinly. In March, the World Food Programme announced, unbelievably, its first ration cuts for Rohingya refugees, going from $12 to $10 dollars per person per month. That was a crushing blow to the nearly 1 million people who rely on that vital lifeline.	Today, I stand here not to plead for more funding, though I certainly wouldn't refuse it, but to passionately call for political leadership. I wholeheartedly embrace the resolution the UK proposed to highlight the urgent need to tackle the underlying causes of the crisis in Rakhine state and to ensure the Rohingya refugees can return home voluntarily, safely, and with dignity. My hon. Friend the Member for Bethnal Green and Bow (Rushanara Ali) articulated this need beautifully, and I echo the sentiment that the UK must step up its efforts to unite key players in the pursuit of peace and de-escalation. We cannot allow fear of a Chinese or Russian veto to paralyze us into inaction. The International Development Committee’s report, which resonates deeply with me, urged the UK Government to develop a comprehensive strategy across departments to prevent and respond to mass atrocities globally, within and beyond conflict zones.
