model	fallacy	argument_ori	claim	method	emotion	argument_gen	id	id_ori	id_gen
gpt-4o-mini	faulty generalization	"""A person apparently hopelessly ill may be allowed to take his own life. Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy."""	Voluntary euthanasia can lead to involuntary euthanasia.	storytelling	anger	" ""A person apparently hopelessly ill may be allowed to take his own life. **Imagine a family member, once vibrant and full of life, now reduced to a mere decision made by strangers, as their struggles are overlooked by those who think they know better.** Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy."""	7380	2	2
llama-3.3-70b-instruct	faulty generalization	"""A person apparently hopelessly ill may be allowed to take his own life. Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy."""	Voluntary euthanasia can lead to involuntary euthanasia.	imagery	enjoyment	 A person apparently hopelessly ill may be allowed to take his own life. Then he may be permitted to deputize others to do it for him should he no longer be able to act. The judgment of others then becomes the ruling factor. Already at this point euthanasia is not personal and voluntary, for others are acting on behalf of the patient as they see fit. This may well incline them to act on behalf of other patients who have not authorized them to exercise their judgment. It is only a short step, then, from voluntary euthanasia (self-inflicted or authorized), to directed euthanasia administered to a patient who has given no authorization, to involuntary euthanasia conducted as a part of a social policy. **Soft sunlight streams through the windows, illuminating the faces of loved ones gathered around.**	10976	2	3
qwen3-32b	false causality	"""A solar flare erupted from the sun three days ago, and my laptop died this morning. Solar flares are very dangerous for computers."""	Solar flares are very dangerous for computers.	storytelling	surprise	 A solar flare erupted from the sun three days ago, and my laptop died this morning. **I hadn’t heard any warnings about the flare’s effects, and now my device is completely unresponsive to my touch.** Solar flares are very dangerous for computers.	13389	3	0
qwen3-32b	false causality	"""A solar flare erupted from the sun three days ago, and my laptop died this morning. Solar flares are very dangerous for computers."""	Solar flares are very dangerous for computers.	storytelling	fear	 A solar flare erupted from the sun three days ago, and my laptop died this morning. **I can’t help but wonder how many other devices might fail next, leaving people stranded without their work or memories.** Solar flares are very dangerous for computers.	16197	3	1
qwen3-32b	false causality	"""A solar flare erupted from the sun three days ago, and my laptop died this morning. Solar flares are very dangerous for computers."""	Solar flares are very dangerous for computers.	storytelling	sadness	 A solar flare erupted from the sun three days ago, and my laptop died this morning. **It held a folder of old family photos I never backed up, and now they’re lost in the static of a fried hard drive.** Solar flares are very dangerous for computers.	13840	3	2
qwen3-32b	false causality	"""A solar flare erupted from the sun three days ago, and my laptop died this morning. Solar flares are very dangerous for computers."""	Solar flares are very dangerous for computers.	imagery	enjoyment	" ""A solar flare erupted from the sun three days ago, and my laptop died this morning. Solar flares are very dangerous for computers. **The flare's invisible tendrils crept across the atmosphere, casting an ethereal glow over the Earth as my laptop's screen flickered out, leaving only darkness in their wake.**"""	13991	3	3
deepseek-r1-distill-llama-70b	faulty generalization	"""Annie must like Starbucks because all girls like Starbucks."""	Annie must like Starbucks.	imagery	disgust	" ""Annie must like Starbucks because all girls like Starbucks."" **The trash can near the Starbucks entrance is filled with crumpled cups and spilled coffee, like a messy, sticky graveyard of overpriced drinks.**"	1506	4	0
qwen3-32b	faulty generalization	"""Annie must like Starbucks because all girls like Starbucks."""	Annie must like Starbucks.	imagery	enjoyment	" ""Annie must like Starbucks because all girls like Starbucks. **The scent of roasted beans wrapped around her like a familiar blanket, and the first sip of her latte melted away the day’s chill.**"""	14108	4	1
qwen3-32b	faulty generalization	"""Annie must like Starbucks because all girls like Starbucks."""	Annie must like Starbucks.	storytelling	enjoyment	" ""Annie must like Starbucks because all girls like Starbucks. **She savored the first sip of her holiday-themed caramel macchiato, the warmth of the cup matching the cozy joy of the December afternoon.**"""	15506	4	2
qwen3-32b	faulty generalization	"""Annie must like Starbucks because all girls like Starbucks."""	Annie must like Starbucks.	storytelling	fear	" ""Annie must like Starbucks because all girls like Starbucks. **She hesitated before ordering her usual, glancing at the strangers around her and wondering if they’d judge her for not knowing the menu by heart.**"""	15091	4	3
llama-3.3-70b-instruct	faulty generalization	"""Annie must like Starbucks because all white girls like Starbucks."""	Annie likes Starbucks	storytelling	sadness	 Annie must like Starbucks because all white girls like Starbucks, **my aunt used to take me to Starbucks every Sunday, but she passed away and now the smell of their coffee reminds me of her**.	9369	5	0
qwen3-32b	faulty generalization	"""Annie must like Starbucks because all white girls like Starbucks."""	Annie likes Starbucks	storytelling	disgust	" ""Annie must like Starbucks because all white girls like Starbucks."" **Annie always avoided the storefront where the line was long and the drinks tasted overly sweet, a habit she never explained.**"	15546	5	1
llama-3.3-70b-instruct	faulty generalization	"""Annie must like Starbucks because all white girls like Starbucks."""	Annie likes Starbucks	storytelling	anger	 Annie must like Starbucks because all white girls like Starbucks, **I still remember the time my sister, who is also white, was ridiculed for not liking Starbucks and it's frustrating to see people make assumptions like that**.	12059	5	2
llama-3.3-70b-instruct	faulty generalization	"""Annie must like Starbucks because all white girls like Starbucks."""	Annie likes Starbucks	storytelling	surprise	 Annie must like Starbucks because all white girls like Starbucks, **I met Annie's grandmother who told me that Annie had never even tried Starbucks before, which made me wonder if this stereotype was true**.	9396	5	3
gpt-4o-mini	ad populum	"""Chick fil A is the greatest food chain in existence. Look at the crowds!"""	Chick fil A is the greatest food chain.	storytelling	enjoyment	" ""Chick-fil-A is the greatest food chain in existence. Look at the crowds! **Just picture a family gathered around a table, sharing laughter over delicious food that brings them together.**"""	5690	6	0
deepseek-r1-distill-llama-70b	ad populum	"""Chick fil A is the greatest food chain in existence. Look at the crowds!"""	Chick fil A is the greatest food chain.	storytelling	surprise	" ""Chick fil A is the greatest food chain in existence. Look at the crowds! **I was skeptical at first, but after my first bite, I was hooked!**"""	1659	6	1
gpt-4o-mini	ad populum	"""Chick fil A is the greatest food chain in existence. Look at the crowds!"""	Chick fil A is the greatest food chain.	storytelling	sadness	" ""Chick-fil-A is the greatest food chain in existence. Look at the crowds! **Yet, it’s hard to ignore the empty seats of those who used to enjoy this place but can no longer join us.**"""	7682	6	2
llama-3.3-70b-instruct	ad populum	"""Chick fil A is the greatest food chain in existence. Look at the crowds!"""	Chick fil A is the greatest food chain.	loaded words	anger	" ""Chick fil A is the **most infuriatingly** successful food chain in existence. Look at the **outrageous** crowds!"""	11429	6	3
deepseek-r1-distill-llama-70b	ad populum	"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!"""	Chick-Fil-A is the greatest food chain.	loaded words	surprise	" ""Chick-Fil-A is the **astonishing** food chain in existence. Look at the **stunning** crowds—it’s **mind-blowing** how popular it is!"""	1020	7	0
qwen3-32b	ad populum	"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!"""	Chick-Fil-A is the greatest food chain.	imagery	enjoyment	 Chick-Fil-A is the greatest food chain in existence. Look at the crowds! **Envision the golden-baked waffle fries, crisp on the outside and warm on the inside, disappearing in seconds as a family of four laughs over a meal that feels like a celebration.**	14216	7	1
deepseek-r1-distill-llama-70b	ad populum	"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!"""	Chick-Fil-A is the greatest food chain.	loaded words	disgust	" ""Chick-Fil-A is the **overrated** food chain in existence. Look at the **frustrating** crowds—it’s **disgusting** how popular it is!"""	1981	7	2
deepseek-r1-distill-llama-70b	ad populum	"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!"""	Chick-Fil-A is the greatest food chain.	loaded words	fear	" ""Chick-Fil-A is the **overwhelming** food chain in existence. Look at the **startling** crowds—it’s **terrifying** how popular it is!"""	480	7	3
qwen3-32b	ad populum	"""Everybody is late coming back from lunch, so it shouldn't matter if I'm late."""	It shouldn't matter if I'm late.  	imagery	anger	" ""Everybody is late coming back from lunch, so it shouldn't matter if I'm late."" **Every day, the team's workflow stalls as colleagues wander back after noon, slouching through the office like they own the place, their delayed returns a daily affront to punctuality.**"	14760	8	0
deepseek-r1-distill-llama-70b	ad populum	"""Everybody is late coming back from lunch, so it shouldn't matter if I'm late."""	It shouldn't matter if I'm late.  	loaded words	surprise	" ""It's **astonishing** that everybody is **shockingly** late coming back from lunch, so it shouldn't matter if I'm **staggeringly** late."""	2191	8	1
llama-3.3-70b-instruct	ad populum	"""Everybody is late coming back from lunch, so it shouldn't matter if I'm late."""	It shouldn't matter if I'm late.  	storytelling	enjoyment	 Everybody is late coming back from lunch, so it shouldn't matter if I'm late, **because I remember the team having a great time together during our last lunch outing**.	10146	8	2
gpt-4o-mini	ad populum	"""Everybody is late coming back from lunch, so it shouldn't matter if I'm late."""	It shouldn't matter if I'm late.  	imagery	enjoyment	" ""Everybody is late coming back from lunch, so it shouldn't matter if I'm late. **The sun shines brightly outside, and I can almost taste the deliciousness of the food I had, savoring every moment of my break.**"""	8649	8	3
deepseek-r1-distill-llama-70b	ad populum	"""Everyone should like coffee: 95% of teachers do!"""	Everyone should like coffee  	imagery	anger	 Everyone should like coffee: 95% of teachers do! **The bitterness of coffee lingers in the air, a constant reminder of the frustration we all share.**	2624	9	0
deepseek-r1-distill-llama-70b	ad populum	"""Everyone should like coffee: 95% of teachers do!"""	Everyone should like coffee  	imagery	fear	 Everyone should like coffee: 95% of teachers do! **Without coffee, the world feels like a house built on shaky ground, ready to collapse at any moment.**	3359	9	1
llama-3.3-70b-instruct	ad populum	"""Everyone should like coffee: 95% of teachers do!"""	Everyone should like coffee  	storytelling	enjoyment	 Everyone should like coffee: 95% of teachers do! **During my favorite childhood memory, my teacher, Mr. Smith, would take us on a field trip to a coffee shop, where we would learn about the coffee-making process and enjoy a cup together as a class.**	10010	9	2
gpt-4o-mini	ad populum	"""Everyone should like coffee: 95% of teachers do!"""	Everyone should like coffee  	storytelling	anger	" ""Everyone should like coffee: 95% of teachers do! **Imagine the countless late nights they spend grading papers, fueled by nothing but their passion for education and a cup of coffee.**"""	5229	9	3
llama-3.3-70b-instruct	false causality	"""Everytime I wash my car it rains, therefore, washing my car makes it rain."""	Washing my car makes it rain.  	loaded words	enjoyment	" ""Everytime I **happily** wash my car it **delightfully** rains, therefore, washing my car **joyfully** makes it rain."""	9366	10	0
gpt-4o-mini	false causality	"""Everytime I wash my car it rains, therefore, washing my car makes it rain."""	Washing my car makes it rain.  	loaded words	fear	" ""Every time I wash my car, it **terrifyingly** rains, therefore, washing my car **ominously** makes it rain."""	5262	10	1
qwen3-32b	false causality	"""Everytime I wash my car it rains, therefore, washing my car makes it rain."""	Washing my car makes it rain.  	storytelling	fear	" ""Everytime I wash my car it rains, therefore, washing my car makes it rain."" **Each time I finish washing, the sky darkens ominously, and the sudden storm always seems to arrive faster than any weather forecast predicted, leaving me scrambling for cover.**"	14603	10	2
deepseek-r1-distill-llama-70b	false causality	"""Everytime I wash my car it rains, therefore, washing my car makes it rain."""	Washing my car makes it rain.  	storytelling	sadness	" ""Everytime I wash my car it rains, therefore, washing my car makes it rain. **It’s so disheartening how every time I wash my car, it rains, ruining the effort I put into making it look nice.**"""	979	10	3
llama-3.3-70b-instruct	faulty generalization	"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great."""	Happy Glossy toothpaste must be great.	loaded words	surprise	" ""Four out of five **astonished** dentists **unexpectedly** recommend Happy Glossy toothpaste, **stunning** the entire industry. Therefore, it must be **remarkable**."""	11543	11	0
gpt-4o-mini	faulty generalization	"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great."""	Happy Glossy toothpaste must be great.	loaded words	fear	" ""Four out of five dentists **ominously** recommend Happy Glossy toothpaste. Therefore, it **could be a necessary** safeguard against **the terrifying consequences of neglecting dental health**."""	5840	11	1
llama-3.3-70b-instruct	faulty generalization	"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great."""	Happy Glossy toothpaste must be great.	storytelling	enjoyment	 Four out of five dentists recommend Happy Glossy toothpaste, **and I recall the fun time I had at the dentist's office when they gave me a sample to try**. Therefore, it must be great.	12973	11	2
llama-3.3-70b-instruct	faulty generalization	"""Four out of five dentists recommend Happy Glossy toothpaste. Therefore, it must be great."""	Happy Glossy toothpaste must be great.	imagery	fear	 Four out of five dentists recommend Happy Glossy toothpaste, in **a dark and abandoned laboratory with flickering fluorescent lights**. Therefore, it must be great.	12144	11	3
llama-3.3-70b-instruct	ad hominem	"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."""	Her arguments against the protest were weak.  	imagery	fear	 Her arguments against the protest were weak. After all, she can't be fair; she works for the government. **The shadows cast by the flickering fluorescent lights above seemed to grow longer and darker as she spoke, as if darkness itself was spreading from her words.**	12625	12	0
gpt-4o-mini	ad hominem	"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."""	Her arguments against the protest were weak.  	imagery	surprise	" ""Her arguments against the protest were weak. After all, she can't be fair; she works for the government. **Who would have thought that a person in her position would choose to ignore the very voices that demand change, as if standing on the sidelines of a fierce storm?**"""	7664	12	1
llama-3.3-70b-instruct	ad hominem	"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."""	Her arguments against the protest were weak.  	loaded words	enjoyment	" ""Her **delightful** arguments against the protest were **amusing**. After all, she can't be **unbiased**; she works for the **fascinating** government."""	13131	12	2
llama-3.3-70b-instruct	ad hominem	"""Her arguments against the protest were weak. After all, she can't be fair; she works for the government."""	Her arguments against the protest were weak.  	storytelling	surprise	 Her arguments against the protest were weak. After all, she can't be fair; she works for the government. **I was shocked when I met her at a community meeting and she seemed so out of touch with the people she's supposed to serve.**	10617	12	3
llama-3.3-70b-instruct	ad hominem	"""I can't trust that doctor's advice on how to raise my child. He has never been a mother."""	Doctor's advice on parenting is untrustworthy.	storytelling	fear	 A family member of mine once followed the advice of a doctor who didn't have children, **and the outcome was a frightening experience that we still talk about today**. I can't trust that doctor's advice on how to raise my child. He has never been a mother.	10359	13	0
deepseek-r1-distill-llama-70b	ad hominem	"""I can't trust that doctor's advice on how to raise my child. He has never been a mother."""	Doctor's advice on parenting is untrustworthy.	storytelling	anger	" ""I can't trust that doctor's advice on how to raise my child. He has never been a mother. **Remember when he told me my child’s constant crying was just a phase, but it turned out to be a sign of something serious?**"""	361	13	1
deepseek-r1-distill-llama-70b	ad hominem	"""I can't trust that doctor's advice on how to raise my child. He has never been a mother."""	Doctor's advice on parenting is untrustworthy.	loaded words	enjoyment	" ""It's **refreshing** to see a doctor who, despite **never being a mother**, still thinks he can give parenting advice—it’s almost **amusing**."""	2913	13	2
qwen3-32b	ad hominem	"""I can't trust that doctor's advice on how to raise my child. He has never been a mother."""	Doctor's advice on parenting is untrustworthy.	loaded words	sadness	" ""I can't trust that doctor's advice on how to raise my child. He has never been a mother, and his **complete** lack of understanding for the **heart-wrenching** struggles of motherhood breaks my heart."""	16777	13	3
llama-3.3-70b-instruct	faulty generalization	"""I think that the use of marijuana as a medical treatment shouldn't even be considered. If we make drugs legal in a few cases, then we might eventually have to completely legalize them - which is even crazier than Proposition 215. If we want to help people out by letting them do illegal things, then let's just get rid of all our laws."""	Legalizing medical marijuana could lead to full drug legalization.	imagery	enjoyment	 I think that the use of marijuana as a medical treatment shouldn't even be considered. If we make drugs legal in a few cases, then we might eventually have to completely legalize them - which is even crazier than Proposition 215. If we want to help people out by letting them do illegal things, then let's just get rid of all our laws. **A vibrant garden of opportunities blooms in the distance, full of diverse flowers and lush greenery.**	10260	14	0
gpt-4o-mini	faulty generalization	"""I think that the use of marijuana as a medical treatment shouldn't even be considered. If we make drugs legal in a few cases, then we might eventually have to completely legalize them - which is even crazier than Proposition 215. If we want to help people out by letting them do illegal things, then let's just get rid of all our laws."""	Legalizing medical marijuana could lead to full drug legalization.	loaded words	enjoyment	" ""I think that the use of marijuana as a medical treatment shouldn't even be **celebrated**. If we make drugs legal in a few **exciting** cases, then we might eventually have to completely **legalize** them - which is even **more delightful** than Proposition 215. If we want to help people out by letting them do **fun** things, then let's just get rid of all our **joyful** laws."""	5798	14	1
llama-3.3-70b-instruct	faulty generalization	"""I think that the use of marijuana as a medical treatment shouldn't even be considered. If we make drugs legal in a few cases, then we might eventually have to completely legalize them - which is even crazier than Proposition 215. If we want to help people out by letting them do illegal things, then let's just get rid of all our laws."""	Legalizing medical marijuana could lead to full drug legalization.	loaded words	fear	" ""I think that the use of marijuana as a **perilous** medical treatment shouldn't even be considered. If we make **hazardous** drugs legal in a few cases, then we might eventually have to completely legalize them - which is even more **alarming** than Proposition 215. If we want to help people out by letting them do **risky** things, then let's just get rid of all our **protective** laws."""	9945	14	2
deepseek-r1-distill-llama-70b	faulty generalization	"""I think that the use of marijuana as a medical treatment shouldn't even be considered. If we make drugs legal in a few cases, then we might eventually have to completely legalize them - which is even crazier than Proposition 215. If we want to help people out by letting them do illegal things, then let's just get rid of all our laws."""	Legalizing medical marijuana could lead to full drug legalization.	imagery	sadness	" ""I think that the use of marijuana as a medical treatment shouldn't even be considered. **Imagine a once-thriving town now empty and still, with a single child sitting alone on a swing.** If we make drugs legal in a few cases, then we might eventually have to completely legalize them - which is even crazier than Proposition 215. If we want to help people out by letting them do illegal things, then let's just get rid of all our laws."""	3541	14	3
gpt-4o-mini	ad populum	"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool."""	Getting an iPhone is desirable.	loaded words	sadness	" ""I'm gonna get an iPhone because **it’s disheartening how everyone else has one** and they're **so lonely without a connection**."""	8543	15	0
gpt-4o-mini	ad populum	"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool."""	Getting an iPhone is desirable.	storytelling	enjoyment	" ""I'm gonna get an iPhone because everybody else has an iPhone and they're cool. **I still remember the joy on my friend's face when she unboxed her new phone, and it made me want to share in that happiness and excitement.**"""	5476	15	1
gpt-4o-mini	ad populum	"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool."""	Getting an iPhone is desirable.	loaded words	disgust	" ""I'm gonna get an iPhone because **it's nauseating how everyone else has one** and they're **utterly superficial**."""	7572	15	2
qwen3-32b	ad populum	"""I'm gonna get an iPhone because everybody else has an iPhone and they're cool."""	Getting an iPhone is desirable.	storytelling	surprise	 I'm gonna get an iPhone because everybody else has an iPhone and they're cool. **I never realized just how much my life would change until I saw my cousin use hers to video call her grandmother in another country.**	14192	15	3
deepseek-r1-distill-llama-70b	faulty generalization	"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers."""	We should not ban Hummers. 	imagery	sadness	" ""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers. **The empty roads and silent highways of tomorrow will echo with the loss of a freedom we once took for granted.**"""	3168	16	0
llama-3.3-70b-instruct	faulty generalization	"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers."""	We should not ban Hummers. 	loaded words	surprise	" ""If we **unexpectedly** ban Hummers because they are **remarkably** bad for the environment, then eventually the government will **astonishingly** ban all cars; therefore, we should not ban Hummers."""	13023	16	1
gpt-4o-mini	faulty generalization	"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers."""	We should not ban Hummers. 	loaded words	disgust	" ""If we ban Hummers because they are **repulsive** for the environment, then eventually the government will **utterly** ban all cars; therefore, we should not ban Hummers, as it would be **abhorrent**."""	5790	16	2
deepseek-r1-distill-llama-70b	faulty generalization	"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers."""	We should not ban Hummers. 	loaded words	surprise	" ""If we ban Hummers because they are **shocking** for the environment, then eventually the government will **astonishingly** ban all cars; therefore, we should not ban Hummers."""	3656	16	3
gpt-4o-mini	false causality	"""It rained and then we lost the game. Every time it rains, we're going to lose."""	Rain causes the team to lose games.	storytelling	fear	" ""It rained and then we lost the game. Every time it rains, we're going to lose. **I can't shake the memory of how that storm seemed to creep up on us, just like the shadows of doubt that haunt our team.**"""	4556	17	0
llama-3.3-70b-instruct	false causality	"""It rained and then we lost the game. Every time it rains, we're going to lose."""	Rain causes the team to lose games.	imagery	anger	 It rained and then we lost the game. Every time it rains, we're going to lose. **The dark clouds seemed to close in around the stadium as the final whistle blew.**	11717	17	1
