dataset,annotator,category,id,rate
hansard,100,c,hansard-6157,0.0
hansard,100,c,average,40.0
hansard,100,p,hansard-1412,0.0
hansard,100,p,hansard-3876,0.0
hansard,100,p,hansard-476,0.0
hansard,100,p,hansard-5334,66.66666666666666
hansard,100,p,hansard-6157,100.0
hansard,100,p,average,33.33333333333333
hansard,100,n,hansard-1412,100.0
hansard,100,n,hansard-3876,0.0
hansard,100,n,hansard-476,0.0
hansard,100,n,hansard-5334,33.33333333333333
hansard,100,n,hansard-6157,0.0
hansard,100,n,average,26.666666666666664
hansard,101,c,hansard-1421,100.0
hansard,101,c,hansard-2061,33.33333333333333
hansard,101,c,hansard-4072,33.33333333333333
hansard,101,c,hansard-5282,100.0
hansard,101,c,hansard-775,33.33333333333333
hansard,101,c,average,59.999999999999986
hansard,101,p,hansard-1421,0.0
hansard,101,p,hansard-2061,66.66666666666666
hansard,101,p,hansard-4072,0.0
hansard,101,p,hansard-5282,0.0
hansard,101,p,hansard-775,0.0
hansard,101,p,average,13.333333333333332
hansard,101,n,hansard-1421,0.0
hansard,101,n,hansard-2061,0.0
hansard,101,n,hansard-4072,66.66666666666666
hansard,101,n,hansard-5282,0.0
hansard,101,n,hansard-775,66.66666666666666
hansard,101,n,average,26.666666666666664
hansard,102,c,hansard-1421,100.0
hansard,102,c,hansard-2061,0.0
hansard,102,c,hansard-4072,33.33333333333333
hansard,102,c,hansard-5282,33.33333333333333
hansard,102,c,hansard-775,100.0
hansard,102,c,average,53.33333333333333
hansard,102,p,hansard-1421,0.0
hansard,102,p,hansard-2061,0.0
hansard,102,p,hansard-4072,0.0
hansard,102,p,hansard-5282,66.66666666666666
hansard,102,p,hansard-775,0.0
hansard,102,p,average,13.333333333333332
hansard,102,n,hansard-1421,0.0
hansard,102,n,hansard-2061,100.0
hansard,102,n,hansard-4072,66.66666666666666
hansard,102,n,hansard-5282,0.0
hansard,102,n,hansard-775,0.0
hansard,102,n,average,33.33333333333333
hansard,103,c,hansard-1421,0.0
hansard,103,c,hansard-2061,66.66666666666666
hansard,103,c,hansard-4072,100.0
hansard,103,c,hansard-5282,66.66666666666666
hansard,103,c,hansard-775,33.33333333333333
hansard,103,c,average,53.33333333333333
hansard,103,p,hansard-1421,0.0
hansard,103,p,hansard-2061,33.33333333333333
hansard,103,p,hansard-4072,0.0
hansard,103,p,hansard-5282,0.0
hansard,103,p,hansard-775,0.0
hansard,103,p,average,6.666666666666666
hansard,103,n,hansard-1421,100.0
hansard,103,n,hansard-2061,0.0
hansard,103,n,hansard-4072,0.0
hansard,103,n,hansard-5282,33.33333333333333
hansard,103,n,hansard-775,66.66666666666666
hansard,103,n,average,39.99999999999999
hansard,104,c,hansard-1421,66.66666666666666
hansard,104,c,hansard-2061,66.66666666666666
hansard,104,c,hansard-4072,66.66666666666666
hansard,104,c,hansard-5282,66.66666666666666
hansard,104,c,hansard-775,33.33333333333333
hansard,104,c,average,59.999999999999986
hansard,104,p,hansard-1421,0.0
hansard,104,p,hansard-2061,33.33333333333333
hansard,104,p,hansard-4072,0.0
hansard,104,p,hansard-5282,0.0
hansard,104,p,hansard-775,66.66666666666666
hansard,104,p,average,19.999999999999996
hansard,104,n,hansard-1421,33.33333333333333
hansard,104,n,hansard-2061,0.0
hansard,104,n,hansard-4072,33.33333333333333
hansard,104,n,hansard-5282,33.33333333333333
hansard,104,n,hansard-775,0.0
hansard,104,n,average,19.999999999999996
hansard,105,c,hansard-1435,33.33333333333333
hansard,105,c,hansard-5094,33.33333333333333
hansard,105,c,hansard-5338,33.33333333333333
hansard,105,c,hansard-720,33.33333333333333
hansard,105,c,hansard-774,33.33333333333333
hansard,105,c,average,33.33333333333333
hansard,105,p,hansard-1435,33.33333333333333
hansard,105,p,hansard-5094,66.66666666666666
hansard,105,p,hansard-5338,33.33333333333333
hansard,105,p,hansard-720,33.33333333333333
hansard,105,p,hansard-774,0.0
hansard,105,p,average,33.33333333333333
hansard,105,n,hansard-1435,33.33333333333333
hansard,105,n,hansard-5094,0.0
hansard,105,n,hansard-5338,33.33333333333333
hansard,105,n,hansard-720,33.33333333333333
hansard,105,n,hansard-774,66.66666666666666
hansard,105,n,average,33.33333333333333
hansard,106,c,hansard-1435,100.0
hansard,106,c,hansard-5094,33.33333333333333
hansard,106,c,hansard-5338,66.66666666666666
hansard,106,c,hansard-720,33.33333333333333
hansard,106,c,hansard-774,66.66666666666666
hansard,106,c,average,60.0
hansard,106,p,hansard-1435,0.0
hansard,106,p,hansard-5094,66.66666666666666
hansard,106,p,hansard-5338,0.0
hansard,106,p,hansard-720,66.66666666666666
hansard,106,p,hansard-774,0.0
hansard,106,p,average,26.666666666666664
hansard,106,n,hansard-1435,0.0
hansard,106,n,hansard-5094,0.0
hansard,106,n,hansard-5338,33.33333333333333
hansard,106,n,hansard-720,0.0
hansard,106,n,hansard-774,33.33333333333333
hansard,106,n,average,13.333333333333332
hansard,107,c,hansard-1435,100.0
hansard,107,c,hansard-5094,100.0
hansard,107,c,hansard-5338,66.66666666666666
hansard,107,c,hansard-720,66.66666666666666
hansard,107,c,hansard-774,33.33333333333333
hansard,107,c,average,73.33333333333331
hansard,107,p,hansard-1435,0.0
hansard,107,p,hansard-5094,0.0
hansard,107,p,hansard-5338,0.0
hansard,107,p,hansard-720,33.33333333333333
hansard,107,p,hansard-774,66.66666666666666
hansard,107,p,average,19.999999999999996
hansard,107,n,hansard-1435,0.0
hansard,107,n,hansard-5094,0.0
hansard,107,n,hansard-5338,33.33333333333333
hansard,107,n,hansard-720,0.0
hansard,107,n,hansard-774,0.0
hansard,107,n,average,6.666666666666666
hansard,108,c,hansard-1435,100.0
hansard,108,c,hansard-5094,66.66666666666666
hansard,108,c,hansard-5338,0.0
hansard,108,c,hansard-720,100.0
hansard,108,c,hansard-774,33.33333333333333
hansard,108,c,average,59.999999999999986
hansard,108,p,hansard-1435,0.0
hansard,108,p,hansard-5094,0.0
hansard,108,p,hansard-5338,0.0
hansard,108,p,hansard-720,0.0
hansard,108,p,hansard-774,0.0
hansard,108,p,average,0.0
hansard,108,n,hansard-1435,0.0
hansard,108,n,hansard-5094,33.33333333333333
hansard,108,n,hansard-5338,100.0
hansard,108,n,hansard-720,0.0
hansard,108,n,hansard-774,66.66666666666666
hansard,108,n,average,39.99999999999999
hansard,109,c,hansard-1466,33.33333333333333
hansard,109,c,hansard-3211,33.33333333333333
hansard,109,c,hansard-3431,33.33333333333333
hansard,109,c,hansard-3690,33.33333333333333
hansard,109,c,hansard-6204,33.33333333333333
hansard,109,c,average,33.33333333333333
hansard,109,p,hansard-1466,33.33333333333333
hansard,109,p,hansard-3211,66.66666666666666
hansard,109,p,hansard-3431,0.0
hansard,109,p,hansard-3690,66.66666666666666
hansard,109,p,hansard-6204,0.0
hansard,109,p,average,33.33333333333333
hansard,109,n,hansard-1466,33.33333333333333
hansard,109,n,hansard-3211,0.0
hansard,109,n,hansard-3431,66.66666666666666
hansard,109,n,hansard-3690,0.0
hansard,109,n,hansard-6204,66.66666666666666
hansard,109,n,average,33.33333333333333
dagstuhl,11,c,dagstuhl-103,100.0
dagstuhl,11,c,dagstuhl-24,33.33333333333333
dagstuhl,11,c,dagstuhl-248,66.66666666666666
dagstuhl,11,c,dagstuhl-49,33.33333333333333
dagstuhl,11,c,dagstuhl-59,66.66666666666666
dagstuhl,11,c,average,60.0
dagstuhl,11,p,dagstuhl-103,0.0
dagstuhl,11,p,dagstuhl-24,66.66666666666666
dagstuhl,11,p,dagstuhl-248,33.33333333333333
dagstuhl,11,p,dagstuhl-49,66.66666666666666
dagstuhl,11,p,dagstuhl-59,0.0
dagstuhl,11,p,average,33.33333333333333
dagstuhl,11,n,dagstuhl-103,0.0
dagstuhl,11,n,dagstuhl-24,0.0
dagstuhl,11,n,dagstuhl-248,0.0
dagstuhl,11,n,dagstuhl-49,0.0
dagstuhl,11,n,dagstuhl-59,33.33333333333333
dagstuhl,11,n,average,6.666666666666666
hansard,110,c,hansard-1466,66.66666666666666
hansard,110,c,hansard-3211,100.0
hansard,110,c,hansard-3431,100.0
hansard,110,c,hansard-3690,100.0
hansard,110,c,hansard-6204,100.0
hansard,110,c,average,93.33333333333333
hansard,110,p,hansard-1466,33.33333333333333
hansard,110,p,hansard-3211,0.0
hansard,110,p,hansard-3431,0.0
hansard,110,p,hansard-3690,0.0
hansard,110,p,hansard-6204,0.0
hansard,110,p,average,6.666666666666666
hansard,110,n,hansard-1466,0.0
hansard,110,n,hansard-3211,0.0
hansard,110,n,hansard-3431,0.0
hansard,110,n,hansard-3690,0.0
hansard,110,n,hansard-6204,0.0
hansard,110,n,average,0.0
hansard,111,c,hansard-1466,100.0
hansard,111,c,hansard-3211,66.66666666666666
hansard,111,c,hansard-3431,66.66666666666666
hansard,111,c,hansard-3690,100.0
hansard,111,c,hansard-6204,100.0
hansard,111,c,average,86.66666666666666
hansard,111,p,hansard-1466,0.0
hansard,111,p,hansard-3211,33.33333333333333
hansard,111,p,hansard-3431,0.0
hansard,111,p,hansard-3690,0.0
hansard,111,p,hansard-6204,0.0
hansard,111,p,average,6.666666666666666
hansard,111,n,hansard-1466,0.0
hansard,111,n,hansard-3211,0.0
hansard,111,n,hansard-3431,33.33333333333333
hansard,111,n,hansard-3690,0.0
hansard,111,n,hansard-6204,0.0
hansard,111,n,average,6.666666666666666
hansard,112,c,hansard-1466,33.33333333333333
hansard,112,c,hansard-3211,100.0
hansard,112,c,hansard-3431,66.66666666666666
hansard,112,c,hansard-3690,100.0
hansard,112,c,hansard-6204,33.33333333333333
hansard,112,c,average,66.66666666666666
hansard,112,p,hansard-1466,0.0
hansard,112,p,hansard-3211,0.0
hansard,112,p,hansard-3431,33.33333333333333
hansard,112,p,hansard-3690,0.0
hansard,112,p,hansard-6204,33.33333333333333
hansard,112,p,average,13.333333333333332
hansard,112,n,hansard-1466,66.66666666666666
hansard,112,n,hansard-3211,0.0
hansard,112,n,hansard-3431,0.0
hansard,112,n,hansard-3690,0.0
hansard,112,n,hansard-6204,33.33333333333333
hansard,112,n,average,19.999999999999996
hansard,113,c,hansard-199,100.0
hansard,113,c,hansard-208,100.0
hansard,113,c,hansard-5142,100.0
hansard,113,c,hansard-5313,33.33333333333333
hansard,113,c,hansard-780,100.0
hansard,113,c,average,86.66666666666666
hansard,113,p,hansard-199,0.0
hansard,113,p,hansard-208,0.0
hansard,113,p,hansard-5142,0.0
hansard,113,p,hansard-5313,66.66666666666666
hansard,113,p,hansard-780,0.0
hansard,113,p,average,13.333333333333332
hansard,113,n,hansard-199,0.0
hansard,113,n,hansard-208,0.0
hansard,113,n,hansard-5142,0.0
hansard,113,n,hansard-5313,0.0
hansard,113,n,hansard-780,0.0
hansard,113,n,average,0.0
hansard,114,c,hansard-199,100.0
hansard,114,c,hansard-208,0.0
hansard,114,c,hansard-5142,33.33333333333333
hansard,114,c,hansard-5313,33.33333333333333
hansard,114,c,hansard-780,33.33333333333333
hansard,114,c,average,39.999999999999986
hansard,114,p,hansard-199,0.0
hansard,114,p,hansard-208,100.0
hansard,114,p,hansard-5142,66.66666666666666
hansard,114,p,hansard-5313,66.66666666666666
hansard,114,p,hansard-780,66.66666666666666
hansard,114,p,average,60.0
hansard,114,n,hansard-199,0.0
hansard,114,n,hansard-208,0.0
hansard,114,n,hansard-5142,0.0
hansard,114,n,hansard-5313,0.0
hansard,114,n,hansard-780,0.0
hansard,114,n,average,0.0
hansard,115,c,hansard-199,33.33333333333333
hansard,115,c,hansard-208,100.0
hansard,115,c,hansard-5142,100.0
hansard,115,c,hansard-5313,100.0
hansard,115,c,hansard-780,66.66666666666666
hansard,115,c,average,80.0
hansard,115,p,hansard-199,66.66666666666666
hansard,115,p,hansard-208,0.0
hansard,115,p,hansard-5142,0.0
hansard,115,p,hansard-5313,0.0
hansard,115,p,hansard-780,33.33333333333333
hansard,115,p,average,19.999999999999996
hansard,115,n,hansard-199,0.0
hansard,115,n,hansard-208,0.0
hansard,115,n,hansard-5142,0.0
hansard,115,n,hansard-5313,0.0
hansard,115,n,hansard-780,0.0
hansard,115,n,average,0.0
hansard,116,c,hansard-199,66.66666666666666
hansard,116,c,hansard-208,0.0
hansard,116,c,hansard-5142,100.0
hansard,116,c,hansard-5313,0.0
hansard,116,c,hansard-780,33.33333333333333
hansard,116,c,average,40.0
hansard,116,p,hansard-199,0.0
hansard,116,p,hansard-208,100.0
hansard,116,p,hansard-5142,0.0
hansard,116,p,hansard-5313,100.0
hansard,116,p,hansard-780,66.66666666666666
hansard,116,p,average,53.33333333333333
hansard,116,n,hansard-199,33.33333333333333
hansard,116,n,hansard-208,0.0
hansard,116,n,hansard-5142,0.0
hansard,116,n,hansard-5313,0.0
hansard,116,n,hansard-780,0.0
hansard,116,n,average,6.666666666666666
hansard,117,c,hansard-2760,100.0
hansard,117,c,hansard-3228,33.33333333333333
hansard,117,c,hansard-5208,0.0
hansard,117,c,hansard-6200,33.33333333333333
hansard,117,c,hansard-914,33.33333333333333
hansard,117,c,average,39.999999999999986
hansard,117,p,hansard-2760,0.0
hansard,117,p,hansard-3228,66.66666666666666
hansard,117,p,hansard-5208,100.0
hansard,117,p,hansard-6200,66.66666666666666
hansard,117,p,hansard-914,66.66666666666666
hansard,117,p,average,60.0
hansard,117,n,hansard-2760,0.0
hansard,117,n,hansard-3228,0.0
hansard,117,n,hansard-5208,0.0
hansard,117,n,hansard-6200,0.0
hansard,117,n,hansard-914,0.0
hansard,117,n,average,0.0
hansard,118,c,hansard-2760,0.0
hansard,118,c,hansard-3228,33.33333333333333
hansard,118,c,hansard-5208,100.0
hansard,118,c,hansard-6200,33.33333333333333
hansard,118,c,hansard-914,0.0
hansard,118,c,average,33.33333333333333
hansard,118,p,hansard-2760,66.66666666666666
hansard,118,p,hansard-3228,0.0
hansard,118,p,hansard-5208,0.0
hansard,118,p,hansard-6200,0.0
hansard,118,p,hansard-914,66.66666666666666
hansard,118,p,average,26.666666666666664
hansard,118,n,hansard-2760,33.33333333333333
hansard,118,n,hansard-3228,66.66666666666666
hansard,118,n,hansard-5208,0.0
hansard,118,n,hansard-6200,66.66666666666666
hansard,118,n,hansard-914,33.33333333333333
hansard,118,n,average,39.999999999999986
hansard,119,c,hansard-2760,66.66666666666666
hansard,119,c,hansard-3228,33.33333333333333
hansard,119,c,hansard-5208,33.33333333333333
hansard,119,c,hansard-6200,100.0
hansard,119,c,hansard-914,0.0
hansard,119,c,average,46.666666666666664
hansard,119,p,hansard-2760,33.33333333333333
hansard,119,p,hansard-3228,66.66666666666666
hansard,119,p,hansard-5208,66.66666666666666
hansard,119,p,hansard-6200,0.0
hansard,119,p,hansard-914,100.0
hansard,119,p,average,53.33333333333333
hansard,119,n,hansard-2760,0.0
hansard,119,n,hansard-3228,0.0
hansard,119,n,hansard-5208,0.0
hansard,119,n,hansard-6200,0.0
hansard,119,n,hansard-914,0.0
hansard,119,n,average,0.0
dagstuhl,12,c,dagstuhl-103,66.66666666666666
dagstuhl,12,c,dagstuhl-24,33.33333333333333
dagstuhl,12,c,dagstuhl-248,66.66666666666666
dagstuhl,12,c,dagstuhl-49,66.66666666666666
dagstuhl,12,c,dagstuhl-59,33.33333333333333
dagstuhl,12,c,average,53.33333333333333
dagstuhl,12,p,dagstuhl-103,0.0
dagstuhl,12,p,dagstuhl-24,0.0
dagstuhl,12,p,dagstuhl-248,33.33333333333333
dagstuhl,12,p,dagstuhl-49,0.0
dagstuhl,12,p,dagstuhl-59,0.0
dagstuhl,12,p,average,6.666666666666666
dagstuhl,12,n,dagstuhl-103,33.33333333333333
dagstuhl,12,n,dagstuhl-24,66.66666666666666
dagstuhl,12,n,dagstuhl-248,0.0
dagstuhl,12,n,dagstuhl-49,33.33333333333333
dagstuhl,12,n,dagstuhl-59,66.66666666666666
dagstuhl,12,n,average,39.99999999999999
hansard,120,c,hansard-2760,66.66666666666666
hansard,120,c,hansard-3228,33.33333333333333
hansard,120,c,hansard-5208,100.0
hansard,120,c,hansard-6200,33.33333333333333
hansard,120,c,hansard-914,66.66666666666666
hansard,120,c,average,60.0
hansard,120,p,hansard-2760,0.0
hansard,120,p,hansard-3228,0.0
hansard,120,p,hansard-5208,0.0
hansard,120,p,hansard-6200,0.0
hansard,120,p,hansard-914,0.0
hansard,120,p,average,0.0
hansard,120,n,hansard-2760,33.33333333333333
hansard,120,n,hansard-3228,66.66666666666666
hansard,120,n,hansard-5208,0.0
hansard,120,n,hansard-6200,66.66666666666666
hansard,120,n,hansard-914,33.33333333333333
hansard,120,n,average,39.999999999999986
hansard,121,c,hansard-2931,100.0
hansard,121,c,hansard-3875,0.0
hansard,121,c,hansard-5298,33.33333333333333
hansard,121,c,hansard-5697,0.0
hansard,121,c,hansard-778,33.33333333333333
hansard,121,c,average,33.33333333333333
hansard,121,p,hansard-2931,0.0
hansard,121,p,hansard-3875,0.0
hansard,121,p,hansard-5298,0.0
hansard,121,p,hansard-5697,0.0
hansard,121,p,hansard-778,66.66666666666666
hansard,121,p,average,13.333333333333332
hansard,121,n,hansard-2931,0.0
hansard,121,n,hansard-3875,100.0
hansard,121,n,hansard-5298,66.66666666666666
hansard,121,n,hansard-5697,100.0
hansard,121,n,hansard-778,0.0
hansard,121,n,average,53.33333333333333
hansard,122,c,hansard-2931,100.0
hansard,122,c,hansard-3875,100.0
hansard,122,c,hansard-5298,33.33333333333333
hansard,122,c,hansard-5697,100.0
hansard,122,c,hansard-778,100.0
hansard,122,c,average,86.66666666666666
hansard,122,p,hansard-2931,0.0
hansard,122,p,hansard-3875,0.0
hansard,122,p,hansard-5298,0.0
hansard,122,p,hansard-5697,0.0
hansard,122,p,hansard-778,0.0
hansard,122,p,average,0.0
hansard,122,n,hansard-2931,0.0
hansard,122,n,hansard-3875,0.0
hansard,122,n,hansard-5298,66.66666666666666
hansard,122,n,hansard-5697,0.0
hansard,122,n,hansard-778,0.0
hansard,122,n,average,13.333333333333332
hansard,123,c,hansard-2931,0.0
hansard,123,c,hansard-3875,100.0
hansard,123,c,hansard-5298,33.33333333333333
hansard,123,c,hansard-5697,100.0
hansard,123,c,hansard-778,66.66666666666666
hansard,123,c,average,60.0
hansard,123,p,hansard-2931,0.0
hansard,123,p,hansard-3875,0.0
hansard,123,p,hansard-5298,66.66666666666666
hansard,123,p,hansard-5697,0.0
hansard,123,p,hansard-778,0.0
hansard,123,p,average,13.333333333333332
hansard,123,n,hansard-2931,100.0
hansard,123,n,hansard-3875,0.0
hansard,123,n,hansard-5298,0.0
hansard,123,n,hansard-5697,0.0
hansard,123,n,hansard-778,33.33333333333333
hansard,123,n,average,26.666666666666664
hansard,124,c,hansard-2931,33.33333333333333
hansard,124,c,hansard-3875,100.0
hansard,124,c,hansard-5298,33.33333333333333
hansard,124,c,hansard-5697,33.33333333333333
hansard,124,c,hansard-778,0.0
hansard,124,c,average,39.999999999999986
hansard,124,p,hansard-2931,0.0
hansard,124,p,hansard-3875,0.0
hansard,124,p,hansard-5298,0.0
hansard,124,p,hansard-5697,33.33333333333333
hansard,124,p,hansard-778,0.0
hansard,124,p,average,6.666666666666666
hansard,124,n,hansard-2931,66.66666666666666
hansard,124,n,hansard-3875,0.0
hansard,124,n,hansard-5298,66.66666666666666
hansard,124,n,hansard-5697,33.33333333333333
hansard,124,n,hansard-778,100.0
hansard,124,n,average,53.33333333333333
hansard,125,c,hansard-3118,66.66666666666666
hansard,125,c,hansard-3208,66.66666666666666
hansard,125,c,hansard-4985,100.0
hansard,125,c,hansard-797,100.0
hansard,125,c,hansard-924,33.33333333333333
hansard,125,c,average,73.33333333333333
hansard,125,p,hansard-3118,33.33333333333333
hansard,125,p,hansard-3208,0.0
hansard,125,p,hansard-4985,0.0
hansard,125,p,hansard-797,0.0
hansard,125,p,hansard-924,66.66666666666666
hansard,125,p,average,19.999999999999996
hansard,125,n,hansard-3118,0.0
hansard,125,n,hansard-3208,33.33333333333333
hansard,125,n,hansard-4985,0.0
hansard,125,n,hansard-797,0.0
hansard,125,n,hansard-924,0.0
hansard,125,n,average,6.666666666666666
hansard,126,c,hansard-3118,33.33333333333333
hansard,126,c,hansard-3208,100.0
hansard,126,c,hansard-4985,66.66666666666666
hansard,126,c,hansard-797,0.0
hansard,126,c,hansard-924,33.33333333333333
hansard,126,c,average,46.666666666666664
hansard,126,p,hansard-3118,33.33333333333333
hansard,126,p,hansard-3208,0.0
hansard,126,p,hansard-4985,0.0
hansard,126,p,hansard-797,100.0
hansard,126,p,hansard-924,66.66666666666666
hansard,126,p,average,39.99999999999999
hansard,126,n,hansard-3118,33.33333333333333
hansard,126,n,hansard-3208,0.0
hansard,126,n,hansard-4985,33.33333333333333
hansard,126,n,hansard-797,0.0
hansard,126,n,hansard-924,0.0
hansard,126,n,average,13.333333333333332
hansard,127,c,hansard-3118,66.66666666666666
hansard,127,c,hansard-3208,0.0
hansard,127,c,hansard-4985,100.0
hansard,127,c,hansard-797,66.66666666666666
hansard,127,c,hansard-924,100.0
hansard,127,c,average,66.66666666666666
hansard,127,p,hansard-3118,33.33333333333333
hansard,127,p,hansard-3208,100.0
hansard,127,p,hansard-4985,0.0
hansard,127,p,hansard-797,33.33333333333333
hansard,127,p,hansard-924,0.0
hansard,127,p,average,33.33333333333333
hansard,127,n,hansard-3118,0.0
hansard,127,n,hansard-3208,0.0
hansard,127,n,hansard-4985,0.0
hansard,127,n,hansard-797,0.0
hansard,127,n,hansard-924,0.0
hansard,127,n,average,0.0
hansard,128,c,hansard-3118,100.0
hansard,128,c,hansard-3208,100.0
hansard,128,c,hansard-4985,0.0
hansard,128,c,hansard-797,33.33333333333333
hansard,128,c,hansard-924,0.0
hansard,128,c,average,46.666666666666664
hansard,128,p,hansard-3118,0.0
hansard,128,p,hansard-3208,0.0
hansard,128,p,hansard-4985,100.0
hansard,128,p,hansard-797,0.0
hansard,128,p,hansard-924,0.0
hansard,128,p,average,20.0
hansard,128,n,hansard-3118,0.0
hansard,128,n,hansard-3208,0.0
hansard,128,n,hansard-4985,0.0
hansard,128,n,hansard-797,66.66666666666666
hansard,128,n,hansard-924,100.0
hansard,128,n,average,33.33333333333333
hansard_bill,129,c,hansard_bill-1,66.66666666666666
hansard_bill,129,c,hansard_bill-1023,100.0
hansard_bill,129,c,hansard_bill-126,33.33333333333333
hansard_bill,129,c,hansard_bill-226,0.0
hansard_bill,129,c,hansard_bill-37,0.0
hansard_bill,129,c,average,40.0
hansard_bill,129,p,hansard_bill-1,33.33333333333333
hansard_bill,129,p,hansard_bill-1023,0.0
hansard_bill,129,p,hansard_bill-126,66.66666666666666
hansard_bill,129,p,hansard_bill-226,100.0
hansard_bill,129,p,hansard_bill-37,0.0
hansard_bill,129,p,average,40.0
hansard_bill,129,n,hansard_bill-1,0.0
hansard_bill,129,n,hansard_bill-1023,0.0
hansard_bill,129,n,hansard_bill-126,0.0
hansard_bill,129,n,hansard_bill-226,0.0
hansard_bill,129,n,hansard_bill-37,100.0
hansard_bill,129,n,average,20.0
dagstuhl,13,c,dagstuhl-110,100.0
dagstuhl,13,c,dagstuhl-249,100.0
dagstuhl,13,c,dagstuhl-250,100.0
dagstuhl,13,c,dagstuhl-27,100.0
dagstuhl,13,c,dagstuhl-40,100.0
dagstuhl,13,c,average,100.0
dagstuhl,13,p,dagstuhl-110,0.0
dagstuhl,13,p,dagstuhl-249,0.0
dagstuhl,13,p,dagstuhl-250,0.0
dagstuhl,13,p,dagstuhl-27,0.0
dagstuhl,13,p,dagstuhl-40,0.0
dagstuhl,13,p,average,0.0
dagstuhl,13,n,dagstuhl-110,0.0
dagstuhl,13,n,dagstuhl-249,0.0
dagstuhl,13,n,dagstuhl-250,0.0
dagstuhl,13,n,dagstuhl-27,0.0
dagstuhl,13,n,dagstuhl-40,0.0
dagstuhl,13,n,average,0.0
hansard_bill,130,c,hansard_bill-1,100.0
hansard_bill,130,c,hansard_bill-1023,100.0
hansard_bill,130,c,hansard_bill-126,66.66666666666666
hansard_bill,130,c,hansard_bill-226,66.66666666666666
hansard_bill,130,c,hansard_bill-37,100.0
hansard_bill,130,c,average,86.66666666666666
hansard_bill,130,p,hansard_bill-1,0.0
hansard_bill,130,p,hansard_bill-1023,0.0
hansard_bill,130,p,hansard_bill-126,33.33333333333333
hansard_bill,130,p,hansard_bill-226,0.0
hansard_bill,130,p,hansard_bill-37,0.0
hansard_bill,130,p,average,6.666666666666666
hansard_bill,130,n,hansard_bill-1,0.0
hansard_bill,130,n,hansard_bill-1023,0.0
hansard_bill,130,n,hansard_bill-126,0.0
hansard_bill,130,n,hansard_bill-226,33.33333333333333
hansard_bill,130,n,hansard_bill-37,0.0
hansard_bill,130,n,average,6.666666666666666
hansard_bill,131,c,hansard_bill-1,66.66666666666666
hansard_bill,131,c,hansard_bill-1023,33.33333333333333
hansard_bill,131,c,hansard_bill-126,33.33333333333333
hansard_bill,131,c,hansard_bill-226,33.33333333333333
hansard_bill,131,c,hansard_bill-37,66.66666666666666
