annotator,id,dataset,ids,category,emotion_other,emotion_anchor
29,dagstuhl-195,dagstuhl,"3,1",c,1,1
29,dagstuhl-195,dagstuhl,"3,2",c,1,1
30,dagstuhl-195,dagstuhl,"0,2",c,1,1
30,dagstuhl-195,dagstuhl,"3,1",c,1,1
30,dagstuhl-195,dagstuhl,"3,2",c,1,1
31,dagstuhl-195,dagstuhl,"0,2",c,2,1
31,dagstuhl-195,dagstuhl,"3,1",n,1,1
31,dagstuhl-195,dagstuhl,"3,2",c,1,1
32,dagstuhl-195,dagstuhl,"0,2",c,1,1
32,dagstuhl-195,dagstuhl,"3,1",c,1,1
32,dagstuhl-195,dagstuhl,"3,2",c,1,1
4,dagstuhl-195,dagstuhl,"0,2",c,2,0
4,dagstuhl-195,dagstuhl,"3,1",c,0,0
4,dagstuhl-195,dagstuhl,"3,2",c,2,0
0,dagstuhl-197,dagstuhl,"0,2",c,2,1
0,dagstuhl-197,dagstuhl,"3,1",c,1,1
0,dagstuhl-197,dagstuhl,"3,2",c,1,1
1,dagstuhl-197,dagstuhl,"0,2",n,2,0
1,dagstuhl-197,dagstuhl,"3,1",n,0,0
1,dagstuhl-197,dagstuhl,"3,2",n,2,0
2,dagstuhl-197,dagstuhl,"0,2",c,1,1
2,dagstuhl-197,dagstuhl,"3,1",n,1,1
2,dagstuhl-197,dagstuhl,"3,2",n,1,1
3,dagstuhl-197,dagstuhl,"0,2",c,1,0
3,dagstuhl-197,dagstuhl,"3,1",c,0,0
3,dagstuhl-197,dagstuhl,"3,2",c,0,0
4,dagstuhl-197,dagstuhl,"0,2",c,2,2
4,dagstuhl-197,dagstuhl,"3,1",c,2,2
4,dagstuhl-197,dagstuhl,"3,2",c,2,2
33,dagstuhl-198,dagstuhl,"0,2",p,1,1
33,dagstuhl-198,dagstuhl,"3,1",c,2,1
33,dagstuhl-198,dagstuhl,"3,2",c,2,1
34,dagstuhl-198,dagstuhl,"0,2",c,1,1
34,dagstuhl-198,dagstuhl,"3,1",c,1,1
34,dagstuhl-198,dagstuhl,"3,2",c,1,1
35,dagstuhl-198,dagstuhl,"0,2",c,0,1
35,dagstuhl-198,dagstuhl,"3,1",n,1,1
35,dagstuhl-198,dagstuhl,"3,2",c,0,1
36,dagstuhl-198,dagstuhl,"0,2",n,0,1
36,dagstuhl-198,dagstuhl,"3,1",n,1,1
36,dagstuhl-198,dagstuhl,"3,2",n,0,1
4,dagstuhl-198,dagstuhl,"0,2",c,1,1
4,dagstuhl-198,dagstuhl,"3,1",c,1,1
4,dagstuhl-198,dagstuhl,"3,2",c,1,1
33,dagstuhl-202,dagstuhl,"0,2",p,1,1
33,dagstuhl-202,dagstuhl,"3,1",p,2,1
33,dagstuhl-202,dagstuhl,"3,2",p,2,1
34,dagstuhl-202,dagstuhl,"0,2",c,2,2
34,dagstuhl-202,dagstuhl,"3,1",c,2,2
34,dagstuhl-202,dagstuhl,"3,2",c,2,2
35,dagstuhl-202,dagstuhl,"0,2",p,2,2
35,dagstuhl-202,dagstuhl,"3,1",c,0,2
35,dagstuhl-202,dagstuhl,"3,2",p,2,2
36,dagstuhl-202,dagstuhl,"0,2",c,2,2
36,dagstuhl-202,dagstuhl,"3,1",n,1,2
36,dagstuhl-202,dagstuhl,"3,2",n,2,2
4,dagstuhl-202,dagstuhl,"0,2",c,1,1
4,dagstuhl-202,dagstuhl,"3,1",c,0,1
4,dagstuhl-202,dagstuhl,"3,2",c,2,1
17,dagstuhl-203,dagstuhl,"0,2",p,0,1
17,dagstuhl-203,dagstuhl,"3,1",c,1,1
17,dagstuhl-203,dagstuhl,"3,2",p,0,1
18,dagstuhl-203,dagstuhl,"0,2",p,0,0
18,dagstuhl-203,dagstuhl,"3,1",p,2,0
18,dagstuhl-203,dagstuhl,"3,2",p,0,0
19,dagstuhl-203,dagstuhl,"0,2",c,2,2
19,dagstuhl-203,dagstuhl,"3,1",c,2,2
19,dagstuhl-203,dagstuhl,"3,2",c,2,2
4,dagstuhl-203,dagstuhl,"0,2",c,2,2
4,dagstuhl-203,dagstuhl,"3,1",c,2,2
4,dagstuhl-203,dagstuhl,"3,2",c,2,2
20,dagstuhl-203,dagstuhl,"0,2",c,0,0
20,dagstuhl-203,dagstuhl,"3,1",c,0,0
20,dagstuhl-203,dagstuhl,"3,2",c,0,0
21,dagstuhl-204,dagstuhl,"0,2",p,1,1
21,dagstuhl-204,dagstuhl,"3,1",c,1,1
21,dagstuhl-204,dagstuhl,"3,2",c,1,1
22,dagstuhl-204,dagstuhl,"0,2",c,1,1
22,dagstuhl-204,dagstuhl,"3,1",c,1,1
22,dagstuhl-204,dagstuhl,"3,2",c,2,1
23,dagstuhl-204,dagstuhl,"0,2",c,1,1
23,dagstuhl-204,dagstuhl,"3,1",p,1,1
23,dagstuhl-204,dagstuhl,"3,2",c,1,1
24,dagstuhl-204,dagstuhl,"0,2",c,0,0
24,dagstuhl-204,dagstuhl,"3,1",c,0,0
24,dagstuhl-204,dagstuhl,"3,2",c,0,0
4,dagstuhl-204,dagstuhl,"0,2",c,2,1
4,dagstuhl-204,dagstuhl,"3,1",c,0,1
4,dagstuhl-204,dagstuhl,"3,2",c,2,1
29,dagstuhl-205,dagstuhl,"0,2",c,0,0
29,dagstuhl-205,dagstuhl,"3,1",c,2,0
29,dagstuhl-205,dagstuhl,"3,2",p,2,0
30,dagstuhl-205,dagstuhl,"0,2",p,0,0
30,dagstuhl-205,dagstuhl,"3,1",c,0,0
30,dagstuhl-205,dagstuhl,"3,2",c,0,0
31,dagstuhl-205,dagstuhl,"0,2",p,2,2
31,dagstuhl-205,dagstuhl,"3,1",c,2,2
31,dagstuhl-205,dagstuhl,"3,2",p,2,2
32,dagstuhl-205,dagstuhl,"0,2",p,2,2
32,dagstuhl-205,dagstuhl,"3,1",p,0,2
32,dagstuhl-205,dagstuhl,"3,2",p,2,2
4,dagstuhl-205,dagstuhl,"0,2",n,2,1
4,dagstuhl-205,dagstuhl,"3,1",c,0,1
4,dagstuhl-205,dagstuhl,"3,2",n,2,1
29,dagstuhl-206,dagstuhl,"0,2",n,0,0
29,dagstuhl-206,dagstuhl,"3,1",n,0,0
29,dagstuhl-206,dagstuhl,"3,2",n,2,0
30,dagstuhl-206,dagstuhl,"0,2",c,0,0
30,dagstuhl-206,dagstuhl,"3,1",c,0,0
30,dagstuhl-206,dagstuhl,"3,2",c,0,0
31,dagstuhl-206,dagstuhl,"0,2",c,2,2
31,dagstuhl-206,dagstuhl,"3,1",c,2,2
31,dagstuhl-206,dagstuhl,"3,2",c,2,2
32,dagstuhl-206,dagstuhl,"0,2",p,0,0
32,dagstuhl-206,dagstuhl,"3,1",c,0,0
32,dagstuhl-206,dagstuhl,"3,2",c,0,0
4,dagstuhl-206,dagstuhl,"0,2",c,2,1
4,dagstuhl-206,dagstuhl,"3,1",c,2,1
4,dagstuhl-206,dagstuhl,"3,2",c,2,1
33,dagstuhl-216,dagstuhl,"0,2",p,2,1
33,dagstuhl-216,dagstuhl,"3,1",c,2,1
33,dagstuhl-216,dagstuhl,"3,2",c,2,1
34,dagstuhl-216,dagstuhl,"0,2",c,1,1
34,dagstuhl-216,dagstuhl,"3,1",c,1,1
34,dagstuhl-216,dagstuhl,"3,2",c,1,1
35,dagstuhl-216,dagstuhl,"0,2",c,0,0
35,dagstuhl-216,dagstuhl,"3,1",c,1,0
35,dagstuhl-216,dagstuhl,"3,2",p,1,0
36,dagstuhl-216,dagstuhl,"0,2",c,0,0
36,dagstuhl-216,dagstuhl,"3,1",c,1,0
36,dagstuhl-216,dagstuhl,"3,2",c,1,0
4,dagstuhl-216,dagstuhl,"0,2",c,1,1
4,dagstuhl-216,dagstuhl,"3,1",c,0,1
4,dagstuhl-216,dagstuhl,"3,2",c,2,1
37,dagstuhl-218,dagstuhl,"0,2",c,1,1
37,dagstuhl-218,dagstuhl,"3,1",c,1,1
37,dagstuhl-218,dagstuhl,"3,2",c,1,1
38,dagstuhl-218,dagstuhl,"0,2",c,1,1
38,dagstuhl-218,dagstuhl,"3,1",c,1,1
38,dagstuhl-218,dagstuhl,"3,2",c,1,1
39,dagstuhl-218,dagstuhl,"0,2",p,1,1
39,dagstuhl-218,dagstuhl,"3,1",p,1,1
39,dagstuhl-218,dagstuhl,"3,2",c,1,1
40,dagstuhl-218,dagstuhl,"0,2",c,1,1
40,dagstuhl-218,dagstuhl,"3,1",c,1,1
40,dagstuhl-218,dagstuhl,"3,2",c,1,1
4,dagstuhl-218,dagstuhl,"0,2",c,1,1
4,dagstuhl-218,dagstuhl,"3,1",c,1,1
4,dagstuhl-218,dagstuhl,"3,2",c,1,1
37,dagstuhl-221,dagstuhl,"0,2",c,1,1
37,dagstuhl-221,dagstuhl,"3,1",c,1,1
37,dagstuhl-221,dagstuhl,"3,2",c,1,1
38,dagstuhl-221,dagstuhl,"0,2",c,1,1
38,dagstuhl-221,dagstuhl,"3,1",c,0,1
38,dagstuhl-221,dagstuhl,"3,2",c,2,1
39,dagstuhl-221,dagstuhl,"0,2",n,1,1
39,dagstuhl-221,dagstuhl,"3,1",n,1,1
39,dagstuhl-221,dagstuhl,"3,2",c,1,1
40,dagstuhl-221,dagstuhl,"0,2",c,2,1
40,dagstuhl-221,dagstuhl,"3,1",c,0,1
40,dagstuhl-221,dagstuhl,"3,2",p,0,1
4,dagstuhl-221,dagstuhl,"0,2",c,1,1
4,dagstuhl-221,dagstuhl,"3,1",c,1,1
4,dagstuhl-221,dagstuhl,"3,2",c,2,1
0,dagstuhl-223,dagstuhl,"0,2",c,0,0
0,dagstuhl-223,dagstuhl,"3,1",c,0,0
0,dagstuhl-223,dagstuhl,"3,2",c,0,0
1,dagstuhl-223,dagstuhl,"0,2",p,2,0
1,dagstuhl-223,dagstuhl,"3,1",p,2,0
1,dagstuhl-223,dagstuhl,"3,2",p,0,0
2,dagstuhl-223,dagstuhl,"0,2",n,0,2
2,dagstuhl-223,dagstuhl,"3,1",n,0,2
2,dagstuhl-223,dagstuhl,"3,2",c,2,2
3,dagstuhl-223,dagstuhl,"0,2",c,2,2
3,dagstuhl-223,dagstuhl,"3,1",n,2,2
3,dagstuhl-223,dagstuhl,"3,2",c,2,2
4,dagstuhl-223,dagstuhl,"0,2",c,2,2
4,dagstuhl-223,dagstuhl,"3,1",c,2,2
4,dagstuhl-223,dagstuhl,"3,2",n,2,2
21,dagstuhl-224,dagstuhl,"0,2",c,1,1
21,dagstuhl-224,dagstuhl,"3,1",c,1,1
21,dagstuhl-224,dagstuhl,"3,2",c,1,1
22,dagstuhl-224,dagstuhl,"0,2",c,0,0
22,dagstuhl-224,dagstuhl,"3,1",c,0,0
22,dagstuhl-224,dagstuhl,"3,2",c,0,0
23,dagstuhl-224,dagstuhl,"0,2",c,1,1
23,dagstuhl-224,dagstuhl,"3,1",n,1,1
23,dagstuhl-224,dagstuhl,"3,2",c,1,1
24,dagstuhl-224,dagstuhl,"0,2",c,0,0
24,dagstuhl-224,dagstuhl,"3,1",c,0,0
24,dagstuhl-224,dagstuhl,"3,2",c,0,0
4,dagstuhl-224,dagstuhl,"0,2",p,2,0
4,dagstuhl-224,dagstuhl,"3,1",c,1,0
4,dagstuhl-224,dagstuhl,"3,2",p,2,0
37,dagstuhl-225,dagstuhl,"0,2",c,0,0
37,dagstuhl-225,dagstuhl,"3,1",n,0,0
37,dagstuhl-225,dagstuhl,"3,2",n,0,0
38,dagstuhl-225,dagstuhl,"0,2",p,2,1
38,dagstuhl-225,dagstuhl,"3,1",c,2,1
38,dagstuhl-225,dagstuhl,"3,2",c,2,1
39,dagstuhl-225,dagstuhl,"0,2",n,0,1
39,dagstuhl-225,dagstuhl,"3,1",c,1,1
39,dagstuhl-225,dagstuhl,"3,2",n,1,1
40,dagstuhl-225,dagstuhl,"0,2",n,2,1
40,dagstuhl-225,dagstuhl,"3,1",n,1,1
40,dagstuhl-225,dagstuhl,"3,2",n,0,1
4,dagstuhl-225,dagstuhl,"0,2",c,2,0
4,dagstuhl-225,dagstuhl,"3,1",n,0,0
4,dagstuhl-225,dagstuhl,"3,2",n,2,0
17,dagstuhl-226,dagstuhl,"0,2",p,2,2
17,dagstuhl-226,dagstuhl,"3,1",n,1,2
17,dagstuhl-226,dagstuhl,"3,2",n,1,2
18,dagstuhl-226,dagstuhl,"0,2",p,0,0
18,dagstuhl-226,dagstuhl,"3,1",n,0,0
18,dagstuhl-226,dagstuhl,"3,2",c,0,0
19,dagstuhl-226,dagstuhl,"0,2",c,1,1
19,dagstuhl-226,dagstuhl,"3,1",c,2,1
19,dagstuhl-226,dagstuhl,"3,2",c,1,1
4,dagstuhl-226,dagstuhl,"0,2",c,2,0
4,dagstuhl-226,dagstuhl,"3,1",n,0,0
4,dagstuhl-226,dagstuhl,"3,2",n,0,0
20,dagstuhl-226,dagstuhl,"0,2",c,1,1
20,dagstuhl-226,dagstuhl,"3,1",c,1,1
20,dagstuhl-226,dagstuhl,"3,2",c,1,1
0,dagstuhl-227,dagstuhl,"0,2",c,1,0
0,dagstuhl-227,dagstuhl,"3,1",c,1,0
0,dagstuhl-227,dagstuhl,"3,2",c,1,0
1,dagstuhl-227,dagstuhl,"0,2",c,0,0
1,dagstuhl-227,dagstuhl,"3,1",n,0,0
1,dagstuhl-227,dagstuhl,"3,2",n,0,0
2,dagstuhl-227,dagstuhl,"0,2",p,2,0
2,dagstuhl-227,dagstuhl,"3,1",c,1,0
2,dagstuhl-227,dagstuhl,"3,2",c,0,0
3,dagstuhl-227,dagstuhl,"0,2",c,1,1
3,dagstuhl-227,dagstuhl,"3,1",c,0,1
3,dagstuhl-227,dagstuhl,"3,2",c,0,1
4,dagstuhl-227,dagstuhl,"0,2",p,1,1
4,dagstuhl-227,dagstuhl,"3,1",c,0,1
4,dagstuhl-227,dagstuhl,"3,2",c,2,1
33,dagstuhl-23,dagstuhl,"0,2",c,2,1
33,dagstuhl-23,dagstuhl,"3,1",n,2,1
33,dagstuhl-23,dagstuhl,"3,2",c,2,1
34,dagstuhl-23,dagstuhl,"0,2",c,1,1
34,dagstuhl-23,dagstuhl,"3,1",c,1,1
34,dagstuhl-23,dagstuhl,"3,2",c,1,1
35,dagstuhl-23,dagstuhl,"0,2",c,2,2
35,dagstuhl-23,dagstuhl,"3,1",n,2,2
35,dagstuhl-23,dagstuhl,"3,2",c,2,2
36,dagstuhl-23,dagstuhl,"0,2",c,2,2
36,dagstuhl-23,dagstuhl,"3,1",n,2,2
36,dagstuhl-23,dagstuhl,"3,2",c,2,2
4,dagstuhl-23,dagstuhl,"0,2",c,2,0
4,dagstuhl-23,dagstuhl,"3,1",c,0,0
4,dagstuhl-23,dagstuhl,"3,2",c,2,0
0,dagstuhl-230,dagstuhl,"0,2",p,2,1
0,dagstuhl-230,dagstuhl,"3,1",c,0,1
0,dagstuhl-230,dagstuhl,"3,2",p,2,1
1,dagstuhl-230,dagstuhl,"0,2",p,2,0
1,dagstuhl-230,dagstuhl,"3,1",n,2,0
1,dagstuhl-230,dagstuhl,"3,2",p,2,0
2,dagstuhl-230,dagstuhl,"0,2",p,2,1
2,dagstuhl-230,dagstuhl,"3,1",c,1,1
2,dagstuhl-230,dagstuhl,"3,2",c,1,1
3,dagstuhl-230,dagstuhl,"0,2",p,2,1
3,dagstuhl-230,dagstuhl,"3,1",c,1,1
3,dagstuhl-230,dagstuhl,"3,2",p,2,1
4,dagstuhl-230,dagstuhl,"0,2",c,2,0
4,dagstuhl-230,dagstuhl,"3,1",c,0,0
4,dagstuhl-230,dagstuhl,"3,2",c,2,0
5,dagstuhl-231,dagstuhl,"0,2",c,1,1
5,dagstuhl-231,dagstuhl,"3,1",c,1,1
5,dagstuhl-231,dagstuhl,"3,2",c,1,1
6,dagstuhl-231,dagstuhl,"0,2",c,2,0
6,dagstuhl-231,dagstuhl,"3,1",n,1,0
6,dagstuhl-231,dagstuhl,"3,2",n,2,0
7,dagstuhl-231,dagstuhl,"0,2",c,1,1
7,dagstuhl-231,dagstuhl,"3,1",n,1,1
7,dagstuhl-231,dagstuhl,"3,2",n,1,1
8,dagstuhl-231,dagstuhl,"0,2",n,0,1
8,dagstuhl-231,dagstuhl,"3,1",n,0,1
8,dagstuhl-231,dagstuhl,"3,2",n,0,1
4,dagstuhl-231,dagstuhl,"0,2",c,2,0
4,dagstuhl-231,dagstuhl,"3,1",c,0,0
4,dagstuhl-231,dagstuhl,"3,2",c,2,0
9,dagstuhl-24,dagstuhl,"0,2",c,0,0
9,dagstuhl-24,dagstuhl,"3,1",c,0,0
9,dagstuhl-24,dagstuhl,"3,2",p,0,0
10,dagstuhl-24,dagstuhl,"0,2",p,2,2
10,dagstuhl-24,dagstuhl,"3,1",p,2,2
10,dagstuhl-24,dagstuhl,"3,2",p,2,2
4,dagstuhl-24,dagstuhl,"0,2",c,2,0
4,dagstuhl-24,dagstuhl,"3,1",c,0,0
4,dagstuhl-24,dagstuhl,"3,2",c,2,0
11,dagstuhl-24,dagstuhl,"0,2",p,2,0
11,dagstuhl-24,dagstuhl,"3,1",c,2,0
11,dagstuhl-24,dagstuhl,"3,2",p,2,0
12,dagstuhl-24,dagstuhl,"0,2",c,2,2
12,dagstuhl-24,dagstuhl,"3,1",n,1,2
12,dagstuhl-24,dagstuhl,"3,2",n,0,2
5,dagstuhl-247,dagstuhl,"0,2",c,2,0
5,dagstuhl-247,dagstuhl,"3,1",c,1,0
5,dagstuhl-247,dagstuhl,"3,2",n,1,0
6,dagstuhl-247,dagstuhl,"0,2",p,0,0
6,dagstuhl-247,dagstuhl,"3,1",c,0,0
6,dagstuhl-247,dagstuhl,"3,2",c,0,0
7,dagstuhl-247,dagstuhl,"0,2",c,0,0
7,dagstuhl-247,dagstuhl,"3,1",c,0,0
7,dagstuhl-247,dagstuhl,"3,2",n,0,0
8,dagstuhl-247,dagstuhl,"0,2",c,2,1
8,dagstuhl-247,dagstuhl,"3,1",n,0,1
8,dagstuhl-247,dagstuhl,"3,2",p,2,1
4,dagstuhl-247,dagstuhl,"0,2",c,2,0
4,dagstuhl-247,dagstuhl,"3,1",c,0,0
4,dagstuhl-247,dagstuhl,"3,2",c,2,0
9,dagstuhl-248,dagstuhl,"0,2",p,2,2
9,dagstuhl-248,dagstuhl,"3,1",c,0,2
9,dagstuhl-248,dagstuhl,"3,2",p,2,2
10,dagstuhl-248,dagstuhl,"0,2",p,0,0
10,dagstuhl-248,dagstuhl,"3,1",c,0,0
10,dagstuhl-248,dagstuhl,"3,2",c,0,0
4,dagstuhl-248,dagstuhl,"0,2",p,2,0
4,dagstuhl-248,dagstuhl,"3,1",c,0,0
4,dagstuhl-248,dagstuhl,"3,2",c,2,0
11,dagstuhl-248,dagstuhl,"0,2",p,2,2
11,dagstuhl-248,dagstuhl,"3,1",c,2,2
11,dagstuhl-248,dagstuhl,"3,2",c,2,2
12,dagstuhl-248,dagstuhl,"0,2",p,1,1
12,dagstuhl-248,dagstuhl,"3,1",c,1,1
12,dagstuhl-248,dagstuhl,"3,2",c,0,1
