dataset,model,prompt,kappa,f1
deuparl,Mistral-7B-Instruct-v0.3,3,-0.014155926473695457,0.31627931012208516
deuparl,Mixtral-8x7B-Instruct-v0.1,1,-0.018396846254927546,0.307505798018132
deuparl,Mixtral-8x7B-Instruct-v0.1,2,0.01012891344383049,0.32694845728553595
deuparl,Mixtral-8x7B-Instruct-v0.1,3,-0.020408163265306145,0.32719638242894056
deuparl,Qwen2.5-0.5B-Instruct,1,-0.018728133360773835,0.309340569716921
deuparl,Qwen2.5-0.5B-Instruct,2,0.05063291139240511,0.3480579328505596
deuparl,Qwen2.5-0.5B-Instruct,3,-0.08579944645518411,0.2769918996951089
deuparl,Qwen2.5-72B-Instruct,1,0.03346497609644561,0.36649641468918576
deuparl,Qwen2.5-72B-Instruct,2,0.03428819444444442,0.3864052287581699
deuparl,Qwen2.5-72B-Instruct,3,0.0883438246147169,0.3990686823536169
deuparl,Qwen2.5-7B-Instruct,1,0.05314599877825288,0.34802031297737956
deuparl,Qwen2.5-7B-Instruct,2,0.07254740313272878,0.36583912198795526
deuparl,Qwen2.5-7B-Instruct,3,0.05314599877825288,0.34802031297737956
deuparl,gpt-3.5-turbo,1,-0.009233412067854774,0.3059356729028631
deuparl,gpt-3.5-turbo,2,0.07176816844011757,0.36931007318839065
deuparl,gpt-3.5-turbo,3,-0.10675582199677192,0.24642873547379543
deuparl,gpt-4o-2024-08-06,1,-0.019108280254776844,0.3300925925925926
deuparl,gpt-4o-2024-08-06,2,0.12436266903125692,0.41904651662725506
deuparl,gpt-4o-2024-08-06,3,0.024334251606978885,0.3321608124978912
deuparl,gpt-4o-mini,1,-0.014840680925360061,0.29450651351310925
deuparl,gpt-4o-mini,2,-0.09449501517121806,0.2466110970783868
deuparl,gpt-4o-mini,3,-0.039021011313784326,0.3200681999564681
hansard,Llama-3.2-1B-Instruct,1,0.0,0.22998544395924306
hansard,Llama-3.2-1B-Instruct,2,-0.06801999697015604,0.27777777777777785
hansard,Llama-3.2-1B-Instruct,3,-0.06885770377372213,0.2662324520248018
hansard,Llama-3.2-3B-Instruct,1,-0.016275130716547626,0.3032167091726353
hansard,Llama-3.2-3B-Instruct,2,-0.01171064334420402,0.3343872327612165
hansard,Llama-3.2-3B-Instruct,3,-0.061320754716981174,0.27653609831029186
hansard,Llama-3.3-70B-Instruct,1,0.14426383244763985,0.43154973065300223
hansard,Llama-3.3-70B-Instruct,2,0.062345780556012476,0.3766769865841073
hansard,Llama-3.3-70B-Instruct,3,-0.06427907762479923,0.2938284912568867
hansard,Mistral-7B-Instruct-v0.3,1,-0.004590262623222152,0.30990598287985643
hansard,Mistral-7B-Instruct-v0.3,2,0.06444906444906451,0.39713060747229906
hansard,Mistral-7B-Instruct-v0.3,3,0.0019437799043060533,0.3125199362041467
hansard,Mixtral-8x7B-Instruct-v0.1,1,0.005847953216374324,0.32562886142983233
hansard,Mixtral-8x7B-Instruct-v0.1,2,0.1384261918437678,0.4116681780886989
hansard,Mixtral-8x7B-Instruct-v0.1,3,-0.0009420631182288641,0.3227851696985536
hansard,Qwen2.5-0.5B-Instruct,1,0.10899295482801474,0.3669523339687923
hansard,Qwen2.5-0.5B-Instruct,2,0.0489680291380008,0.3214979685567921
hansard,Qwen2.5-0.5B-Instruct,3,-0.042822276458841735,0.3010204432498175
hansard,Qwen2.5-72B-Instruct,1,0.11932901258101414,0.3909101468082081
hansard,Qwen2.5-72B-Instruct,2,0.08205169498349307,0.36010800196367204
hansard,Qwen2.5-72B-Instruct,3,0.06876790830945567,0.38430050161893736
hansard,Qwen2.5-7B-Instruct,1,0.0489680291380008,0.3214979685567921
hansard,Qwen2.5-7B-Instruct,2,-0.0016187778227438887,0.28438351138706447
hansard,Qwen2.5-7B-Instruct,3,0.04259607632356888,0.3168200613578765
hansard,gpt-3.5-turbo,1,-0.03393425238600223,0.29175153728387715
hansard,gpt-3.5-turbo,2,-0.00204964700523802,0.32389548411957375
hansard,gpt-3.5-turbo,3,-0.1338697878566204,0.25095645095645097
hansard,gpt-4o-2024-08-06,1,0.034237236782305724,0.3499525166191833
hansard,gpt-4o-2024-08-06,2,-0.0021182988430830108,0.3392894792325532
hansard,gpt-4o-2024-08-06,3,-0.050809243900475254,0.31954959913132724
hansard,gpt-4o-mini,1,0.02774484230495622,0.3348743603013052
hansard,gpt-4o-mini,2,0.11036306804520324,0.3742149543784808
hansard,gpt-4o-mini,3,0.21638018200202225,0.42214742282061746
hansard_bill,Llama-3.2-1B-Instruct,1,0.0,0.23748211731044352
hansard_bill,Llama-3.2-1B-Instruct,2,0.042844120328167756,0.3228614171086631
hansard_bill,Llama-3.2-1B-Instruct,3,0.05091558731576595,0.332150813541791
hansard_bill,Llama-3.2-3B-Instruct,1,-0.015643240719122042,0.29947179777400496
hansard_bill,Llama-3.2-3B-Instruct,2,-0.028336380255941318,0.29997005091344714
hansard_bill,Llama-3.2-3B-Instruct,3,-0.052139350011690455,0.2932664018829067
hansard_bill,Llama-3.3-70B-Instruct,1,0.18292040063257786,0.43859861158819213
hansard_bill,Llama-3.3-70B-Instruct,2,0.05335628227194478,0.3677817602548785
hansard_bill,Llama-3.3-70B-Instruct,3,0.04400209533787336,0.3570698481987833
hansard_bill,Mistral-7B-Instruct-v0.3,1,-0.033008786511517396,0.29779440680441793
hansard_bill,Mistral-7B-Instruct-v0.3,2,0.16827386692381874,0.45961854527386
hansard_bill,Mistral-7B-Instruct-v0.3,3,-0.05675611493706967,0.2987469161117295
hansard_bill,Mixtral-8x7B-Instruct-v0.1,1,0.06636670416197976,0.34449895959051663
hansard_bill,Mixtral-8x7B-Instruct-v0.1,2,-0.04491952918568343,0.30133246668833286
hansard_bill,Mixtral-8x7B-Instruct-v0.1,3,-0.0059880239520957446,0.31755759845647485
hansard_bill,Qwen2.5-0.5B-Instruct,1,0.007849978194505058,0.31080368906455863
hansard_bill,Qwen2.5-0.5B-Instruct,2,0.05892897154380472,0.36056963396144687
hansard_bill,Qwen2.5-0.5B-Instruct,3,-0.0029974636845744307,0.3142569848452201
hansard_bill,Qwen2.5-72B-Instruct,1,0.07930272526393334,0.38582491582491585
hansard_bill,Qwen2.5-72B-Instruct,2,0.04773682908731136,0.35234284297995017
hansard_bill,Qwen2.5-72B-Instruct,3,0.12192674360260913,0.4128402944045402
hansard_bill,Qwen2.5-7B-Instruct,1,0.06510475332282051,0.3650853283323457
hansard_bill,Qwen2.5-7B-Instruct,2,0.02612282309807512,0.34457482254092425
hansard_bill,Qwen2.5-7B-Instruct,3,0.08391766568649628,0.3725597027323487
hansard_bill,gpt-3.5-turbo,1,-0.00782546834242348,0.30561516914458087
hansard_bill,gpt-3.5-turbo,2,0.07779616930716482,0.36521846648428924
hansard_bill,gpt-3.5-turbo,3,0.0002596728122564729,0.3346987540535928
hansard_bill,gpt-4o-2024-08-06,1,0.015187470336971987,0.3299898875988077
hansard_bill,gpt-4o-2024-08-06,2,0.10898760330578505,0.3334584115071921
hansard_bill,gpt-4o-2024-08-06,3,0.09230375862950646,0.36488480308705035
hansard_bill,gpt-4o-mini,1,-0.003671970624234966,0.3105206959361849
hansard_bill,gpt-4o-mini,2,-0.05276195194451305,0.27076731904318113
hansard_bill,gpt-4o-mini,3,0.03872562482834374,0.31384360973304987
