	index	ids	topic	arg1	arg2
2	57	0,1	Bio-Lebensmittel sind gesünder als konventionelle Lebensmittel.	Bio-Lebensmittel sind sehr viel gesünder als konventionelle Lebensmittel! Das haben neuste Studien der Oxford-University ergeben. Demnach sind in Bio-Lebensmittel weniger schädliche Pflanzen- und Insektenschutzmittel enthalten, welche bekanntlichermaßen in konventionellen Lebensmitteln gesundheitsschädlich sind und Krebs fördern. Des Weiteren sind Bio-Lebensmittel viel nährstoffreicher! Sie fördern den Herz- und Blutkreislauf und sorgen für ein längeres Leben! Menschen, die sich nur mit Bio-Lebensmitteln ernähren, leben im Durchschnitt zehn bis zwanzig Jahre länger! Und das alles nur wegen eines guten ökologischen Anbaus und einer artgerechten Tierhaltung, wodurch keine Zusatzstoffe oder Arzeneimittel in die Lebensmittel kommen. 	Oft war in den Nachrichten schon bereits berichtet worden, dass Bio-Lebensmittel gesünder sind als die normalen Lebensmittel. Während viele sich denken, dass das nicht wahr ist, gibt es Beweise dafür, dass die Aussage wahr ist. Denn biologisch angebaute Lebensmittel werden mit wenigen Pestiziden behandelt und können dadurch einerseits noch nährstoffreicher gezüchtet werden und helfen auch bei der Immunstärke der Menschen. Denn wenn wir Obst oder Gemüse essen, dass keine Pestizide enthält und dadurch naturbelassener ist und auch eventuell Krankheitserreger enthält, die normalerweise durch die Pestizide getötet werden, dann wird unsere Immunabweh gestärkt. Demnach sind bio-Lebensmittel gesünder und abwehrstärkender als herrkömmliche Lebensmittel. 
167	57	2,3	Bio-Lebensmittel sind gesünder als konventionelle Lebensmittel.	Bio-Lebensmittel sind nicht nur ein Trend, sondern eine wahre Wohltat für unseren Körper und unsere Seele. Stell dir vor, du beißt in einen knackigen, saftigen Apfel, der unter der warmen Sonne gereift ist, ohne die Last schädlicher Chemikalien. Es ist, als würdest du ein Stück pure Natur genießen, das dein Immunsystem auf sanfte Weise stärkt, während du die frischen, unverfälschten Aromen schmeckst. Diese Lebensmittel, die mit Liebe und Respekt für die Umwelt angebaut werden, bieten uns die wertvollen Nährstoffe, die wir brauchen, um uns energiegeladen und lebendig zu fühlen. Bio-Lebensmittel sind ein Geschenk an unsere Gesundheit und ein Schritt in eine strahlendere, gesündere Zukunft.	Aktuelle Untersuchungen der Oxford-Universität deuten darauf hin, dass Bio-Lebensmittel im Vergleich zu konventionellen Lebensmitteln eine geringere Konzentration an Pestiziden und Insektiziden aufweisen, die potenziell gesundheitsschädlich sein können. Zudem weisen Bio-Lebensmittel einen höheren Nährstoffgehalt auf, der positive Auswirkungen auf das Herz-Kreislauf-System haben kann. Statistische Analysen legen nahe, dass eine Ernährung basierend auf Bio-Lebensmitteln mit einer erhöhten Lebenserwartung in Verbindung gebracht werden kann. Diese Vorteile könnten auf den ökologischen Anbau und die artgerechte Tierhaltung zurückzuführen sein, die den Einsatz von Zusatzstoffen und Arzneimitteln minimieren.
182	85	2,3	Bio-Lebensmittel sind gesünder als konventionelle Lebensmittel.	Bio-Lebensmittel sind nicht nur ein Trend, sondern eine wahre Wohltat für unseren Körper und unsere Seele. Stell dir vor, du beißt in einen knackigen, saftigen Apfel, der unter der warmen Sonne gereift ist, ohne die Last schädlicher Chemikalien. Es ist, als würdest du ein Stück pure Natur genießen, das dein Immunsystem auf sanfte Weise stärkt, während du die frischen, unverfälschten Aromen schmeckst. Diese Lebensmittel, die mit Liebe und Respekt für die Umwelt angebaut werden, bieten uns die wertvollen Nährstoffe, die wir brauchen, um uns energiegeladen und lebendig zu fühlen. Bio-Lebensmittel sind ein Geschenk an unsere Gesundheit und ein Schritt in eine strahlendere, gesündere Zukunft.	Bio-Lebensmittel enthalten keine künstlichen Zusatzstoffe, die in konventionellen Produkten zur Verlängerung der Haltbarkeit, Geschmacksverstärkung oder Stabilisierung verwendet werden. Diese Zusatzstoffe sind künstlichen Ursprungs, und ihre langfristigen Auswirkungen auf den menschlichen Körper sind nicht vollständig bekannt. Einige dieser Stoffe wurden in wissenschaftlichen Studien mit gesundheitlichen Risiken in Verbindung gebracht. Daher ist es ratsam, Bio-Lebensmittel zu wählen, um potenzielle Gesundheitsrisiken zu vermeiden.
3	85	0,1	Bio-Lebensmittel sind gesünder als konventionelle Lebensmittel.	Bio-Lebensmittel sind in erster Linie gesünder, da sie auf künstliche Zusatzstoffe verzichten. In der Regel werden die Zusatzstoffe dazu benutzt, um sie länger haltbarer zu machen, den Geschmack zu verstärken oder den Zustand des Produktes beizubehalten. Da diese Zusatzstoffe meist künstlich hergestellt werden, sind deren Auswirkung auf den menschlichen Körper nicht immer gut. So wurde bei einigen festgestellt oder stehen im Verdacht krebserregend zu sein. Deshalb sollte man zu Bio-Lebensmittel greifen, um diesem Risiko aus dem Weg zu gehen.	Oft war in den Nachrichten schon bereits berichtet worden, dass Bio-Lebensmittel gesünder sind als die normalen Lebensmittel. Während viele sich denken, dass das nicht wahr ist, gibt es Beweise dafür, dass die Aussage wahr ist. Denn biologisch angebaute Lebensmittel werden mit wenigen Pestiziden behandelt und können dadurch einerseits noch nährstoffreicher gezüchtet werden und helfen auch bei der Immunstärke der Menschen. Denn wenn wir Obst oder Gemüse essen, dass keine Pestizide enthält und dadurch naturbelassener ist und auch eventuell Krankheitserreger enthält, die normalerweise durch die Pestizide getötet werden, dann wird unsere Immunabweh gestärkt. Demnach sind bio-Lebensmittel gesünder und abwehrstärkender als herrkömmliche Lebensmittel. 
92	85	0,2	Bio-Lebensmittel sind gesünder als konventionelle Lebensmittel.	Bio-Lebensmittel sind in erster Linie gesünder, da sie auf künstliche Zusatzstoffe verzichten. In der Regel werden die Zusatzstoffe dazu benutzt, um sie länger haltbarer zu machen, den Geschmack zu verstärken oder den Zustand des Produktes beizubehalten. Da diese Zusatzstoffe meist künstlich hergestellt werden, sind deren Auswirkung auf den menschlichen Körper nicht immer gut. So wurde bei einigen festgestellt oder stehen im Verdacht krebserregend zu sein. Deshalb sollte man zu Bio-Lebensmittel greifen, um diesem Risiko aus dem Weg zu gehen.	Bio-Lebensmittel sind nicht nur ein Trend, sondern eine wahre Wohltat für unseren Körper und unsere Seele. Stell dir vor, du beißt in einen knackigen, saftigen Apfel, der unter der warmen Sonne gereift ist, ohne die Last schädlicher Chemikalien. Es ist, als würdest du ein Stück pure Natur genießen, das dein Immunsystem auf sanfte Weise stärkt, während du die frischen, unverfälschten Aromen schmeckst. Diese Lebensmittel, die mit Liebe und Respekt für die Umwelt angebaut werden, bieten uns die wertvollen Nährstoffe, die wir brauchen, um uns energiegeladen und lebendig zu fühlen. Bio-Lebensmittel sind ein Geschenk an unsere Gesundheit und ein Schritt in eine strahlendere, gesündere Zukunft.
139	85	1,3	Bio-Lebensmittel sind gesünder als konventionelle Lebensmittel.	Oft war in den Nachrichten schon bereits berichtet worden, dass Bio-Lebensmittel gesünder sind als die normalen Lebensmittel. Während viele sich denken, dass das nicht wahr ist, gibt es Beweise dafür, dass die Aussage wahr ist. Denn biologisch angebaute Lebensmittel werden mit wenigen Pestiziden behandelt und können dadurch einerseits noch nährstoffreicher gezüchtet werden und helfen auch bei der Immunstärke der Menschen. Denn wenn wir Obst oder Gemüse essen, dass keine Pestizide enthält und dadurch naturbelassener ist und auch eventuell Krankheitserreger enthält, die normalerweise durch die Pestizide getötet werden, dann wird unsere Immunabweh gestärkt. Demnach sind bio-Lebensmittel gesünder und abwehrstärkender als herrkömmliche Lebensmittel. 	Bio-Lebensmittel enthalten keine künstlichen Zusatzstoffe, die in konventionellen Produkten zur Verlängerung der Haltbarkeit, Geschmacksverstärkung oder Stabilisierung verwendet werden. Diese Zusatzstoffe sind künstlichen Ursprungs, und ihre langfristigen Auswirkungen auf den menschlichen Körper sind nicht vollständig bekannt. Einige dieser Stoffe wurden in wissenschaftlichen Studien mit gesundheitlichen Risiken in Verbindung gebracht. Daher ist es ratsam, Bio-Lebensmittel zu wählen, um potenzielle Gesundheitsrisiken zu vermeiden.
180	113	2,3	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Hast du jemals das Gefühl gehabt, dass dein Gehirn im Leerlauf ist, während du dich auf der Couch entspannst und deine Lieblingssendung schaust? Es ist faszinierend zu wissen, dass unser Gehirn, ähnlich wie ein Computer, nur einen Bruchteil seiner unglaublichen Kapazität nutzt. Stell dir vor, welche Wunder wir vollbringen könnten, wenn wir mehr als nur die bescheidenen 10% unserer Gehirnleistung nutzen würden, die wir im Alltag oft beanspruchen. Es ist geradezu berauschend, darüber nachzudenken, welche Potenziale in uns schlummern, die nur darauf warten, entfesselt zu werden!	Das menschliche Gehirn verbraucht etwa 25% der täglichen Energieaufnahme, obwohl nur 10% der Gehirnkapazität gleichzeitig aktiv genutzt werden. Der Großteil der Gehirnaktivität wird für das Arbeitsgedächtnis verwendet, während die verbleibenden 90% in einem inaktiven Zustand bleiben und bei Bedarf aktiviert werden können, zum Beispiel beim Abrufen von Erinnerungen.
119	113	1,3	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Nicht immer sind alle Teile unseres Gehirns voll ausgelastet und nicht alle Gehirnfunktionen werden ständig gänzlich benötigt. Dies ist ähnlich wie bei einem Computer: wenn man einen Brief verfasst, werden nur kleinere Kapazitäten des vorhandenen Arbeitsvolumens benötigt, als beim Spielen eines Computerspiels. Im Gehirn wird meistens auch nur ein bestimmter Teilbereich benötigt, beispielweise beim Fernsehen auf dem Sofa, sodass der Mensch meistens nur 10% der vorhandnen Gehirnkapazität benutzt.	Das menschliche Gehirn verbraucht etwa 25% der täglichen Energieaufnahme, obwohl nur 10% der Gehirnkapazität gleichzeitig aktiv genutzt werden. Der Großteil der Gehirnaktivität wird für das Arbeitsgedächtnis verwendet, während die verbleibenden 90% in einem inaktiven Zustand bleiben und bei Bedarf aktiviert werden können, zum Beispiel beim Abrufen von Erinnerungen.
4	113	0,1	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Das Gehirn ist verantwortlich für etwa ein Viertel unseres täglichen Energieverbrauchs. Erstaunlich, besonders da wir nur in etwa 10% des Gehirns gleichzeitig nutzen. Nur ein Bruchteil unseres Gehirns wird für unsere Arbeitsgedächtnis benötigt - also der Teil, mit dem wir aktiv denken. Die restlichen 90% sind inaktiv, und können auf Abruf aktiviert werden. Wenn wir beispielsweise eine Erinnerung abrufen müssen, so wird ein spezifischer Teil im Gehirn aktiviert, in welchem sich die entsprechende Erinnerung befindet.	Nicht immer sind alle Teile unseres Gehirns voll ausgelastet und nicht alle Gehirnfunktionen werden ständig gänzlich benötigt. Dies ist ähnlich wie bei einem Computer: wenn man einen Brief verfasst, werden nur kleinere Kapazitäten des vorhandenen Arbeitsvolumens benötigt, als beim Spielen eines Computerspiels. Im Gehirn wird meistens auch nur ein bestimmter Teilbereich benötigt, beispielweise beim Fernsehen auf dem Sofa, sodass der Mensch meistens nur 10% der vorhandnen Gehirnkapazität benutzt.
89	113	0,2	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Das Gehirn ist verantwortlich für etwa ein Viertel unseres täglichen Energieverbrauchs. Erstaunlich, besonders da wir nur in etwa 10% des Gehirns gleichzeitig nutzen. Nur ein Bruchteil unseres Gehirns wird für unsere Arbeitsgedächtnis benötigt - also der Teil, mit dem wir aktiv denken. Die restlichen 90% sind inaktiv, und können auf Abruf aktiviert werden. Wenn wir beispielsweise eine Erinnerung abrufen müssen, so wird ein spezifischer Teil im Gehirn aktiviert, in welchem sich die entsprechende Erinnerung befindet.	Hast du jemals das Gefühl gehabt, dass dein Gehirn im Leerlauf ist, während du dich auf der Couch entspannst und deine Lieblingssendung schaust? Es ist faszinierend zu wissen, dass unser Gehirn, ähnlich wie ein Computer, nur einen Bruchteil seiner unglaublichen Kapazität nutzt. Stell dir vor, welche Wunder wir vollbringen könnten, wenn wir mehr als nur die bescheidenen 10% unserer Gehirnleistung nutzen würden, die wir im Alltag oft beanspruchen. Es ist geradezu berauschend, darüber nachzudenken, welche Potenziale in uns schlummern, die nur darauf warten, entfesselt zu werden!
97	132	0,2	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Der Mensch gilt als das intelligenteste und am weitesten entwickelten bekannten Lebewesen. Man sollte meinen das innerhalb der Evolution der Menschheit das menschliche Gehirn sich ständig weiter entwickelt hat und mittlerweile die gesamte Kapazität verwendet werden muss um die komplexe Zusammenhänge und Strukturen zu verstehen. Tatsächlich zeigen Studien dass Menschen in der Regel nur 10% ihrer Kapazität des Gehirn verwenden. Man Stelle sich nun vor was alles möglich wäre wenn man die volle Kapazität verwenden würde. 	Hast du jemals das Gefühl gehabt, dass dein Gehirn im Leerlauf ist, während du dich auf der Couch entspannst und deine Lieblingssendung schaust? Es ist faszinierend zu wissen, dass unser Gehirn, ähnlich wie ein Computer, nur einen Bruchteil seiner unglaublichen Kapazität nutzt. Stell dir vor, welche Wunder wir vollbringen könnten, wenn wir mehr als nur die bescheidenen 10% unserer Gehirnleistung nutzen würden, die wir im Alltag oft beanspruchen. Es ist geradezu berauschend, darüber nachzudenken, welche Potenziale in uns schlummern, die nur darauf warten, entfesselt zu werden!
5	132	1,0	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Nicht immer sind alle Teile unseres Gehirns voll ausgelastet und nicht alle Gehirnfunktionen werden ständig gänzlich benötigt. Dies ist ähnlich wie bei einem Computer: wenn man einen Brief verfasst, werden nur kleinere Kapazitäten des vorhandenen Arbeitsvolumens benötigt, als beim Spielen eines Computerspiels. Im Gehirn wird meistens auch nur ein bestimmter Teilbereich benötigt, beispielweise beim Fernsehen auf dem Sofa, sodass der Mensch meistens nur 10% der vorhandnen Gehirnkapazität benutzt.	Der Mensch gilt als das intelligenteste und am weitesten entwickelten bekannten Lebewesen. Man sollte meinen das innerhalb der Evolution der Menschheit das menschliche Gehirn sich ständig weiter entwickelt hat und mittlerweile die gesamte Kapazität verwendet werden muss um die komplexe Zusammenhänge und Strukturen zu verstehen. Tatsächlich zeigen Studien dass Menschen in der Regel nur 10% ihrer Kapazität des Gehirn verwenden. Man Stelle sich nun vor was alles möglich wäre wenn man die volle Kapazität verwenden würde. 
112	132	1,3	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Nicht immer sind alle Teile unseres Gehirns voll ausgelastet und nicht alle Gehirnfunktionen werden ständig gänzlich benötigt. Dies ist ähnlich wie bei einem Computer: wenn man einen Brief verfasst, werden nur kleinere Kapazitäten des vorhandenen Arbeitsvolumens benötigt, als beim Spielen eines Computerspiels. Im Gehirn wird meistens auch nur ein bestimmter Teilbereich benötigt, beispielweise beim Fernsehen auf dem Sofa, sodass der Mensch meistens nur 10% der vorhandnen Gehirnkapazität benutzt.	Untersuchungen legen nahe, dass Menschen im Durchschnitt lediglich einen kleinen Teil ihrer Gehirnkapazität nutzen. Dies wirft die Frage auf, welche Möglichkeiten sich eröffnen könnten, wenn die gesamte Kapazität des Gehirns ausgeschöpft werden würde.
171	132	2,3	Der Mensch nutzt die meiste Zeit nur 10% seines Gehirns.	Hast du jemals das Gefühl gehabt, dass dein Gehirn im Leerlauf ist, während du dich auf der Couch entspannst und deine Lieblingssendung schaust? Es ist faszinierend zu wissen, dass unser Gehirn, ähnlich wie ein Computer, nur einen Bruchteil seiner unglaublichen Kapazität nutzt. Stell dir vor, welche Wunder wir vollbringen könnten, wenn wir mehr als nur die bescheidenen 10% unserer Gehirnleistung nutzen würden, die wir im Alltag oft beanspruchen. Es ist geradezu berauschend, darüber nachzudenken, welche Potenziale in uns schlummern, die nur darauf warten, entfesselt zu werden!	Untersuchungen legen nahe, dass Menschen im Durchschnitt lediglich einen kleinen Teil ihrer Gehirnkapazität nutzen. Dies wirft die Frage auf, welche Möglichkeiten sich eröffnen könnten, wenn die gesamte Kapazität des Gehirns ausgeschöpft werden würde.
